DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
5C, E, D, 11           1   67.12   67.51   49.62
5H, E, C, 11           1   12.33   70.96   46.34   -4.97
5S, E, C, 10           4   85.62   61.19   70.57   53.86
5S, E, D, 11           1   12.33   61.19    1.14   50.00
6H, W, C, 10           1   92.47   92.47   50.00   50.00
6S, E, C, 10           2   92.47   90.18   51.92   50.36
6S, E, D, 11           1   85.62   90.18   45.43   50.00
6S, E, H, 10           1   92.47   90.18   46.96   55.33
6S, E, H, 11           1   85.62   90.18   46.96   48.48
6SX, E, C, 10          1  100.00   97.49   52.11   50.40

DECLARER, Board 23|10

Contract           Count Overall     Bid    Play
1NT, E, S, 10          2   47.95   43.65   54.30
1NT, E, S, 9           1   44.52   43.65   50.87
1NT, W, C, 7           1   34.25   41.81   42.43
1NT, W, S, 9           1   44.52   41.81   52.71
2H, E, D, 9            1   39.04   37.79   51.25
2H, E, S, 9            1   39.04   37.79   51.25
2NT, E, S, 10          1   47.95   43.02   54.93
3CX, N, C, 8           1   45.21   55.75   39.45
3CX, N, H, 8           2   45.21   55.75   39.45
3CX, N, H, 9           1   97.95   55.75   92.19
3CX, S, C, 9           3   97.95   67.81   80.14
3CX, S, H, 8           3   45.21   67.81   27.40
3H, E, C, 7            1    8.22   34.73   23.49
3H, E, D, 9            3   39.04   34.73   54.31
3H, E, H, 9            1   39.04   34.73   54.31
3H, E, S, 8            1   22.60   34.73   37.87
3NT, E, C, 7           2    8.22   67.16   -8.94
3NT, E, C, 8           6   22.60   67.16    5.44
3NT, E, D, 10          1   91.78   67.16   74.62
3NT, E, D, 9           1   71.23   67.16   54.07
3NT, E, H, 9           1   71.23   67.16   54.07
3NT, E, S, 10          9   91.78   67.16   74.62
3NT, E, S, 9          13   71.23   67.16   54.07
3NT, W, C, 8           1   22.60   56.05   16.55
3NT, W, D, 10          1   91.78   56.05   85.73
3NT, W, D, 9           1   71.23   56.05   65.18
3NT, W, S, 9           1   71.23   56.05   65.18
4C, S, H, 8            1   45.21   53.63   41.57
4H, E, D, 8            1    8.22   22.64   35.58
4H, E, D, 9            5   22.60   22.64   49.96
4H, E, H, 8            1    8.22   22.64   35.58
4H, E, S, 10           1   83.56   22.64  110.92
4H, E, S, 9            1   22.60   22.64   49.96
4H, W, D, 9            1   22.60   22.60   50.00
4H, W, S, 9            1   22.60   22.60   50.00
5CX, N, H, 8           1    0.00    8.11   41.89

DEFENDER, Board 23|10

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 10          2   52.05   56.35   47.55   48.16
1NT, E, S, 9           1   55.48   56.35   47.55   51.58
1NT, W, C, 7           1   65.75   58.19   57.12   50.44
1NT, W, S, 9           1   55.48   58.19   47.29   50.00
2H, E, D, 9            1   60.96   62.21   49.14   49.61
2H, E, S, 9            1   60.96   62.21   48.00   50.75
2NT, E, S, 10          1   52.05   56.98   46.92   48.16
3CX, N, C, 8           1   54.79   44.25   60.55   50.00
3CX, N, H, 8           2   54.79   44.25   47.36   63.18
3CX, N, H, 9           1    2.05   44.25   47.36   10.45
3CX, S, C, 9           3    2.05   32.19   19.86   50.00
3CX, S, H, 8           3   54.79   32.19   72.60   50.00
3H, E, C, 7            1   91.78   65.27   76.51   50.00
3H, E, D, 9            3   60.96   65.27   47.34   48.36
3H, E, H, 9            1   60.96   65.27   53.91   41.78
3H, E, S, 8            1   77.40   65.27   48.08   64.05
3NT, E, C, 7           2   91.78   32.84   98.15   60.79
3NT, E, C, 8           6   77.40   32.84   98.15   46.40
3NT, E, D, 10          1    8.22   32.84   35.65   39.73
3NT, E, D, 9           1   28.77   32.84   35.65   60.27
3NT, E, H, 9           1   28.77   32.84   45.93   50.00
3NT, E, S, 10          9    8.22   32.84   36.44   38.94
3NT, E, S, 9          13   28.77   32.84   36.44   59.48
3NT, W, C, 8           1   77.40   43.95   90.64   42.81
3NT, W, D, 10          1    8.22   43.95   24.54   39.73
3NT, W, D, 9           1   28.77   43.95   24.54   60.27
3NT, W, S, 9           1   28.77   43.95   34.82   50.00
4C, S, H, 8            1   54.79   46.37   58.43   50.00
4H, E, D, 8            1   91.78   77.36   51.47   62.95
4H, E, D, 9            5   77.40   77.36   51.47   48.56
4H, E, H, 8            1   91.78   77.36   57.23   57.19
4H, E, S, 10           1   16.44   77.36   38.39    0.68
4H, E, S, 9            1   77.40   77.36   38.39   61.64
4H, W, D, 9            1   77.40   77.40   50.00   50.00
4H, W, S, 9            1   77.40   77.40   50.00   50.00
5CX, N, H, 8           1  100.00   91.89   47.97   60.14

DECLARER, Board 23|9

Contract           Count Overall     Bid    Play
2CX, E, D, 6           1    9.59    9.59   50.00
2CX, E, H, 6           1    9.59    9.59   50.00
2CXX, N, S, 7          1    0.00    0.00   50.00
2H, N, C, 9            1   38.36   39.57   48.79
2H, N, S, 10           1   42.47   39.57   52.90
2H, N, S, 11           1   43.84   39.57   54.27
2H, N, S, 9            2   38.36   39.57   48.79
2H, S, C, 9            1   38.36   38.36   50.00
2SX, E, C, 6           1    9.59   32.88   26.71
3C, E, H, 6            1   54.79   54.79   50.00
3CX, E, H, 6           1    0.68    0.68   50.00
3H, N, S, 9            1   38.36   39.26   49.10
3NT, N, C, 10         10   74.66   68.05   56.61
3NT, N, C, 11          2   86.30   68.05   68.25
3NT, N, C, 9           8   52.74   68.05   34.69
3NT, N, S, 10          1   74.66   68.05   56.61
3NT, S, C, 9           1   52.74   68.22   34.52
3NT, S, D, 10          1   74.66   68.22   56.44
3NT, S, D, 11          1   86.30   68.22   68.08
3NT, S, S, 9           1   52.74   68.22   34.52
3NTX, S, C, 10         1   95.89   94.57   51.32
4H, N, C, 10           3   63.01   35.99   77.02
4H, N, C, 11           1   83.56   35.99   97.57
4H, N, S, 10           2   63.01   35.99   77.02
4H, N, S, 8            1    7.53   35.99   21.54
4H, N, S, 9           13   23.29   35.99   37.29
4HX, N, S, 10          2   93.84   32.59  111.25
4HX, N, S, 11          1   97.26   32.59  114.67
4HX, N, S, 9           9    7.53   32.59   24.95
4SX, E, C, 7           1    0.68    0.34   50.34
pass                   2   33.56   33.56   50.00

DEFENDER, Board 23|9

Contract           Count Overall     Bid    Lead Restdef
2CX, E, D, 6           1   90.41   90.41   50.00   50.00
2CX, E, H, 6           1   90.41   90.41   50.00   50.00
2CXX, N, S, 7          1  100.00  100.00   50.00   50.00
2H, N, C, 9            1   61.64   60.43   47.65   53.56
2H, N, S, 10           1   57.53   60.43   50.36   46.75
2H, N, S, 11           1   56.16   60.43   50.36   45.38
2H, N, S, 9            2   61.64   60.43   50.36   50.86
2H, S, C, 9            1   61.64   61.64   50.00   50.00
2SX, E, C, 6           1   90.41   67.12   50.00   73.29
3C, E, H, 6            1   45.21   45.21   50.00   50.00
3CX, E, H, 6           1   99.32   99.32   50.00   50.00
3H, N, S, 9            1   61.64   60.74   50.40   50.50
3NT, N, C, 10         10   25.34   31.95   50.30   43.09
3NT, N, C, 11          2   13.70   31.95   50.30   31.44
3NT, N, C, 9           8   47.26   31.95   50.30   65.01
3NT, N, S, 10          1   25.34   31.95   43.39   50.00
3NT, S, C, 9           1   47.26   31.78   54.52   60.96
3NT, S, D, 10          1   25.34   31.78   50.00   43.56
3NT, S, D, 11          1   13.70   31.78   31.92   50.00
3NT, S, S, 9           1   47.26   31.78   65.48   50.00
3NTX, S, C, 10         1    4.11    5.43   50.68   48.00
4H, N, C, 10           3   36.99   64.01   26.82   46.16
4H, N, C, 11           1   16.44   64.01   26.82   25.62
4H, N, S, 10           2   36.99   64.01   53.51   19.47
4H, N, S, 8            1   92.47   64.01   53.51   74.95
4H, N, S, 9           13   76.71   64.01   53.51   59.19
4HX, N, S, 10          2    6.16   67.41   56.77  -18.02
4HX, N, S, 11          1    2.74   67.41   56.77  -21.44
4HX, N, S, 9           9   92.47   67.41   56.77   68.29
4SX, E, C, 7           1   99.32   99.66   50.00   49.66
pass                   2   66.44   66.44   50.00   50.00

DECLARER, Board 24|11

Contract           Count Overall     Bid    Play
3C, S, H, 7            1   19.86   19.04   50.83
3CX, N, H, 7           1    6.16    6.16   50.00
3CX, S, H, 7           3    6.16    7.43   48.73
3CX, S, H, 8           1   19.86    7.43   62.43
3DX, W, C, 7           1   20.55   20.55   50.00
3H, E, C, 9            1   83.56   63.01   70.55
3H, E, D, 9            2   83.56   63.01   70.55
3H, E, H, 7            1   47.95   63.01   34.93
3HX, E, S, 6           1    5.48   47.56    7.92
3HX, E, S, 7           1   20.55   47.56   22.99
3HX, E, S, 8           1   47.95   47.56   50.39
3NT, E, S, 6           1   32.88   50.23   32.65
3NT, E, S, 8           1   69.86   50.23   69.63
3NT, N, H, 6           1   12.33   10.96   51.37
3NT, W, C, 6           1   32.88   65.07   17.81
3NT, W, C, 7           4   47.95   65.07   32.88
3NT, W, C, 8          10   69.86   65.07   54.79
3NT, W, C, 9           2   97.95   65.07   82.88
3NT, W, S, 7           1   47.95   65.07   32.88
3NT, W, S, 8           2   69.86   65.07   54.79
3NTX, E, C, 7          1   20.55   24.66   45.89
3NTX, N, D, 5          1    0.00    0.68   49.32
3NTX, W, C, 7          1   20.55   43.20   27.35
3NTX, W, C, 8          4   47.95   43.20   54.74
3NTX, W, S, 7          1   20.55   43.20   27.35
3NTX, W, S, 8          1   47.95   43.20   54.74
3NTXX, W, C, 8         1   30.14   26.52   53.62
4C, N, H, 7            1   12.33   12.33   50.00
4C, S, H, 6            1    9.59   13.01   46.58
4C, S, H, 7            1   12.33   13.01   49.32
4D, E, H, 8            1   47.95   47.79   50.15
4D, E, S, 7            1   32.88   47.79   35.08
4D, E, S, 8            1   47.95   47.79   50.15
4DX, E, C, 9           1   47.95   21.61   76.33
4DX, E, H, 7           1    5.48   21.61   33.87
4DX, E, H, 8           1   20.55   21.61   48.93
4DX, E, H, 9           1   47.95   21.61   76.33
4DX, E, S, 7           1    5.48   21.61   33.87
4DX, E, S, 8           1   20.55   21.61   48.93
4H, E, S, 8            1   47.95   46.58   51.37
4HX, E, C, 8           1   20.55   20.35   50.20
4HX, E, C, 9           2   47.95   20.35   77.59
4HX, E, S, 7           6    5.48   20.35   35.13
4HX, E, S, 8           4   20.55   20.35   50.20
4SX, W, C, 8           1   20.55   20.55   50.00

DEFENDER, Board 24|11

Contract           Count Overall     Bid    Lead Restdef
3C, S, H, 7            1   80.14   80.96   50.00   49.17
3CX, N, H, 7           1   93.84   93.84   50.00   50.00
3CX, S, H, 7           3   93.84   92.57   50.00   51.27
3CX, S, H, 8           1   80.14   92.57   50.00   37.57
3DX, W, C, 7           1   79.45   79.45   50.00   50.00
3H, E, C, 9            1   16.44   36.99   32.88   46.58
3H, E, D, 9            2   16.44   36.99   29.45   50.00
3H, E, H, 7            1   52.05   36.99   65.07   50.00
3HX, E, S, 6           1   94.52   52.44   66.34   75.73
3HX, E, S, 7           1   79.45   52.44   66.34   60.67
3HX, E, S, 8           1   52.05   52.44   66.34   33.27
3NT, E, S, 6           1   67.12   49.77   48.86   68.49
3NT, E, S, 8           1   30.14   49.77   48.86   31.51
3NT, N, H, 6           1   87.67   89.04   48.63   50.00
3NT, W, C, 6           1   67.12   34.93   49.14   83.06
3NT, W, C, 7           4   52.05   34.93   49.14   67.99
3NT, W, C, 8          10   30.14   34.93   49.14   46.07
3NT, W, C, 9           2    2.05   34.93   49.14   17.99
3NT, W, S, 7           1   52.05   34.93   53.97   63.15
3NT, W, S, 8           2   30.14   34.93   53.97   41.23
3NTX, E, C, 7          1   79.45   75.34   54.11   50.00
3NTX, N, D, 5          1  100.00   99.32   50.68   50.00
3NTX, W, C, 7          1   79.45   56.80   48.65   74.00
3NTX, W, C, 8          4   52.05   56.80   48.65   46.61
3NTX, W, S, 7          1   79.45   56.80   56.21   66.44
3NTX, W, S, 8          1   52.05   56.80   56.21   39.04
3NTXX, W, C, 8         1   69.86   73.48   48.17   48.21
4C, N, H, 7            1   87.67   87.67   50.00   50.00
4C, S, H, 6            1   90.41   86.99   50.00   53.42
4C, S, H, 7            1   87.67   86.99   50.00   50.68
4D, E, H, 8            1   52.05   52.21   48.14   51.71
4D, E, S, 7            1   67.12   52.21   57.38   57.53
4D, E, S, 8            1   52.05   52.21   57.38   42.47
4DX, E, C, 9           1   52.05   78.39   23.67   50.00
4DX, E, H, 7           1   94.52   78.39   47.98   68.15
4DX, E, H, 8           1   79.45   78.39   47.98   53.08
4DX, E, H, 9           1   52.05   78.39   47.98   25.68
4DX, E, S, 7           1   94.52   78.39   58.60   57.53
4DX, E, S, 8           1   79.45   78.39   58.60   42.47
4H, E, S, 8            1   52.05   53.42   57.44   41.19
4HX, E, C, 8           1   79.45   79.65   29.26   70.55
4HX, E, C, 9           2   52.05   79.65   29.26   43.15
4HX, E, S, 7           6   94.52   79.65   58.81   56.07
4HX, E, S, 8           4   79.45   79.65   58.81   41.00
4SX, W, C, 8           1   79.45   79.45   50.00   50.00

DECLARER, Board 24|12

Contract           Count Overall     Bid    Play
1NT, E, H, 10          1   49.32   26.39   72.93
1NT, E, H, 7           1    8.22   26.39   31.83
1NT, W, H, 8           3   10.96   13.09   47.87
2H, N, S, 5            1   49.32   49.66   49.66
2HX, N, D, 6           1    0.00    0.00   50.00
2S, E, H, 10           3   34.93   30.07   54.86
2S, E, H, 9            1   17.12   30.07   37.05
2S, E, S, 10           1   34.93   30.07   54.86
2S, W, D, 10           1   34.93   32.38   52.55
2S, W, H, 10          12   34.93   32.38   52.55
2S, W, H, 9            5   17.12   32.38   34.74
2S, W, S, 10           2   34.93   32.38   52.55
3NT, E, S, 9           1   52.74   50.01   52.73
3NT, W, H, 8           1    4.11   13.84   40.27
3NT, W, H, 9           1   52.74   13.84   88.90
3S, W, H, 10           1   34.93   32.28   52.65
4S, E, D, 9            1    4.11   56.41   -2.30
4S, E, H, 10           4   76.03   56.41   69.61
4S, E, H, 9            1    4.11   56.41   -2.30
4S, W, D, 8            1    0.00   65.52  -15.52
4S, W, D, 9            1    4.11   65.52  -11.41
4S, W, H, 10          28   76.03   65.52   60.51
4S, W, H, 11           1   98.63   65.52   83.11
4S, W, H, 9            1    4.11   65.52  -11.41

DEFENDER, Board 24|12

Contract           Count Overall     Bid    Lead Restdef
1NT, E, H, 10          1   50.68   73.61   47.62   29.45
1NT, E, H, 7           1   91.78   73.61   47.62   70.55
1NT, W, H, 8           3   89.04   86.91   50.00   52.13
2H, N, S, 5            1   50.68   50.34   50.34   50.00
2HX, N, D, 6           1  100.00  100.00   50.00   50.00
2S, E, H, 10           3   65.07   69.93   49.10   46.04
2S, E, H, 9            1   82.88   69.93   49.10   63.85
2S, E, S, 10           1   65.07   69.93   45.14   50.00
2S, W, D, 10           1   65.07   67.62   61.88   35.57
2S, W, H, 10          12   65.07   67.62   49.36   48.09
2S, W, H, 9            5   82.88   67.62   49.36   65.90
2S, W, S, 10           2   65.07   67.62   47.45   50.00
3NT, E, S, 9           1   47.26   49.99   47.27   50.00
3NT, W, H, 8           1   95.89   86.16   50.00   59.73
3NT, W, H, 9           1   47.26   86.16   50.00   11.10
3S, W, H, 10           1   65.07   67.72   49.26   48.09
4S, E, D, 9            1   95.89   43.59  102.30   50.00
4S, E, H, 10           4   23.97   43.59   46.37   34.02
4S, E, H, 9            1   95.89   43.59   46.37  105.94
4S, W, D, 8            1  100.00   34.48   88.81   76.71
4S, W, D, 9            1   95.89   34.48   88.81   72.60
4S, W, H, 10          28   23.97   34.48   48.01   41.48
4S, W, H, 11           1    1.37   34.48   48.01   18.88
4S, W, H, 9            1   95.89   34.48   48.01  113.40

DECLARER, Board 25|13

Contract           Count Overall     Bid    Play
4H, N, D, 10           1   98.63   97.21   51.42
4HX, N, H, 10          1  100.00   93.66   56.34
4S, E, C, 10           3   94.52   80.59   63.93
4S, E, C, 11           2   97.95   80.59   67.35
4S, E, H, 9            1    4.11   80.59  -26.48
5H, N, H, 9            1   52.74   86.52   16.22
5H, N, S, 10           5   91.78   86.52   55.27
5HX, N, C, 10          1   52.74   47.65   55.09
5HX, N, D, 10         11   52.74   47.65   55.09
5HX, N, D, 9           1   12.33   47.65   14.67
5HX, N, H, 10          2   52.74   47.65   55.09
5HX, N, H, 9           3   12.33   47.65   14.67
5HX, N, S, 10         36   52.74   47.65   55.09
5HX, N, S, 8           1    0.00   47.65    2.35
5HX, N, S, 9           2   12.33   47.65   14.67
5HX, S, S, 10          1   52.74   52.74   50.00
5S, W, C, 8            1    2.74    2.74   50.00
6HX, N, S, 10          1   12.33   10.83   51.49

DEFENDER, Board 25|13

Contract           Count Overall     Bid    Lead Restdef
4H, N, D, 10           1    1.37    2.79   49.11   49.47
4HX, N, H, 10          1    0.00    6.34   70.67   22.99
4S, E, C, 10           3    5.48   19.41   34.70   51.37
4S, E, C, 11           2    2.05   19.41   34.70   47.95
4S, E, H, 9            1   95.89   19.41  126.48   50.00
5H, N, H, 9            1   47.26   13.48   67.04   66.73
5H, N, S, 10           5    8.22   13.48   48.12   46.62
5HX, N, C, 10          1   47.26   52.35   44.91   50.00
5HX, N, D, 10         11   47.26   52.35   48.02   46.89
5HX, N, D, 9           1   87.67   52.35   48.02   87.30
5HX, N, H, 10          2   47.26   52.35   68.01   26.91
5HX, N, H, 9           3   87.67   52.35   68.01   67.32
5HX, N, S, 10         36   47.26   52.35   47.88   47.03
5HX, N, S, 8           1  100.00   52.35   47.88   99.77
5HX, N, S, 9           2   87.67   52.35   47.88   87.44
5HX, S, S, 10          1   47.26   47.26   50.00   50.00
5S, W, C, 8            1   97.26   97.26   50.00   50.00
6HX, N, S, 10          1   87.67   89.17   49.33   49.18

DECLARER, Board 25|14

Contract           Count Overall     Bid    Play
1NTX, E, D, 10         1   90.41   72.35   68.06
1NTX, E, D, 8          1   39.73   72.35   17.38
1NTX, E, D, 9          1   47.95   72.35   25.60
1NTX, S, S, 3          1    2.74   29.45   23.29
1NTX, S, S, 5          1   56.16   29.45   76.71
2CX, N, H, 4           1    2.74    2.74   50.00
2DX, S, D, 6           2   56.16   34.55   71.61
2DX, S, H, 6           1   56.16   34.55   71.61
2DX, S, S, 5           1    7.53   34.55   22.98
2DX, S, S, 6           1   56.16   34.55   71.61
2H, E, D, 9            1    7.53    7.53   50.00
2H, W, C, 7            1    3.42    3.42   50.00
2S, E, C, 10           1   16.44   24.19   42.25
2S, E, D, 10           2   16.44   24.19   42.25
2S, E, D, 11           2   31.51   24.19   57.31
2S, W, C, 10           4   16.44   21.75   44.68
2S, W, C, 11           1   31.51   21.75   59.75
2S, W, D, 10           4   16.44   21.75   44.68
2S, W, D, 11           5   31.51   21.75   59.75
3C, W, C, 6            1    0.00    0.00   50.00
3DX, S, D, 5           2    2.74    5.40   47.34
3DX, S, H, 5           1    2.74    5.40   47.34
3DX, S, S, 6           1    7.53    5.40   52.13
3NT, E, D, 10          1   68.49   55.62   62.87
3NT, E, D, 11          1   89.04   55.62   83.42
3S, E, D, 11           3   31.51   24.19   57.31
3S, W, D, 9            1    7.53   21.75   35.78
4H, E, D, 9            1    3.42    3.42   50.00
4S, E, D, 10           9   58.22   67.27   40.95
4S, E, D, 11           9   78.77   67.27   61.50
4S, E, D, 9            1    3.42   67.27  -13.85
4S, E, H, 11           1   78.77   67.27   61.50
4S, W, C, 10           3   58.22   62.05   46.16
4S, W, C, 11           1   78.77   62.05   66.71
4S, W, D, 10           2   58.22   62.05   46.16
4S, W, D, 11           3   78.77   62.05   66.71
4S, W, D, 9            1    3.42   62.05   -8.63

DEFENDER, Board 25|14

Contract           Count Overall     Bid    Lead Restdef
1NTX, E, D, 10         1    9.59   27.65   50.00   31.94
1NTX, E, D, 8          1   60.27   27.65   50.00   82.62
1NTX, E, D, 9          1   52.05   27.65   50.00   74.40
1NTX, S, S, 3          1   97.26   70.55   50.00   76.71
1NTX, S, S, 5          1   43.84   70.55   50.00   23.29
2CX, N, H, 4           1   97.26   97.26   50.00   50.00
2DX, S, D, 6           2   43.84   65.45   52.70   25.68
2DX, S, H, 6           1   43.84   65.45   52.70   25.68
2DX, S, S, 5           1   92.47   65.45   44.60   82.42
2DX, S, S, 6           1   43.84   65.45   44.60   33.79
2H, E, D, 9            1   92.47   92.47   50.00   50.00
2H, W, C, 7            1   96.58   96.58   50.00   50.00
2S, E, C, 10           1   83.56   75.81   57.75   50.00
2S, E, D, 10           2   83.56   75.81   49.98   57.77
2S, E, D, 11           2   68.49   75.81   49.98   42.70
2S, W, C, 10           4   83.56   78.25   51.97   53.35
2S, W, C, 11           1   68.49   78.25   51.97   38.28
2S, W, D, 10           4   83.56   78.25   48.89   56.42
2S, W, D, 11           5   68.49   78.25   48.89   41.35
3C, W, C, 6            1  100.00  100.00   50.00   50.00
3DX, S, D, 5           2   97.26   94.60   50.27   52.40
3DX, S, H, 5           1   97.26   94.60   50.27   52.40
3DX, S, S, 6           1   92.47   94.60   49.47   48.40
3NT, E, D, 10          1   31.51   44.38   50.00   37.13
3NT, E, D, 11          1   10.96   44.38   50.00   16.58
3S, E, D, 11           3   68.49   75.81   49.98   42.70
3S, W, D, 9            1   92.47   78.25   48.89   65.33
4H, E, D, 9            1   96.58   96.58   50.00   50.00
4S, E, D, 10           9   41.78   32.73   50.09   58.96
4S, E, D, 11           9   21.23   32.73   50.09   38.41
4S, E, D, 9            1   96.58   32.73   50.09  113.75
4S, E, H, 11           1   21.23   32.73   38.50   50.00
4S, W, C, 10           3   41.78   37.95   49.27   54.57
4S, W, C, 11           1   21.23   37.95   49.27   34.02
4S, W, D, 10           2   41.78   37.95   50.41   53.42
4S, W, D, 11           3   21.23   37.95   50.41   32.88
4S, W, D, 9            1   96.58   37.95   50.41  108.22

DECLARER, Board 26|15

Contract           Count Overall     Bid    Play
1NT, E, D, 8           2   49.32   49.32   50.00
1NT, E, H, 8           2   49.32   49.32   50.00
1NT, N, H, 6           1   75.34   45.89   79.45
1NT, S, D, 5           1   16.44   29.16   37.28
1NT, S, H, 5           2   16.44   29.16   37.28
1NT, S, H, 6           2   75.34   29.16   96.19
1NT, W, C, 7           1   16.44   40.19   26.25
1NT, W, C, 8           1   49.32   40.19   59.12
1NT, W, D, 6           2    3.42   40.19   13.23
1NT, W, D, 7           7   16.44   40.19   26.25
1NT, W, D, 8          23   49.32   40.19   59.12
1NT, W, D, 9           4   74.66   40.19   84.46
1NT, W, H, 5           1    0.00   40.19    9.81
1NT, W, H, 7           1   16.44   40.19   26.25
1NT, W, H, 8           2   49.32   40.19   59.12
1NTX, N, H, 5          1    7.53   11.99   45.55
1NTX, S, D, 6          1   16.44    7.73   58.71
1SXX, E, D, 7          1   95.89   95.92   49.97
2D, N, H, 6            2   16.44   24.05   42.39
2DX, N, C, 6           1    7.53    8.02   49.51
2DX, N, D, 6           1    7.53    8.02   49.51
2DX, N, H, 5           1    2.05    8.02   44.03
2DX, N, S, 6           1    7.53    8.02   49.51
2DX, N, S, 7           1   16.44    8.02   58.41
2H, E, C, 9            1   71.23   71.23   50.00
2NT, E, H, 8           1   49.32   49.32   50.00
2NT, W, C, 7           2    3.42   36.78   16.64
2S, E, H, 8            1   27.40   15.41   61.99
2S, N, C, 6            1   16.44   14.56   51.88
2S, N, H, 6            1   16.44   14.56   51.88
2SX, N, H, 5           1    2.05    5.71   46.35
3NTX, S, D, 0          1    0.00    1.02   48.98
pass                   3   91.78   91.78   50.00

DEFENDER, Board 26|15

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 8           2   50.68   50.68   50.00   50.00
1NT, E, H, 8           2   50.68   50.68   50.00   50.00
1NT, N, H, 6           1   24.66   54.11   50.00   20.55
1NT, S, D, 5           1   83.56   70.84   61.16   51.56
1NT, S, H, 5           2   83.56   70.84   33.27   79.45
1NT, S, H, 6           2   24.66   70.84   33.27   20.55
1NT, W, C, 7           1   83.56   59.81   65.54   58.22
1NT, W, C, 8           1   50.68   59.81   65.54   25.34
1NT, W, D, 6           2   96.58   59.81   47.00   89.76
1NT, W, D, 7           7   83.56   59.81   47.00   76.75
1NT, W, D, 8          23   50.68   59.81   47.00   43.87
1NT, W, D, 9           4   25.34   59.81   47.00   18.53
1NT, W, H, 5           1  100.00   59.81   61.43   78.77
1NT, W, H, 7           1   83.56   59.81   61.43   62.33
1NT, W, H, 8           2   50.68   59.81   61.43   29.45
1NTX, N, H, 5          1   92.47   88.01   50.00   54.45
1NTX, S, D, 6          1   83.56   92.27   52.84   38.46
1SXX, E, D, 7          1    4.11    4.08   50.03   50.00
2D, N, H, 6            2   83.56   75.95   59.49   48.12
2DX, N, C, 6           1   92.47   91.98   50.49   50.00
2DX, N, D, 6           1   92.47   91.98   50.49   50.00
2DX, N, H, 5           1   97.95   91.98   52.32   53.65
2DX, N, S, 6           1   92.47   91.98   46.04   54.45
2DX, N, S, 7           1   83.56   91.98   46.04   45.55
2H, E, C, 9            1   28.77   28.77   50.00   50.00
2NT, E, H, 8           1   50.68   50.68   50.00   50.00
2NT, W, C, 7           2   96.58   63.22   71.89   61.47
2S, E, H, 8            1   72.60   84.59   38.01   50.00
2S, N, C, 6            1   83.56   85.44   48.12   50.00
2S, N, H, 6            1   83.56   85.44   50.94   47.19
2SX, N, H, 5           1   97.95   94.29   50.91   52.74
3NTX, S, D, 0          1  100.00   98.98   50.45   50.57
pass                   3    8.22    8.22   50.00   50.00

DECLARER, Board 26|16

Contract           Count Overall     Bid    Play
3NT, E, D, 10          2   38.36   70.25   18.10
3NT, E, D, 12          1  100.00   70.25   79.75
3NT, E, H, 11          2   78.77   70.25   58.51
3NT, W, C, 10          2   38.36   50.15   38.21
3NT, W, C, 11          1   78.77   50.15   78.62
3NT, W, D, 11          1   78.77   50.15   78.62
3NT, W, H, 10         21   38.36   50.15   38.21
3NT, W, H, 11         21   78.77   50.15   78.62
3NT, W, H, 7           1    0.68   50.15    0.54
3NT, W, H, 8           2    4.79   50.15    4.65
3NT, W, H, 9           7   12.33   50.15   12.18
3NT, W, S, 10          3   38.36   50.15   38.21
3NT, W, S, 11          3   78.77   50.15   78.62
4NT, E, C, 11          1   78.77   70.25   58.51
4NT, E, H, 11          1   78.77   70.25   58.51
4NT, W, H, 10          1   38.36   49.10   39.26
4NT, W, H, 9           1    4.79   49.10    5.70
4S, W, C, 10           1   17.81   17.81   50.00
6NT, W, H, 10          1    0.68    2.25   48.43
6NT, W, H, 11          1    4.79    2.25   52.54

DEFENDER, Board 26|16

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 10          2   61.64   29.75   61.35   70.55
3NT, E, D, 12          1    0.00   29.75   61.35    8.90
3NT, E, H, 11          2   21.23   29.75   41.49   50.00
3NT, W, C, 10          2   61.64   49.85   48.32   63.47
3NT, W, C, 11          1   21.23   49.85   48.32   23.06
3NT, W, D, 11          1   21.23   49.85   21.38   50.00
3NT, W, H, 10         21   61.64   49.85   51.50   60.29
3NT, W, H, 11         21   21.23   49.85   51.50   19.88
3NT, W, H, 7           1   99.32   49.85   51.50   97.96
3NT, W, H, 8           2   95.21   49.85   51.50   93.85
3NT, W, H, 9           7   87.67   49.85   51.50   86.31
3NT, W, S, 10          3   61.64   49.85   41.58   70.21
3NT, W, S, 11          3   21.23   49.85   41.58   29.79
4NT, E, C, 11          1   21.23   29.75   41.49   50.00
4NT, E, H, 11          1   21.23   29.75   41.49   50.00
4NT, W, H, 10          1   61.64   50.90   51.69   59.05
4NT, W, H, 9           1   95.21   50.90   51.69   92.61
4S, W, C, 10           1   82.19   82.19   50.00   50.00
6NT, W, H, 10          1   99.32   97.75   50.09   51.48
6NT, W, H, 11          1   95.21   97.75   50.09   47.37

DECLARER, Board 27|17

Contract           Count Overall     Bid    Play
1NT, W, H, 10          1   58.90   44.53   64.38
1NT, W, H, 9           8   34.93   44.53   40.40
2HX, S, H, 9           1  100.00   97.97   52.03
