DECLARER, Board 10|19

Contract           Count Overall     Bid    Play
1NT, E, S, 8           1   55.39   55.39   50.00
2SX, N, H, 7           1    8.71    8.71   50.00
3D, N, D, 9            1   72.70   28.16   94.54
3D, S, C, 7            1    9.05   12.31   46.73
3D, S, H, 8            1   18.84   12.31   56.53

DEFENDER, Board 2|3

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 6           2   50.36   38.47   49.28   62.61
1NT, E, S, 7           1   14.69   38.47   49.28   26.94
1NT, N, C, 6           1   80.99   85.88   44.73   50.37
1NT, N, D, 5           1   90.78   85.88   55.95   48.95
1NT, W, D, 4           1   94.46   53.29   49.77   91.40
1NT, W, D, 7           1   14.69   53.29   49.77   11.63
2CX, E, S, 6           1   99.67   99.67   50.33   49.67
2D, N, C, 7            1   79.66   65.72   61.32   52.62
2D, N, C, 8            1   73.88   65.72   61.32   46.84
2D, N, H, 8            2   73.88   65.72   57.75   50.41
2D, S, C, 7            1   80.14   78.28   52.34   49.52
2H, W, D, 7            1   50.70   50.70   49.30   50.70
2NT, W, D, 6           1   83.52   77.45   49.43   56.63
2S, E, C, 6            1   82.82   54.54   56.35   71.94
2S, E, C, 7            2   50.85   54.54   56.35   39.97
2S, E, D, 7            1   50.85   54.54   45.46   50.85
2S, E, H, 7            4   50.85   54.54   29.48   66.84
2S, E, H, 8            2    3.06   54.54   29.48   19.05
2S, E, S, 5            2   94.19   54.54   55.16   84.50
2S, E, S, 6            4   82.82   54.54   55.16   73.13
2S, E, S, 7           10   50.85   54.54   55.16   41.16
2S, E, S, 8            1    3.06   54.54   55.16   -6.63
2S, W, C, 6            1   83.52   83.52   49.14   50.86
2S, W, H, 6            1   83.52   83.52   49.14   50.86
2S, W, S, 6            1   83.52   83.52   49.14   50.86
2SX, E, S, 7           1   83.66   78.60   55.24   49.82
2SX, N, H, 7           1   91.29   91.29   50.54   49.46
3D, N, D, 9            1   27.30   71.84    6.73   48.73
3D, S, C, 7            1   90.95   87.69   54.15   49.12
3D, S, H, 8            1   81.16   87.69   42.93   50.54

DECLARER, Board 2|4

Contract           Count Overall     Bid    Play
1NT, W, H, 6          12   20.34   24.54   45.80
1NT, W, H, 7           2   33.67   24.54   59.13
1NT, W, H, 8           1   56.66   24.54   82.13
2H, S, S, 8            2   93.19   84.14   59.06
2S, W, C, 10           1   72.78   63.45   59.33
2S, W, H, 9            2   62.86   63.45   49.42
2SX, W, H, 8           1   91.69   98.19   43.50
3C, W, H, 11           1   69.13   69.13   50.00
3H, N, C, 8            1   53.40   36.53   66.87
3H, N, D, 7            2   19.66   36.53   33.13
3H, N, S, 8            1   53.40   36.53   66.87
3H, S, D, 7            1   19.92   53.31   16.60
3H, S, H, 8            1   53.84   53.31   50.53
3H, S, S, 7            3   19.92   53.31   16.60
3H, S, S, 8            4   53.84   53.31   50.53
3H, S, S, 9            3   96.26   53.31   92.94
3HX, S, S, 8           1   19.09   32.20   36.89
3SX, W, H, 9           3   93.15   80.83   62.32
4C, E, H, 10           1   60.17   64.40   45.77
4C, E, H, 11           1   68.62   64.40   54.23
4C, W, H, 11           2   69.13   69.13   50.00
4H, N, S, 7            1   12.14   15.39   46.75
4H, S, S, 8            1   19.09   23.79   45.30
4HX, N, S, 8           1    9.58    6.10   53.48
5CX, W, H, 11          1   96.36   96.36   50.00

DEFENDER, Board 2|4

Contract           Count Overall     Bid    Lead Restdef
1NT, W, H, 6          12   79.66   75.46   49.10   55.10
1NT, W, H, 7           2   66.33   75.46   49.10   41.77
1NT, W, H, 8           1   43.34   75.46   49.10   18.78
2H, S, S, 8            2    6.81   15.86   48.28   42.67
2S, W, C, 10           1   27.22   36.55   44.06   46.61
2S, W, H, 9            2   37.14   36.55   56.31   44.27
2SX, W, H, 8           1    8.31    1.81   49.55   56.95
3C, W, H, 11           1   30.87   30.87   54.85   45.15
3H, N, C, 8            1   46.60   63.47   31.43   51.70
3H, N, D, 7            2   80.34   63.47   65.10   51.77
3H, N, S, 8            1   46.60   63.47   42.65   40.48
3H, S, D, 7            1   80.08   46.69   81.89   51.51
3H, S, H, 8            1   46.16   46.69   48.21   51.26
3H, S, S, 7            3   80.08   46.69   46.24   87.15
3H, S, S, 8            4   46.16   46.69   46.24   53.23
3H, S, S, 9            3    3.74   46.69   46.24   10.81
3HX, S, S, 8           1   80.91   67.80   46.34   66.77
3SX, W, H, 9           3    6.85   19.17   50.90   36.78
4C, E, H, 10           1   39.83   35.60   54.70   49.53
4C, E, H, 11           1   31.38   35.60   54.70   41.07
4C, W, H, 11           2   30.87   30.87   54.85   45.15
4H, N, S, 7            1   87.86   84.61   47.02   56.23
4H, S, S, 8            1   80.91   76.21   47.11   57.59
4HX, N, S, 8           1   90.42   93.90   49.30   47.22
5CX, W, H, 11          1    3.64    3.64   46.36   53.64

DECLARER, Board 3|5

Contract           Count Overall     Bid    Play
3NT, N, C, 11          8   20.37   51.66   18.71
3NT, N, C, 12         28   66.33   51.66   64.67
3NT, N, H, 10          1    5.74   51.66    4.08
3NT, N, S, 11          4   20.37   51.66   18.71
3NT, N, S, 12          2   66.33   51.66   64.67
4NT, N, C, 12          2   66.33   51.66   64.67
5NT, N, C, 12          1   66.33   51.59   64.74
5NT, N, H, 11          1   20.37   51.59   18.78
6D, N, C, 11           1    1.40    1.40   50.00
6D, S, C, 11           1    1.40    1.40   50.00
6NT, N, C, 11          1    2.08   69.36  -17.27

DEFENDER, Board 3|5

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 11          8   79.63   48.34   44.87   86.42
3NT, N, C, 12         28   33.67   48.34   44.87   40.46
3NT, N, H, 10          1   94.26   48.34   88.39   57.53
3NT, N, S, 11          4   79.63   48.34   65.60   65.69
3NT, N, S, 12          2   33.67   48.34   65.60   19.73
4NT, N, C, 12          2   33.67   48.34   44.87   40.46
5NT, N, C, 12          1   33.67   48.41   44.80   40.46
5NT, N, H, 11          1   79.63   48.41   90.37   40.86
6D, N, C, 11           1   98.60   98.60   49.36   50.64
6D, S, C, 11           1   98.60   98.60   49.36   50.64
6NT, N, C, 11          1   97.92   30.64   41.40  125.88

DECLARER, Board 3|6

Contract           Count Overall     Bid    Play
1S, E, S, 7            1   79.65   65.50   64.15
1SX, E, D, 6           1   15.49   62.00    3.48
1SX, E, D, 7           1   93.87   62.00   81.86
1SX, E, S, 7           2   93.87   62.00   81.86
2C, N, S, 10           1   72.91   51.31   71.61
2C, N, S, 8            3   46.91   51.31   45.60
2C, N, S, 9            1   64.89   51.31   63.58
2H, N, S, 7            3   31.58   31.58   50.00
2HX, N, S, 7           1   14.98   14.98   50.00
2NT, S, S, 8           3   69.83   66.80   53.03
2NT, S, S, 9           2   74.89   66.80   58.08
2S, E, C, 6            4   15.49   35.43   30.06
2S, E, D, 6            1   15.49   35.43   30.06
2S, E, H, 6            2   15.49   35.43   30.06
2S, E, H, 7            1   41.84   35.43   56.41
2S, E, S, 7            4   41.84   35.43   56.41
2S, E, S, 8            1   89.93   35.43  104.49
2SX, E, D, 7           1   14.56   17.72   46.84
2SX, E, S, 6           1    3.31   17.72   35.59
3C, N, D, 8            1   31.78   39.21   42.58
3C, N, S, 8            1   31.78   39.21   42.58
3C, S, H, 8            2   31.58   31.58   50.00
3C, S, S, 8            1   31.58   31.58   50.00
3CX, N, S, 8           1   15.18   31.44   33.74
3CX, S, S, 8           1   14.98   14.98   50.00
3H, N, S, 7            1   14.98   14.98   50.00
3NT, S, D, 8           1   31.69   43.68   38.01
3NT, S, S, 7           1   15.89   43.68   22.21
3NT, S, S, 8           2   31.69   43.68   38.01
3SX, E, H, 8           1   13.96    2.63   61.33
3SX, E, S, 7           1    2.38    2.63   49.75
5CX, N, D, 8           2    1.19    2.64   48.55

DEFENDER, Board 3|6

Contract           Count Overall     Bid    Lead Restdef
1S, E, S, 7            1   20.35   34.50   40.19   45.66
1SX, E, D, 6           1   84.51   38.00   58.43   88.08
1SX, E, D, 7           1    6.13   38.00   58.43    9.70
1SX, E, S, 7           2    6.13   38.00   25.98   42.16
2C, N, S, 10           1   27.09   48.69   47.08   31.31
2C, N, S, 8            3   53.09   48.69   47.08   57.32
2C, N, S, 9            1   35.11   48.69   47.08   39.34
2H, N, S, 7            3   68.42   68.42   46.89   53.11
2HX, N, S, 7           1   85.02   85.02   48.65   51.35
2NT, S, S, 8           3   30.17   33.20   51.75   45.22
2NT, S, S, 9           2   25.11   33.20   51.75   40.17
2S, E, C, 6            4   84.51   64.57   72.17   47.78
2S, E, D, 6            1   84.51   64.57   57.37   62.57
2S, E, H, 6            2   84.51   64.57   45.63   74.31
2S, E, H, 7            1   58.16   64.57   45.63   47.96
2S, E, S, 7            4   58.16   64.57   40.84   52.75
2S, E, S, 8            1   10.07   64.57   40.84    4.67
2SX, E, D, 7           1   85.44   82.28   60.57   42.58
2SX, E, S, 6           1   96.69   82.28   47.00   67.40
3C, N, D, 8            1   68.22   60.79   54.51   52.91
3C, N, S, 8            1   68.22   60.79   45.18   62.24
3C, S, H, 8            2   68.42   68.42   46.89   53.11
3C, S, S, 8            1   68.42   68.42   46.89   53.11
3CX, N, S, 8           1   84.82   68.56   41.78   74.48
3CX, S, S, 8           1   85.02   85.02   48.65   51.35
3H, N, S, 7            1   85.02   85.02   48.65   51.35
3NT, S, D, 8           1   68.31   56.32   58.98   53.00
3NT, S, S, 7           1   84.11   56.32   45.95   81.84
3NT, S, S, 8           2   68.31   56.32   45.95   66.03
3SX, E, H, 8           1   86.04   97.37   49.06   39.61
3SX, E, S, 7           1   97.62   97.37   50.49   49.76
5CX, N, D, 8           2   98.81   97.36   51.62   49.83

DECLARER, Board 4|7

Contract           Count Overall     Bid    Play
1HX, N, C, 4           1    4.08    4.08   50.00
1HX, S, C, 3           1    2.72   54.12   -1.40
1HX, S, C, 5           2   79.82   54.12   75.70
2C, E, S, 11           1   16.78   16.78   50.00
3NT, E, C, 11          2   65.99   53.45   62.53
3NT, E, H, 10          1   36.17   53.45   32.72
3NT, E, H, 11          2   65.99   53.45   62.53
3NT, E, H, 9           2   24.49   53.45   21.04
3NT, E, S, 11          1   65.99   53.45   62.53
3NT, W, C, 11          1   66.28   62.87   53.42
3NT, W, H, 10          7   36.42   62.87   23.56
3NT, W, H, 11          7   66.28   62.87   53.42
3NT, W, H, 12          4   87.05   62.87   74.18
3NT, W, H, 13          1   92.90   62.87   80.04
3NT, W, S, 11          1   66.28   62.87   53.42
3NT, W, S, 12          1   87.05   62.87   74.18
4NT, E, H, 11          1   65.99   50.28   65.71
4NT, W, S, 11          1   66.28   62.87   53.42
4S, E, C, 11           1   46.68   41.84   54.85
4S, E, H, 10           1   27.30   41.84   35.46
4S, E, H, 11           2   46.68   41.84   54.85
6D, W, D, 12           1   99.09   17.61  131.48
6D, W, H, 10           1    1.81   17.61   34.20
6D, W, H, 11           2    9.30   17.61   41.69
6D, W, S, 10           1    1.81   17.61   34.20
6D, W, S, 11           4    9.30   17.61   41.69

DEFENDER, Board 4|7

Contract           Count Overall     Bid    Lead Restdef
1HX, N, C, 4           1   95.92   95.92   50.00   50.00
1HX, S, C, 3           1   97.28   45.88   49.70  101.70
1HX, S, C, 5           2   20.18   45.88   49.70   24.60
2C, E, S, 11           1   83.22   83.22   50.45   49.55
3NT, E, C, 11          2   34.01   46.55   37.13   50.34
3NT, E, H, 10          1   63.83   46.55   56.51   60.77
3NT, E, H, 11          2   34.01   46.55   56.51   30.95
3NT, E, H, 9           2   75.51   46.55   56.51   72.45
3NT, E, S, 11          1   34.01   46.55   37.13   50.34
3NT, W, C, 11          1   33.72   37.13   46.54   50.04
3NT, W, H, 10          7   63.58   37.13   51.86   74.59
3NT, W, H, 11          7   33.72   37.13   51.86   44.73
3NT, W, H, 12          4   12.95   37.13   51.86   23.96
3NT, W, H, 13          1    7.10   37.13   51.86   18.11
3NT, W, S, 11          1   33.72   37.13   39.40   57.19
3NT, W, S, 12          1   12.95   37.13   39.40   36.42
4NT, E, H, 11          1   34.01   49.72   58.10   26.19
4NT, W, S, 11          1   33.72   37.13   39.40   57.19
4S, E, C, 11           1   53.32   58.16   44.90   50.26
4S, E, H, 10           1   72.70   58.16   51.70   62.84
4S, E, H, 11           2   53.32   58.16   51.70   43.45
6D, W, D, 12           1    0.91   82.39  -32.39   50.91
6D, W, H, 10           1   98.19   82.39   61.15   54.65
6D, W, H, 11           2   90.70   82.39   61.15   47.17
6D, W, S, 10           1   98.19   82.39   60.06   55.74
6D, W, S, 11           4   90.70   82.39   60.06   48.25

DECLARER, Board 4|8

Contract           Count Overall     Bid    Play
3D, S, C, 5            1    0.00    0.00   50.00
4S, N, C, 10           1   80.61   80.61   50.00
4S, N, D, 10           2   80.61   80.61   50.00
4S, N, H, 10           6   80.61   80.61   50.00
4S, S, C, 10           1   80.61   80.61   50.00
4SX, N, C, 10          3   95.92   95.92   50.00
4SX, N, H, 10          1   95.92   95.92   50.00
4SX, S, H, 10          1   95.92   95.92   50.00
5H, E, S, 10           1   44.90   44.90   50.00
5HX, W, S, 10          4   39.80   39.80   50.00
5S, N, C, 10           6   44.90   44.90   50.00
5S, N, H, 10           2   44.90   44.90   50.00
5S, S, C, 10           1   44.90   44.90   50.00
5SX, N, C, 10          8   18.37   18.37   50.00
5SX, N, H, 10          9   18.37   18.37   50.00
6CX, W, H, 10          1   32.65   32.65   50.00
6HX, E, D, 10          1   32.65   32.65   50.00
6HX, W, D, 10          1   32.65   32.65   50.00

DEFENDER, Board 4|8

Contract           Count Overall     Bid    Lead Restdef
3D, S, C, 5            1  100.00  100.00   50.00   50.00
4S, N, C, 10           1   19.39   19.39   50.00   50.00
4S, N, D, 10           2   19.39   19.39   50.00   50.00
4S, N, H, 10           6   19.39   19.39   50.00   50.00
4S, S, C, 10           1   19.39   19.39   50.00   50.00
4SX, N, C, 10          3    4.08    4.08   50.00   50.00
4SX, N, H, 10          1    4.08    4.08   50.00   50.00
4SX, S, H, 10          1    4.08    4.08   50.00   50.00
5H, E, S, 10           1   55.10   55.10   50.00   50.00
5HX, W, S, 10          4   60.20   60.20   50.00   50.00
5S, N, C, 10           6   55.10   55.10   50.00   50.00
5S, N, H, 10           2   55.10   55.10   50.00   50.00
5S, S, C, 10           1   55.10   55.10   50.00   50.00
5SX, N, C, 10          8   81.63   81.63   50.00   50.00
5SX, N, H, 10          9   81.63   81.63   50.00   50.00
6CX, W, H, 10          1   67.35   67.35   50.00   50.00
6HX, E, D, 10          1   67.35   67.35   50.00   50.00
6HX, W, D, 10          1   67.35   67.35   50.00   50.00

DECLARER, Board 5|10

Contract           Count Overall     Bid    Play
2NT, W, S, 10          1   20.54   22.59   47.96
2SX, N, D, 8           1   98.98   98.98   50.00
2SX, N, H, 8           1   98.98   98.98   50.00
3NT, E, H, 9           1   29.98   12.28   67.70
3NT, E, S, 6           3    6.38   12.28   44.10
3NT, W, H, 11          1   99.66   63.61   86.05
3NT, W, S, 10          1   45.58   63.61   31.97
3SX, N, D, 8           2   76.05   76.05   50.00
3SX, N, S, 8           1   76.05   76.05   50.00
4H, E, D, 11           1   72.28   39.81   82.47
4H, E, H, 9            1   15.31   39.81   25.49
4H, E, S, 10           4   37.82   39.81   48.01
4H, W, C, 9            1   15.37   64.91    0.47
4H, W, D, 10           1   38.57   64.91   23.66
4H, W, D, 11          19   72.96   64.91   58.05
4H, W, D, 9            2   15.37   64.91    0.47
4H, W, S, 10           1   38.57   64.91   23.66
4H, W, S, 11           5   72.96   64.91   58.05
4SX, N, D, 8           1   71.29   71.29   50.00
5C, E, D, 10           1   14.46   14.46   50.00
5H, W, D, 11           1   72.96   62.83   60.13

DEFENDER, Board 5|10

Contract           Count Overall     Bid    Lead Restdef
2NT, W, S, 10          1   79.46   77.41   52.18   49.86
2SX, N, D, 8           1    1.02    1.02   50.00   50.00
2SX, N, H, 8           1    1.02    1.02   50.00   50.00
3NT, E, H, 9           1   70.02   87.72   31.67   50.63
3NT, E, S, 6           3   93.62   87.72   56.16   49.74
3NT, W, H, 11          1    0.34   36.39   13.61   50.34
3NT, W, S, 10          1   54.42   36.39   68.71   49.32
3SX, N, D, 8           2   23.95   23.95   50.54   49.46
3SX, N, S, 8           1   23.95   23.95   50.54   49.46
4H, E, D, 11           1   27.72   60.19   17.36   50.17
4H, E, H, 9            1   84.69   60.19   75.53   48.98
4H, E, S, 10           4   62.18   60.19   52.06   49.93
4H, W, C, 9            1   84.63   35.09  100.62   48.91
4H, W, D, 10           1   61.43   35.09   49.03   77.31
4H, W, D, 11          19   27.04   35.09   49.03   42.92
4H, W, D, 9            2   84.63   35.09   49.03  100.51
4H, W, S, 10           1   61.43   35.09   48.24   78.10
4H, W, S, 11           5   27.04   35.09   48.24   43.71
4SX, N, D, 8           1   28.71   28.71   49.86   50.14
5C, E, D, 10           1   85.54   85.54   50.17   49.83
5H, W, D, 11           1   27.04   37.17   48.34   41.53

DECLARER, Board 5|9

Contract           Count Overall     Bid    Play
2H, W, C, 7            1   58.59   66.19   42.40
2H, W, C, 9            1   95.96   66.19   79.76
3H, E, C, 9            1   96.18   46.87   99.30
3H, W, C, 6            2   17.81   42.01   25.79
3H, W, C, 7            2   26.91   42.01   34.90
3H, W, C, 8            3   57.93   42.01   65.91
4C, N, C, 10           2   56.00   53.90   52.10
4C, N, H, 10           5   56.00   53.90   52.10
4C, N, H, 9            2   30.88   53.90   26.98
4D, N, H, 10           2   55.78   48.94   56.84
4D, N, H, 9            2   30.71   48.94   31.77
4DX, N, H, 10          2   93.76   72.19   71.57
4H, E, S, 6            1   11.74   28.83   32.91
4H, W, C, 6            1   11.84   23.35   38.49
4H, W, C, 7            1   17.21   23.35   43.86
4H, W, C, 8            2   26.25   23.35   52.91
4H, W, C, 9            1   57.51   23.35   84.16
4HX, E, H, 7           1    2.52    9.76   42.76
4HX, W, C, 6           1    0.82    6.50   44.32
4HX, W, C, 7           2    2.70    6.50   46.20
5C, N, H, 10           4   29.92   31.39   48.53
5C, N, S, 10           1   29.92   31.39   48.53
5CX, N, C, 10          1   13.88   16.82   47.07
5CX, N, H, 10          3   13.88   16.82   47.07
5CX, N, H, 11          1   94.82   16.82  128.01
5D, N, H, 10           1   29.69   25.60   54.09
5D, N, S, 10           1   29.69   25.60   54.09
5DX, N, H, 10          2   13.66   10.23   53.43
5DX, N, H, 9           1    1.09   10.23   40.86

DEFENDER, Board 5|9

Contract           Count Overall     Bid    Lead Restdef
2H, W, C, 7            1   41.41   33.81   51.21   56.40
2H, W, C, 9            1    4.04   33.81   51.21   19.03
3H, E, C, 9            1    3.82   53.13   -0.07   50.76
3H, W, C, 6            2   82.19   57.99   49.88   74.33
3H, W, C, 7            2   73.09   57.99   49.88   65.23
3H, W, C, 8            3   42.07   57.99   49.88   34.21
4C, N, C, 10           2   44.00   46.10   44.72   53.18
4C, N, H, 10           5   44.00   46.10   48.21   49.69
4C, N, H, 9            2   69.12   46.10   48.21   74.81
4D, N, H, 10           2   44.22   51.06   48.94   44.22
4D, N, H, 9            2   69.29   51.06   48.94   69.29
4DX, N, H, 10          2    6.24   27.81   56.68   21.75
4H, E, S, 6            1   88.26   71.17   63.52   53.57
4H, W, C, 6            1   88.16   76.65   47.95   63.55
4H, W, C, 7            1   82.79   76.65   47.95   58.18
4H, W, C, 8            2   73.75   76.65   47.95   49.14
4H, W, C, 9            1   42.49   76.65   47.95   17.88
4HX, E, H, 7           1   97.48   90.24   55.68   51.56
4HX, W, C, 6           1   99.18   93.50   47.70   57.98
4HX, W, C, 7           2   97.30   93.50   47.70   56.10
5C, N, H, 10           4   70.08   68.61   51.39   50.08
5C, N, S, 10           1   70.08   68.61   52.82   48.65
5CX, N, C, 10          1   86.12   83.18   55.59   47.34
5CX, N, H, 10          3   86.12   83.18   51.71   51.22
5CX, N, H, 11          1    5.18   83.18   51.71  -29.72
5D, N, H, 10           1   70.31   74.40   52.23   43.67
5D, N, S, 10           1   70.31   74.40   47.03   48.88
5DX, N, H, 10          2   86.34   89.77   52.38   44.20
5DX, N, H, 9           1   98.91   89.77   52.38   56.76

DECLARER, Board 6|11

Contract           Count Overall     Bid    Play
4C, W, H, 12           1    9.44    9.44   50.00
4SX, N, D, 8           3   81.83   85.78   46.05
4SX, N, D, 9           3   96.06   85.78   60.28
5C, E, C, 12           1   43.22   43.22   50.00
5C, E, H, 12           2   43.22   43.22   50.00
5C, W, H, 12          11   43.27   43.92   49.35
5C, W, S, 12           3   43.27   43.92   49.35
5CX, W, H, 12          2   80.00   80.08   49.92
5CX, W, H, 13          1   82.04   80.08   51.96
5DX, N, D, 8           1   30.92   30.92   50.00
5S, N, C, 8            1   93.34   94.09   49.24
5S, N, D, 8            1   93.34   94.09   49.24
5SX, N, D, 8           7   31.20   44.98   36.22
5SX, N, D, 9           2   80.81   44.98   85.82
5SX, S, D, 9           1   81.54   81.54   50.00
6C, E, H, 12           1   87.59   87.59   50.00
6C, W, H, 12           1   87.63   87.71   49.92
6C, W, S, 12           1   87.63   87.71   49.92
6CX, E, H, 12          1   95.67   95.67   50.00
6CX, W, D, 12          2   95.71   95.88   49.84
6CX, W, H, 12          2   95.71   95.88   49.84
6SX, N, D, 8           1   16.41   20.23   46.17
7CX, W, D, 12          1    0.00    4.00   46.00

DEFENDER, Board 6|11

Contract           Count Overall     Bid    Lead Restdef
4C, W, H, 12           1   90.56   90.56   47.10   52.90
4SX, N, D, 8           3   18.17   14.22   50.67   53.29
4SX, N, D, 9           3    3.94   14.22   50.67   39.06
5C, E, C, 12           1   56.78   56.78   50.37   49.63
5C, E, H, 12           2   56.78   56.78   50.37   49.63
5C, W, H, 12          11   56.73   56.08   50.11   50.54
5C, W, S, 12           3   56.73   56.08   51.06   49.59
5CX, W, H, 12          2   20.00   19.92   51.34   48.75
5CX, W, H, 13          1   17.96   19.92   51.34   46.71
5DX, N, D, 8           1   69.08   69.08   49.29   50.71
5S, N, C, 8            1    6.66    5.91   53.28   47.48
5S, N, D, 8            1    6.66    5.91   51.77   48.98
5SX, N, D, 8           7   68.80   55.02   48.94   64.83
5SX, N, D, 9           2   19.19   55.02   48.94   15.23
5SX, S, D, 9           1   18.46   18.46   50.93   49.07
6C, E, H, 12           1   12.41   12.41   49.84   50.16
6C, W, H, 12           1   12.37   12.29   49.83   50.25
6C, W, S, 12           1   12.37   12.29   49.96   50.12
6CX, E, H, 12          1    4.33    4.33   49.76   50.24
6CX, W, D, 12          2    4.29    4.12   49.96   50.20
6CX, W, H, 12          2    4.29    4.12   49.73   50.43
6SX, N, D, 8           1   83.59   79.77   49.41   54.42
7CX, W, D, 12          1  100.00   96.00   54.00   50.00

DECLARER, Board 6|12

Contract           Count Overall     Bid    Play
3NT, N, H, 11          2   26.05   33.41   42.64
3NT, N, H, 12          1   55.50   33.41   72.09
3NT, S, D, 11          1   26.41   44.31   32.10
3NT, S, D, 12          1   55.91   44.31   61.60
3NT, S, H, 12          1   55.91   44.31   61.60
4DX, W, D, 2           1    0.00    0.00   50.00
4NT, N, H, 11          1   26.05   33.41   42.64
4NT, S, D, 11          1   26.41   44.31   32.10
4NT, S, H, 11          1   26.41   44.31   32.10
4NT, S, H, 12          1   55.91   44.31   61.60
4S, N, C, 12           2   41.43   37.87   53.56
4S, N, D, 11           1   19.18   37.87   31.31
4S, N, D, 12           1   41.43   37.87   53.56
4S, N, H, 12           6   41.43   37.87   53.56
4S, N, S, 11           1   19.18   37.87   31.31
5S, N, H, 12           1   41.43   37.87   53.56
6NT, S, C, 12          1   89.34   57.38   81.96
6NT, S, D, 11          3    8.45   57.38    1.07
6NT, S, D, 12          2   89.34   57.38   81.96
6NT, S, H, 12          5   89.34   57.38   81.96
6NT, S, S, 11          2    8.45   57.38    1.07
6NT, S, S, 13          1   97.30   57.38   89.92
6S, N, C, 11           1    8.69   61.36   -2.66
6S, N, D, 11           1    8.69   61.36   -2.66
6S, N, D, 12           1   71.39   61.36   60.03
6S, N, H, 12           9   71.39   61.36   60.03
7S, N, H, 12           1    7.67    6.45   51.23

DEFENDER, Board 6|12

Contract           Count Overall     Bid    Lead Restdef
3NT, N, H, 11          2   73.95   66.59   50.25   57.11
3NT, N, H, 12          1   44.50   66.59   50.25   27.66
3NT, S, D, 11          1   73.59   55.69   57.32   60.58
3NT, S, D, 12          1   44.09   55.69   57.32   31.08
3NT, S, H, 12          1   44.09   55.69   42.02   46.39
4DX, W, D, 2           1  100.00  100.00   50.00   50.00
4NT, N, H, 11          1   73.95   66.59   50.25   57.11
4NT, S, D, 11          1   73.59   55.69   57.32   60.58
4NT, S, H, 11          1   73.59   55.69   42.02   75.89
4NT, S, H, 12          1   44.09   55.69   42.02   46.39
4S, N, C, 12           2   58.57   62.13   54.20   42.24
4S, N, D, 11           1   80.82   62.13   58.28   60.41
4S, N, D, 12           1   58.57   62.13   58.28   38.16
4S, N, H, 12           6   58.57   62.13   46.03   50.41
4S, N, S, 11           1   80.82   62.13   70.52   48.16
5S, N, H, 12           1   58.57   62.13   46.03   50.41
6NT, S, C, 12          1   10.66   42.62   18.60   49.44
6NT, S, D, 11          3   91.55   42.62   69.62   79.31
6NT, S, D, 12          2   10.66   42.62   69.62   -1.58
6NT, S, H, 12          5   10.66   42.62   28.81   39.23
6NT, S, S, 11          2   91.55   42.62   69.96   78.97
6NT, S, S, 13          1    2.70   42.62   69.96   -9.88
6S, N, C, 11           1   91.31   38.64   62.04   90.63
6S, N, D, 11           1   91.31   38.64   72.58   80.08
6S, N, D, 12           1   28.61   38.64   72.58   17.39
6S, N, H, 12           9   28.61   38.64   40.95   49.02
7S, N, H, 12           1   92.33   93.55   49.30   49.47

DECLARER, Board 7|13

Contract           Count Overall     Bid    Play
1NT, S, D, 10          1   26.02   26.02   50.00
2C, S, D, 10           1   20.10   18.12   51.99
3C, S, D, 10           1   20.10   18.12   51.99
3D, S, H, 9            1   15.20   18.51   46.69
3D, S, S, 10           1   20.17   18.51   51.66
3H, S, D, 8            1    5.65    5.65   50.00
3NT, N, C, 9           1   62.71   62.71   50.00
3NT, N, H, 9           2   62.71   62.71   50.00
3NT, N, S, 9           1   62.71   62.71   50.00
3NT, S, D, 10          4   89.46   68.45   71.00
3NT, S, D, 9           7   62.93   68.45   44.47
3NT, S, H, 9           3   62.93   68.45   44.47
3NT, S, S, 9           9   62.93   68.45   44.47
3NTX, N, S, 9          1   98.21   98.21   50.00
3S, E, C, 7            4   67.60   70.13   47.47
3S, E, C, 8            1   87.87   70.13   67.73
3S, E, H, 7            1   67.60   70.13   47.47
3S, W, C, 8            1   88.76   88.76   50.00
4C, S, D, 9            2    6.26   14.56   41.69
4D, S, S, 10           1   20.17   15.56   54.61
4DX, N, S, 10          1   95.66   48.09   97.58
4DX, N, S, 8           1    0.51   48.09    2.42
4NT, N, H, 9           1    5.65    5.65   50.00
4S, E, C, 7            1   61.22   61.89   49.33
4SX, E, C, 7           1    0.00    7.40   42.60
5C, S, D, 10           1    5.24    3.96   51.28

DEFENDER, Board 7|13

Contract           Count Overall     Bid    Lead Restdef
1NT, S, D, 10          1   73.98   73.98   49.80   50.20
2C, S, D, 10           1   79.90   81.88   48.73   49.29
3C, S, D, 10           1   79.90   81.88   48.73   49.29
3D, S, H, 9            1   84.80   81.49   52.19   51.12
3D, S, S, 10           1   79.83   81.49   47.09   51.26
3H, S, D, 8            1   94.35   94.35   49.52   50.48
3NT, N, C, 9           1   37.29   37.29   49.45   50.55
3NT, N, H, 9           2   37.29   37.29   49.45   50.55
3NT, N, S, 9           1   37.29   37.29   49.45   50.55
3NT, S, D, 10          4   10.54   31.55   43.71   35.29
3NT, S, D, 9           7   37.07   31.55   43.71   61.82
3NT, S, H, 9           3   37.07   31.55   55.19   50.34
3NT, S, S, 9           9   37.07   31.55   55.19   50.34
