DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1NT, E, D, 8           1    9.67   36.86   22.81
4S, E, C, 9            1   86.18   38.78   53.49   93.91
4S, W, C, 10           1    3.94   31.32   56.40   16.22
4S, W, D, 10           2    3.94   31.32   23.06   49.55

DECLARER, Board 23|29

Contract           Count Overall     Bid    Play
1NT, E, C, 8           2   53.27   48.88   54.38
1NT, E, C, 9           1   73.44   48.88   74.56
1S, E, H, 10           1   85.04   85.04   50.00
1S, W, H, 8            1   48.71   65.66   33.05
2D, E, C, 10           6   61.51   61.81   49.70
2D, E, C, 11           5   73.53   61.81   61.72
2D, E, C, 8            3   43.38   61.81   31.57
2D, E, D, 11           1   73.53   61.81   61.72
2H, S, D, 6            2    8.04    8.04   50.00
2NT, E, C, 6           1   20.99   44.04   26.95
2NT, E, H, 8           1   53.27   44.04   59.22
2NT, W, H, 10          1   89.04   37.89  101.15
2NT, W, H, 6           2   20.99   37.89   33.10
2NT, W, H, 7           1   33.34   37.89   45.45
2S, W, H, 10           3   84.60   64.84   69.76
2S, W, H, 7            1   34.20   64.84   19.36
2S, W, H, 8            2   48.71   64.84   33.87
3D, E, C, 10           1   61.51   60.18   51.32
3D, E, C, 9            1   48.90   60.18   38.71
3NT, E, C, 5           2    2.24   38.60   13.65
3NT, E, C, 6           1    9.45   38.60   20.86
3NT, E, C, 8           1   33.29   38.60   44.69
3NT, E, C, 9           2   95.27   38.60  106.68
3NT, E, D, 7           1   20.77   38.60   32.18
3NT, W, C, 5           1    2.29   29.62   22.67
3NT, W, C, 9           1   95.30   29.62  115.67
3NT, W, H, 10          1   98.73   29.62  119.11
3NT, W, H, 5           1    2.29   29.62   22.67
3NT, W, H, 6           3    9.45   29.62   29.83
3NT, W, H, 7           5   20.46   29.62   40.83
3NT, W, H, 8           1   32.95   29.62   53.32
3NT, W, S, 8           1   32.95   29.62   53.32
3S, W, H, 10           1   84.60   57.63   76.97

DEFENDER, Board 23|29

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 8           2   46.73   51.12   50.11   45.51
1NT, E, C, 9           1   26.56   51.12   50.11   25.33
1S, E, H, 10           1   14.96   14.96   50.83   49.17
1S, W, H, 8            1   51.29   34.34   51.38   65.57
2D, E, C, 10           6   38.49   38.19   51.45   48.86
2D, E, C, 11           5   26.47   38.19   51.45   36.83
2D, E, C, 8            3   56.62   38.19   51.45   66.98
2D, E, D, 11           1   26.47   38.19   38.13   50.15
2H, S, D, 6            2   91.96   91.96   50.15   49.85
2NT, E, C, 6           1   79.01   55.96   50.01   73.04
2NT, E, H, 8           1   46.73   55.96   41.41   49.37
2NT, W, H, 10          1   10.96   62.11   51.45   -2.60
2NT, W, H, 6           2   79.01   62.11   51.45   65.44
2NT, W, H, 7           1   66.66   62.11   51.45   53.09
2S, W, H, 10           3   15.40   35.16   51.14   29.11
2S, W, H, 7            1   65.80   35.16   51.14   79.50
2S, W, H, 8            2   51.29   35.16   51.14   65.00
3D, E, C, 10           1   38.49   39.82   51.14   47.54
3D, E, C, 9            1   51.10   39.82   51.14   60.15
3NT, E, C, 5           2   97.76   61.40   47.19   89.16
3NT, E, C, 6           1   90.55   61.40   47.19   81.95
3NT, E, C, 8           1   66.71   61.40   47.19   58.11
3NT, E, C, 9           2    4.73   61.40   47.19   -3.87
3NT, E, D, 7           1   79.23   61.40   67.54   50.28
3NT, W, C, 5           1   97.71   70.38   30.06   97.27
3NT, W, C, 9           1    4.70   70.38   30.06    4.26
3NT, W, H, 10          1    1.27   70.38   52.26  -21.36
3NT, W, H, 5           1   97.71   70.38   52.26   75.08
3NT, W, H, 6           3   90.55   70.38   52.26   67.91
3NT, W, H, 7           5   79.54   70.38   52.26   56.91
3NT, W, H, 8           1   67.05   70.38   52.26   44.42
3NT, W, S, 8           1   67.05   70.38   46.29   50.38
3S, W, H, 10           1   15.40   42.37   50.39   22.64

DECLARER, Board 23|30

Contract           Count Overall     Bid    Play
3NT, W, C, 10          3   23.39   23.39   50.00
4H, E, C, 11          15   60.23   60.23   50.00
4H, E, D, 11           1   60.23   60.23   50.00
4H, E, H, 11           1   60.23   60.23   50.00
4H, E, S, 11           2   60.23   60.23   50.00
4SX, S, D, 7           2    4.09   55.95   -1.85
4SX, S, D, 8           1   81.87   55.95   75.93
4SX, S, H, 8           2   81.87   55.95   75.93
5H, E, C, 11           8   60.23   60.23   50.00
5H, E, D, 11           1   60.23   60.23   50.00
5H, E, H, 11           1   60.23   60.23   50.00
5H, E, S, 11           8   60.23   60.23   50.00
5H, W, C, 11           2   60.23   60.23   50.00
5HX, E, S, 11          1   99.42   99.42   50.00
5SX, S, H, 8           1    3.22    2.14   51.07
6H, E, C, 11           2    7.89    7.89   50.00
6H, E, D, 11           3    7.89    7.89   50.00
6H, E, S, 11           2    7.89    7.89   50.00
6H, W, D, 11           1    7.89    7.89   50.00
6NT, E, C, 10          1    0.00    0.00   50.00

DEFENDER, Board 23|30

Contract           Count Overall     Bid    Lead Restdef
3NT, W, C, 10          3   76.61   76.61   50.58   49.42
4H, E, C, 11          15   39.77   39.77   50.58   49.42
4H, E, D, 11           1   39.77   39.77   50.58   49.42
4H, E, H, 11           1   39.77   39.77   50.58   49.42
4H, E, S, 11           2   39.77   39.77   50.58   49.42
4SX, S, D, 7           2   95.91   44.05   76.12   75.73
4SX, S, D, 8           1   18.13   44.05   76.12   -2.05
4SX, S, H, 8           2   18.13   44.05   23.49   50.58
5H, E, C, 11           8   39.77   39.77   50.58   49.42
5H, E, D, 11           1   39.77   39.77   50.58   49.42
5H, E, H, 11           1   39.77   39.77   50.58   49.42
5H, E, S, 11           8   39.77   39.77   50.58   49.42
5H, W, C, 11           2   39.77   39.77   50.58   49.42
5HX, E, S, 11          1    0.58    0.58   49.42   50.58
5SX, S, H, 8           1   96.78   97.86   48.64   50.29
6H, E, C, 11           2   92.11   92.11   50.00   50.00
6H, E, D, 11           3   92.11   92.11   50.00   50.00
6H, E, S, 11           2   92.11   92.11   50.00   50.00
6H, W, D, 11           1   92.11   92.11   50.00   50.00
6NT, E, C, 10          1  100.00  100.00   50.00   50.00

DECLARER, Board 24|31

Contract           Count Overall     Bid    Play
1NT, N, S, 6           1   35.71   59.02   26.69
1NT, N, S, 7           2   70.68   59.02   61.65
2S, E, C, 9            2   78.74   78.26   50.47
3D, W, C, 9            1   68.59   61.42   57.16
3D, W, S, 8            1   47.10   61.42   35.67
3S, E, C, 9            9   78.74   75.60   53.14
3S, E, D, 8            1   47.28   75.60   21.68
3SX, E, C, 10          1  100.00   89.28   60.72
4C, S, S, 9            2   35.13   35.13   50.00
4HX, S, S, 8           1    4.55    4.55   50.00
4S, E, C, 10           1   90.87   46.31   94.57
4S, E, C, 8            3   18.46   46.31   22.16
4S, E, C, 9           12   46.47   46.31   50.16
4S, E, D, 9            1   46.47   46.31   50.16
4S, E, H, 9            1   46.47   46.31   50.16
4S, N, C, 10           1  100.00  100.00   50.00
4S, W, C, 9            1   46.51   46.51   50.00
4SX, E, C, 10          1   99.31   22.05  127.26
4SX, E, C, 8           1    5.66   22.05   33.61
4SX, E, C, 9           7   17.65   22.05   45.59
4SX, E, D, 9           1   17.65   22.05   45.59
5C, S, S, 9            1   10.32   10.32   50.00
5CX, S, S, 9           2    4.55    4.55   50.00
5D, E, C, 8            1    8.10   27.09   31.02
5DX, E, H, 10          1   17.25    9.70   57.55
5DX, W, H, 9           1    4.59    3.83   50.77
5SX, E, H, 9           1    4.85    5.42   49.42

DEFENDER, Board 24|31

Contract           Count Overall     Bid    Lead Restdef
1NT, N, S, 6           1   64.29   40.98   51.13   72.18
1NT, N, S, 7           2   29.32   40.98   51.13   37.22
2S, E, C, 9            2   21.26   21.74   49.73   49.80
3D, W, C, 9            1   31.41   38.58   43.00   49.83
3D, W, S, 8            1   52.90   38.58   64.06   50.27
3S, E, C, 9            9   21.26   24.40   49.34   47.52
3S, E, D, 8            1   52.72   24.40   57.18   71.14
3SX, E, C, 10          1    0.00   10.72   50.89   38.38
4C, S, S, 9            2   64.87   64.87   50.04   49.96
4HX, S, S, 8           1   95.45   95.45   49.29   50.71
4S, E, C, 10           1    9.13   53.69   48.51    6.92
4S, E, C, 8            3   81.54   53.69   48.51   79.33
4S, E, C, 9           12   53.53   53.69   48.51   51.32
4S, E, D, 9            1   53.53   53.69   58.59   41.25
4S, E, H, 9            1   53.53   53.69   48.94   50.90
4S, N, C, 10           1    0.00    0.00   50.00   50.00
4S, W, C, 9            1   53.49   53.49   49.14   50.86
4SX, E, C, 10          1    0.69   77.95   48.77  -26.03
4SX, E, C, 8           1   94.34   77.95   48.77   67.62
4SX, E, C, 9           7   82.35   77.95   48.77   55.63
4SX, E, D, 9           1   82.35   77.95   58.60   45.80
5C, S, S, 9            1   89.68   89.68   49.79   50.21
5CX, S, S, 9           2   95.45   95.45   49.29   50.71
5D, E, C, 8            1   91.90   72.91   70.07   48.91
5DX, E, H, 10          1   82.75   90.30   41.28   51.17
5DX, W, H, 9           1   95.41   96.17   50.32   48.91
5SX, E, H, 9           1   95.15   94.58   51.92   48.66

DECLARER, Board 24|32

Contract           Count Overall     Bid    Play
1NT, E, D, 8           1   75.64   70.14   55.50
2DX, S, D, 9           1   80.27   56.39   73.88
2NT, E, D, 6           1   31.28   60.64   20.64
2NT, E, D, 7           4   56.22   60.64   45.58
2NT, E, D, 8           2   75.64   60.64   65.00
2NT, E, H, 8           1   75.64   60.64   65.00
2NTX, E, D, 6          1    3.30   58.04   -4.74
2NTX, S, C, 6          1    8.17    8.17   50.00
3DX, S, C, 8           1   28.69   38.20   40.49
3NT, E, C, 10          1   97.59   42.36  105.23
3NT, E, D, 10          1   97.59   42.36  105.23
3NT, E, D, 5           1    5.27   42.36   12.90
3NT, E, D, 6           6   12.77   42.36   20.41
3NT, E, D, 7           6   30.85   42.36   38.49
3NT, E, D, 8          12   55.63   42.36   63.27
3NT, E, D, 9           1   95.14   42.36  102.78
3NT, E, H, 7           1   30.85   42.36   38.49
3NT, E, S, 8           1   55.63   42.36   63.27
3NT, E, S, 9           1   95.14   42.36  102.78
3NTX, E, H, 6          1    1.80   22.43   29.37
3NTXX, E, D, 7         1    0.04   10.91   39.13
3S, E, S, 9            2   86.15   86.15   50.00
4C, W, C, 8            1   31.29   68.98   12.31
4C, W, H, 10           2   81.54   68.98   62.56
4C, W, S, 10           1   81.54   68.98   62.56
4D, S, C, 8            1   28.69   25.71   52.98
4DX, S, C, 7           1    6.42   11.78   44.63
4DX, S, C, 8           1    8.17   11.78   46.39
4H, E, D, 7            1   12.12   12.12   50.00
4S, W, D, 8            1   30.63   30.63   50.00
5CX, E, C, 8           1    1.14    1.14   50.00

DEFENDER, Board 24|32

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 8           1   24.36   29.86   51.36   43.14
2DX, S, D, 9           1   19.73   43.61   27.44   48.68
2NT, E, D, 6           1   68.72   39.36   51.76   77.60
2NT, E, D, 7           4   43.78   39.36   51.76   52.66
2NT, E, D, 8           2   24.36   39.36   51.76   33.24
2NT, E, H, 8           1   24.36   39.36   56.84   28.16
2NTX, E, D, 6          1   96.70   41.96   51.76  102.98
2NTX, S, C, 6          1   91.83   91.83   48.52   51.48
3DX, S, C, 8           1   71.31   61.80   64.07   45.43
3NT, E, C, 10          1    2.41   57.64   -6.76   51.53
3NT, E, D, 10          1    2.41   57.64   52.70   -7.93
3NT, E, D, 5           1   94.73   57.64   52.70   84.40
3NT, E, D, 6           6   87.23   57.64   52.70   76.89
3NT, E, D, 7           6   69.15   57.64   52.70   58.81
3NT, E, D, 8          12   44.37   57.64   52.70   34.03
3NT, E, D, 9           1    4.86   57.64   52.70   -5.48
3NT, E, H, 7           1   69.15   57.64   59.32   52.19
3NT, E, S, 8           1   44.37   57.64   17.36   69.37
3NT, E, S, 9           1    4.86   57.64   17.36   29.86
3NTX, E, H, 6          1   98.20   77.57   59.56   61.07
3NTXX, E, D, 7         1   99.96   89.09   52.66   58.21
3S, E, S, 9            2   13.85   13.85   49.31   50.69
4C, W, C, 8            1   68.71   31.02   88.28   49.42
4C, W, H, 10           2   18.46   31.02   36.52   50.91
4C, W, S, 10           1   18.46   31.02   36.52   50.91
4D, S, C, 8            1   71.31   74.29   50.98   46.04
4DX, S, C, 7           1   93.58   88.22   52.79   52.57
4DX, S, C, 8           1   91.83   88.22   52.79   50.82
4H, E, D, 7            1   87.88   87.88   48.09   51.91
4S, W, D, 8            1   69.37   69.37   49.93   50.07
5CX, E, C, 8           1   98.86   98.86   48.51   51.49

DECLARER, Board 2|19

Contract           Count Overall     Bid    Play
3NT, E, D, 13          1   72.37   36.95   85.42
3NT, E, H, 12          1   43.67   36.95   56.72
3NT, E, H, 9           2   15.88   36.95   28.93
3NT, W, D, 12          1   43.98   47.25   46.73
3NT, W, D, 13          1   72.29   47.25   75.04
3NT, W, H, 12          8   43.98   47.25   46.73
3NT, W, H, 13          1   72.29   47.25   75.04
3NT, W, S, 11          1   19.59   47.25   22.33
3NT, W, S, 12          6   43.98   47.25   46.73
3NT, W, S, 13          2   72.29   47.25   75.04
4D, E, H, 9            1    9.98   11.88   48.10
4D, W, C, 10           1   11.49   11.71   49.78
4HX, W, S, 11          1   79.47   79.47   50.00
4NT, W, D, 11          1   19.59   47.25   22.33
4NT, W, D, 12          1   43.98   47.25   46.73
4NT, W, D, 13          1   72.29   47.25   75.04
4NT, W, H, 12          3   43.98   47.25   46.73
4NT, W, S, 12          5   43.98   47.25   46.73
4NT, W, S, 13          1   72.29   47.25   75.04
5NT, W, C, 12          1   43.98   47.25   46.73
6C, E, D, 13           1   87.51   60.40   77.11
6C, E, H, 12           1   83.79   60.40   73.38
6C, E, S, 11           1    9.91   60.40   -0.49
6D, E, H, 12           2   83.57   63.66   69.90
6D, E, S, 12           1   83.57   63.66   69.90
6D, W, S, 10           1    6.29   31.92   24.36
6D, W, S, 12           1   83.20   31.92  101.28
6NT, W, D, 12          1   93.58   89.47   54.11
6NT, W, S, 12          3   93.58   89.47   54.11
6S, E, H, 10           1    5.99    5.99   50.00
6S, W, H, 12           1   89.85   89.85   50.00
pass                   4   89.39   89.39   50.00

DEFENDER, Board 2|19

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 13          1   27.63   63.05   13.26   51.32
3NT, E, H, 12          1   56.33   63.05   60.92   32.36
3NT, E, H, 9           2   84.12   63.05   60.92   60.15
3NT, W, D, 12          1   56.02   52.75   46.96   56.31
3NT, W, D, 13          1   27.71   52.75   46.96   28.00
3NT, W, H, 12          8   56.02   52.75   50.10   53.17
3NT, W, H, 13          1   27.71   52.75   50.10   24.86
3NT, W, S, 11          1   80.41   52.75   49.06   78.61
3NT, W, S, 12          6   56.02   52.75   49.06   54.21
3NT, W, S, 13          2   27.71   52.75   49.06   25.91
4D, E, H, 9            1   90.02   88.12   50.07   51.82
4D, W, C, 10           1   88.51   88.29   47.67   52.54
4HX, W, S, 11          1   20.53   20.53   48.77   51.23
4NT, W, D, 11          1   80.41   52.75   46.96   80.71
4NT, W, D, 12          1   56.02   52.75   46.96   56.31
4NT, W, D, 13          1   27.71   52.75   46.96   28.00
4NT, W, H, 12          3   56.02   52.75   50.10   53.17
4NT, W, S, 12          5   56.02   52.75   49.06   54.21
4NT, W, S, 13          1   27.71   52.75   49.06   25.91
5NT, W, C, 12          1   56.02   52.75   52.52   50.75
6C, E, D, 13           1   12.49   39.60   19.18   53.71
6C, E, H, 12           1   16.21   39.60   24.44   52.18
6C, E, S, 11           1   90.09   39.60  106.02   44.47
6D, E, H, 12           2   16.43   36.34   56.35   23.74
6D, E, S, 12           1   16.43   36.34   27.70   52.40
6D, W, S, 10           1   93.71   68.08   38.50   87.13
6D, W, S, 12           1   16.80   68.08   38.50   10.22
6NT, W, D, 12          1    6.42   10.53   56.72   39.17
6NT, W, S, 12          3    6.42   10.53   46.83   49.07
6S, E, H, 10           1   94.01   94.01   55.12   44.88
6S, W, H, 12           1   10.15   10.15   46.87   53.13
pass                   4   10.61   10.61   50.00   50.00

DECLARER, Board 2|20

Contract           Count Overall     Bid    Play
2S, E, D, 10           2   14.59   14.46   50.13
3H, E, D, 10           2   14.62   14.62   50.00
3NT, E, D, 7           1    0.09    0.09   50.00
3S, E, C, 10           1   14.59   14.46   50.13
3S, E, D, 10           1   14.59   14.46   50.13
4H, E, D, 10           6   60.33   60.33   50.00
4H, W, D, 10           2   60.33   60.33   50.00
4S, E, C, 10           1   60.30   58.65   51.65
4S, E, D, 10          25   60.30   58.65   51.65
4S, E, H, 10           1   60.30   58.65   51.65
4S, E, H, 9            1    6.01   58.65   -2.65
4S, W, D, 10          10   60.26   56.08   54.18
4S, W, D, 9            1    5.97   56.08   -0.12
4S, W, H, 10           1   60.26   56.08   54.18
5H, E, D, 10           1    5.16    5.16   50.00
5S, E, D, 10           1    5.13    5.00   50.13
5S, W, D, 10           1    5.09    4.77   50.32

DEFENDER, Board 2|20

Contract           Count Overall     Bid    Lead Restdef
2S, E, D, 10           2   85.41   85.54   49.55   50.32
3H, E, D, 10           2   85.38   85.38   49.71   50.29
3NT, E, D, 7           1   99.91   99.91   50.09   49.91
3S, E, C, 10           1   85.41   85.54   49.55   50.32
3S, E, D, 10           1   85.41   85.54   49.55   50.32
4H, E, D, 10           6   39.67   39.67   49.80   50.20
4H, W, D, 10           2   39.67   39.67   49.80   50.20
4S, E, C, 10           1   39.70   41.35   48.13   50.23
4S, E, D, 10          25   39.70   41.35   48.13   50.23
4S, E, H, 10           1   39.70   41.35   75.76   22.60
4S, E, H, 9            1   93.99   41.35   75.76   76.89
4S, W, D, 10          10   39.74   43.92   50.16   45.66
4S, W, D, 9            1   94.03   43.92   50.16   99.95
4S, W, H, 10           1   39.74   43.92   45.56   50.27
5H, E, D, 10           1   94.84   94.84   49.89   50.11
5S, E, D, 10           1   94.87   95.00   49.74   50.13
5S, W, D, 10           1   94.91   95.23   49.94   49.74

DECLARER, Board 3|21

Contract           Count Overall     Bid    Play
1NT, E, C, 6           1   33.92   33.92   50.00
1NT, N, C, 6           2   50.67   51.90   48.77
1NT, N, C, 7           3   76.83   51.90   74.93
1NT, N, D, 5           3   22.57   51.90   20.68
1NT, N, D, 6           1   50.67   51.90   48.77
1NT, N, D, 7           1   76.83   51.90   74.93
1NT, N, H, 7           1   76.83   51.90   74.93
1NT, N, S, 6           1   50.67   51.90   48.77
1NTX, N, C, 6          1   21.99   42.56   29.43
1NTX, N, D, 6          1   21.99   42.56   29.43
1S, E, D, 8            1   59.70   62.25   47.45
1SXX, E, H, 8          1   98.25   98.98   49.27
2C, N, H, 7            1   50.18   36.27   63.90
2CX, N, H, 6           1    3.98   12.73   41.24
2D, E, C, 8            1   42.69   42.69   50.00
2D, N, D, 7            1   49.85   17.09   82.75
2D, N, H, 4            3    8.50   17.09   41.41
2D, N, H, 5            1   13.34   17.09   46.25
2D, N, H, 6            1   21.38   17.09   54.29
2D, N, S, 5            2   13.34   17.09   46.25
2HX, W, D, 6           1    0.00    0.00   50.00
2NT, N, S, 5           1   14.09   29.23   34.86
2S, E, D, 10           1   71.21   61.92   59.29
2S, E, D, 8            1   59.70   61.92   47.78
2S, E, D, 9            1   67.12   61.92   55.20
2S, E, H, 7            1   34.76   61.92   22.84
2S, E, H, 8            1   59.70   61.92   47.78
2S, W, D, 8            1   59.59   61.43   48.16
2S, W, H, 8            1   59.59   61.43   48.16
3CX, S, H, 6           1    0.73    0.73   50.00
3NT, W, D, 6           1    3.36    3.36   50.00
3S, E, C, 9            1   67.12   47.22   69.90
3S, E, D, 8            2   34.25   47.22   37.03
3S, E, D, 9            1   67.12   47.22   69.90
3S, E, H, 9            1   67.12   47.22   69.90
4S, E, C, 9            1   33.44   23.26   60.19
4S, E, D, 8            6   12.21   23.26   38.95
4S, E, D, 9            3   33.44   23.26   60.19
4S, E, H, 8            1   12.21   23.26   38.95
4S, E, H, 9            1   33.44   23.26   60.19
4S, W, D, 8            1   12.10   17.39   44.71
4S, W, H, 9            1   33.26   17.39   65.87

DEFENDER, Board 3|21

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 6           1   66.08   66.08   49.71   50.29
1NT, N, C, 6           2   49.33   48.10   37.42   63.80
1NT, N, C, 7           3   23.17   48.10   37.42   37.65
1NT, N, D, 5           3   77.43   48.10   61.11   68.22
1NT, N, D, 6           1   49.33   48.10   61.11   40.12
1NT, N, D, 7           1   23.17   48.10   61.11   13.96
1NT, N, H, 7           1   23.17   48.10   22.95   52.12
1NT, N, S, 6           1   49.33   48.10   65.93   35.29
1NTX, N, C, 6          1   78.01   57.44   32.46   88.11
1NTX, N, D, 6          1   78.01   57.44   67.12   53.46
1S, E, D, 8            1   40.30   37.75   49.37   53.18
1SXX, E, H, 8          1    1.75    1.02   50.43   50.30
2C, N, H, 7            1   49.82   63.73   50.31   35.79
2CX, N, H, 6           1   96.02   87.27   50.01   58.74
2D, E, C, 8            1   57.31   57.31   48.83   51.17
2D, N, D, 7            1   50.15   82.91   17.09   50.15
2D, N, H, 4            3   91.50   82.91   55.87   52.73
2D, N, H, 5            1   86.66   82.91   55.87   47.89
2D, N, H, 6            1   78.62   82.91   55.87   39.85
2D, N, S, 5            2   86.66   82.91   53.94   49.82
2HX, W, D, 6           1  100.00  100.00   50.00   50.00
2NT, N, S, 5           1   85.91   70.77   61.69   53.45
2S, E, D, 10           1   28.79   38.08   49.04   41.67
2S, E, D, 8            1   40.30   38.08   49.04   53.18
2S, E, D, 9            1   32.88   38.08   49.04   45.76
2S, E, H, 7            1   65.24   38.08   53.88   73.28
2S, E, H, 8            1   40.30   38.08   53.88   48.34
2S, W, D, 8            1   40.41   38.57   51.78   50.06
2S, W, H, 8            1   40.41   38.57   47.83   54.01
3CX, S, H, 6           1   99.27   99.27   50.73   49.27
3NT, W, D, 6           1   96.64   96.64   51.61   48.39
3S, E, C, 9            1   32.88   52.78   29.67   50.42
3S, E, D, 8            2   65.75   52.78   50.23   62.74
3S, E, D, 9            1   32.88   52.78   50.23   29.86
3S, E, H, 9            1   32.88   52.78   55.99   24.11
4S, E, C, 9            1   66.56   76.74   39.05   50.77
4S, E, D, 8            6   87.79   76.74   50.61   60.44
4S, E, D, 9            3   66.56   76.74   50.61   39.21
4S, E, H, 8            1   87.79   76.74   56.74   54.31
4S, E, H, 9            1   66.56   76.74   56.74   33.08
4S, W, D, 8            1   87.90   82.61   57.74   47.55
4S, W, H, 9            1   66.74   82.61   45.46   38.67

DECLARER, Board 3|22

Contract           Count Overall     Bid    Play
1NT, N, S, 7           2   71.93   84.88   37.05
1NT, N, S, 8           3   93.51   84.88   58.63
1NT, S, S, 6           1   49.30   71.36   27.94
1NT, S, S, 8           1   93.42   71.36   72.06
1NT, W, C, 6           1   19.82   19.82   50.00
1S, S, H, 7            1   67.02   67.02   50.00
1S, W, H, 7            1   69.59   84.21   35.38
1S, W, H, 8            1   91.52   84.21   57.31
2C, N, S, 8            3   71.11   63.89   57.22
2H, S, C, 8            1   87.28   59.14   78.14
2H, S, H, 7            1   49.08   59.14   39.94
2H, S, S, 7           10   49.08   59.14   39.94
2H, S, S, 8            2   87.28   59.14   78.14
2S, E, H, 8            1   91.81   91.81   50.00
2S, W, C, 8            1   91.52   67.82   73.70
2S, W, D, 7            1   20.41   67.82    2.59
2S, W, D, 8            1   91.52   67.82   73.70
2S, W, H, 7            1   20.41   67.82    2.59
2S, W, H, 8            6   91.52   67.82   73.70
2S, W, S, 7            2   20.41   67.82    2.59
3C, N, S, 7            3   24.42   40.52   33.90
3C, N, S, 8            3   48.57   40.52   58.05
3C, S, S, 8            2   48.86   48.86   50.00
3H, S, S, 7            4   24.05   32.56   41.49
3H, S, S, 8            1   48.25   32.56   65.69
3H, S, S, 9            1   97.41   32.56  114.86
3S, E, C, 8            1   19.82   19.82   50.00
3SX, W, H, 8           1    0.00    0.00   50.00
4H, N, H, 8            1   23.83   23.83   50.00

DEFENDER, Board 3|22

Contract           Count Overall     Bid    Lead Restdef
1NT, N, S, 7           2   28.07   15.12   50.49   62.46
1NT, N, S, 8           3    6.49   15.12   50.49   40.88
1NT, S, S, 6           1   50.70   28.64   50.31   71.75
1NT, S, S, 8           1    6.58   28.64   50.31   27.63
1NT, W, C, 6           1   80.18   80.18   49.65   50.35
1S, S, H, 7            1   32.98   32.98   52.11   47.89
1S, W, H, 7            1   30.41   15.79   46.84   67.78
1S, W, H, 8            1    8.48   15.79   46.84   45.85
2C, N, S, 8            3   28.89   36.11   51.02   41.75
2H, S, C, 8            1   12.72   40.86   21.42   50.44
2H, S, H, 7            1   50.92   40.86   60.89   49.17
2H, S, S, 7           10   50.92   40.86   51.53   58.52
2H, S, S, 8            2   12.72   40.86   51.53   20.32
2S, E, H, 8            1    8.19    8.19   49.71   50.29
2S, W, C, 8            1    8.48   32.18   25.71   50.58
2S, W, D, 7            1   79.59   32.18   61.68   85.73
2S, W, D, 8            1    8.48   32.18   61.68   14.62
2S, W, H, 7            1   79.59   32.18   40.10  107.31
2S, W, H, 8            6    8.48   32.18   40.10   36.20
2S, W, S, 7            2   79.59   32.18   97.64   49.77
3C, N, S, 7            3   75.58   59.48   50.46   65.64
3C, N, S, 8            3   51.43   59.48   50.46   41.49
3C, S, S, 8            2   51.14   51.14   50.61   49.39
3H, S, S, 7            4   75.95   67.44   50.64   57.87
3H, S, S, 8            1   51.75   67.44   50.64   33.67
3H, S, S, 9            1    2.59   67.44   50.64  -15.49
3S, E, C, 8            1   80.18   80.18   49.65   50.35
3SX, W, H, 8           1  100.00  100.00   50.00   50.00
4H, N, H, 8            1   76.17   76.17   50.15   49.85

DECLARER, Board 4|23

Contract           Count Overall     Bid    Play
2S, E, D, 9            1   86.84   86.84   50.00
2S, N, C, 9            1   69.74   73.44   46.30
2S, S, C, 10           1   86.61   77.64   58.97
2S, S, C, 9            3   69.95   77.64   42.31
3C, E, H, 12           2   95.13   79.46   65.68
3C, E, H, 9            4   74.39   79.46   44.93
3C, N, D, 9            1   57.33   57.33   50.00
3D, W, H, 10           1   81.23   77.89   53.33
3HX, W, C, 8           1    4.16    4.16   50.00
3NT, E, S, 7           1    4.60   51.51    3.09
3NTX, E, C, 9          1  100.00   50.81   99.19
3S, E, H, 9            1   86.84   86.84   50.00
3S, N, C, 10           2   86.40   73.44   62.96
3S, N, C, 9            6   69.74   73.44   46.30
3S, S, C, 10           2   86.61   77.64   58.97
3S, S, C, 9            3   69.95   77.64   42.31
3S, S, D, 10           1   86.61   77.64   58.97
3S, S, S, 10           1   86.61   77.64   58.97
4C, E, H, 12           1   95.13   66.65   78.48
4C, E, H, 9            3   56.09   66.65   39.44
4C, E, S, 10           1   81.27   66.65   64.62
4C, E, S, 11           1   90.53   66.65   73.88
4C, E, S, 9            6   56.09   66.65   39.44
4C, W, H, 9            2   56.12   67.57   38.55
4C, W, S, 11           1   90.47   67.57   72.90
4D, E, H, 9            1   55.83   55.83   50.00
4D, W, H, 10           2   81.23   68.75   62.48
4D, W, H, 9            3   56.27   68.75   37.52
4S, S, C, 9            1   31.35   62.85   18.50
4S, S, D, 10           1   99.60   62.85   86.75
5C, E, H, 9            1    4.43   30.55   23.87
5C, E, S, 11           1   98.33   30.55  117.78

DEFENDER, Board 4|23

Contract           Count Overall     Bid    Lead Restdef
2S, E, D, 9            1   13.16   13.16   50.00   50.00
2S, N, C, 9            1   30.26   26.56   49.37   54.34
2S, S, C, 10           1   13.39   22.36   52.20   38.83
2S, S, C, 9            3   30.05   22.36   52.20   55.49
3C, E, H, 12           2    4.87   20.54   49.39   34.93
3C, E, H, 9            4   25.61   20.54   49.39   55.68
3C, N, D, 9            1   42.67   42.67   49.43   50.57
