DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
4H, E, D, 8            2   -5.64   -5.64   -0.00
4H, W, S, 8            6   -5.64   -5.38   -0.25
4S, N, D, 8            6   -3.87   -2.61   -1.26
4S, N, D, 9            2   -1.31   -2.61    1.30
4S, N, H, 8            1   -3.87   -2.61   -1.26
4S, N, H, 9            3   -1.31   -2.61    1.30
4SX, N, C, 8           1   -9.35   -6.99   -2.36
4SX, N, D, 8           5   -9.35   -6.99   -2.36
4SX, N, D, 9           3   -3.87   -6.99    3.12

DEFENDER, Board 6|10

Contract           Count Overall     Bid    Lead Restdef
2S, N, D, 10           2   -5.22   -3.70    0.01   -1.53
2S, N, D, 8            6   -3.36   -3.70    0.01    0.33
2S, N, D, 9            1   -4.30   -3.70    0.01   -0.60
2S, N, H, 8            1   -3.36   -3.70   -0.06    0.40
2S, N, H, 9            2   -4.30   -3.70   -0.06   -0.53
3D, S, H, 8            1    1.31    1.31    0.00    0.00
3H, W, S, 8            2    3.36    2.73    0.00    0.63
3H, W, S, 9            1   -2.30    2.73    0.00   -5.03
3S, N, D, 8           16    1.31   -0.59    0.11    1.79
3S, N, D, 9            7   -4.30   -0.59    0.11   -3.82
3S, N, H, 8            6    1.31   -0.59   -0.51    2.40
3S, N, H, 9            1   -4.30   -0.59   -0.51   -3.21
3S, S, D, 8            1    1.31    1.31    0.00    0.00
3S, S, H, 8            1    1.31    1.31    0.00    0.00
4C, E, S, 9            1    3.36    3.36    0.00    0.00
4H, E, D, 8            2    5.64    5.64    0.00    0.00
4H, W, S, 8            6    5.64    5.38    0.00    0.25
4S, N, D, 8            6    3.87    2.61   -0.07    1.34
4S, N, D, 9            2    1.31    2.61   -0.07   -1.22
4S, N, H, 8            1    3.87    2.61    0.17    1.10
4S, N, H, 9            3    1.31    2.61    0.17   -1.46
4SX, N, C, 8           1    9.35    6.99    2.36    0.00
4SX, N, D, 8           5    9.35    6.99   -0.05    2.41
4SX, N, D, 9           3    3.87    6.99   -0.05   -3.07

DECLARER, Board 6|2

Contract           Count Overall     Bid    Play
3DX, N, C, 10          1   14.74   14.28    0.46
3S, E, D, 10           3   -2.83   -2.86    0.03
3S, E, H, 9            1   -3.68   -2.86   -0.82
3SX, E, H, 10          1    6.52    6.45    0.07
4C, S, D, 10           1    8.35    6.22    2.13
4C, S, S, 10           1    8.35    6.22    2.13
4C, S, S, 11           1    8.51    6.22    2.28
4C, S, S, 9            4    4.31    6.22   -1.91
4D, N, C, 10           2    8.35    6.66    1.69
4D, N, C, 9            1    4.31    6.66   -2.35
4D, N, S, 10           2    8.35    6.66    1.69
4D, N, S, 11           1    8.51    6.66    1.85
4H, N, S, 7            1    0.05   -0.88    0.93
4H, S, S, 8            1    2.30    1.21    1.09
4HX, N, C, 6           1  -12.55  -10.73   -1.81
4S, E, D, 10           3    2.27    1.97    0.30
4SX, E, C, 10          4    5.58    5.16    0.43
4SX, E, D, 10          8    5.58    5.16    0.43
4SX, E, H, 10          7    5.58    5.16    0.43
4SX, E, S, 10          4    5.58    5.16    0.43
4SX, W, H, 10          3    5.58    5.58   -0.00
5C, S, S, 10           5    4.31    3.77    0.55
5C, S, S, 9            5    2.30    3.77   -1.47
5D, N, C, 10           4    4.31    3.93    0.38
5D, N, C, 9            5    2.30    3.93   -1.63
5D, N, S, 10           1    4.31    3.93    0.38
5D, N, S, 9            2    2.30    3.93   -1.63
5D, S, S, 8            1    0.05    0.05   -0.00
5H, S, S, 9            1    2.30   -0.77    3.07
5HX, S, C, 7           1  -12.55   -9.91   -2.63
5HX, S, S, 6           1  -14.53   -9.91   -4.62
5S, W, H, 10           1   -7.17   -7.17   -0.00

DEFENDER, Board 6|2

Contract           Count Overall     Bid    Lead Restdef
3DX, N, C, 10          1  -14.74  -14.28    0.10   -0.56
3S, E, D, 10           3    2.83    2.86   -0.03    0.00
3S, E, H, 9            1    3.68    2.86    0.07    0.75
3SX, E, H, 10          1   -6.52   -6.45    0.16   -0.23
4C, S, D, 10           1   -8.35   -6.22   -2.13    0.00
4C, S, S, 10           1   -8.35   -6.22    0.13   -2.26
4C, S, S, 11           1   -8.51   -6.22    0.13   -2.42
4C, S, S, 9            4   -4.31   -6.22    0.13    1.78
4D, N, C, 10           2   -8.35   -6.66    0.17   -1.86
4D, N, C, 9            1   -4.31   -6.66    0.17    2.17
4D, N, S, 10           2   -8.35   -6.66   -0.37   -1.32
4D, N, S, 11           1   -8.51   -6.66   -0.37   -1.48
4H, N, S, 7            1   -0.05    0.88   -0.93    0.00
4H, S, S, 8            1   -2.30   -1.21   -0.39   -0.70
4HX, N, C, 6           1   12.55   10.73    1.81    0.00
4S, E, D, 10           3   -2.27   -1.97   -0.30    0.00
4SX, E, C, 10          4   -5.58   -5.16   -0.43    0.00
4SX, E, D, 10          8   -5.58   -5.16   -0.43    0.00
4SX, E, H, 10          7   -5.58   -5.16    1.05   -1.48
4SX, E, S, 10          4   -5.58   -5.16   -0.43    0.00
4SX, W, H, 10          3   -5.58   -5.58    0.00    0.00
5C, S, S, 10           5   -4.31   -3.77    0.03   -0.58
5C, S, S, 9            5   -2.30   -3.77    0.03    1.43
5D, N, C, 10           4   -4.31   -3.93    0.55   -0.93
5D, N, C, 9            5   -2.30   -3.93    0.55    1.08
5D, N, S, 10           1   -4.31   -3.93   -1.18    0.80
5D, N, S, 9            2   -2.30   -3.93   -1.18    2.81
5D, S, S, 8            1   -0.05   -0.05    0.00    0.00
5H, S, S, 9            1   -2.30    0.77   -0.34   -2.73
5HX, S, C, 7           1   12.55    9.91    2.63    0.00
5HX, S, S, 6           1   14.53    9.91   -0.88    5.50
5S, W, H, 10           1    7.17    7.17    0.00    0.00

DECLARER, Board 6|3

Contract           Count Overall     Bid    Play
2D, N, S, 8            2   -1.35   -2.45    1.10
2D, N, S, 9            1   -1.12   -2.45    1.34
2H, N, S, 8            1   -1.12   -1.12   -0.00
2H, S, C, 8            1   -1.12   -1.12   -0.00
3C, N, S, 10           5   -0.62   -0.42   -0.20
3C, N, S, 11           5    0.00   -0.42    0.42
3C, S, C, 11           2    0.00   -0.09    0.09
3C, S, C, 12           1    0.55   -0.09    0.64
3C, S, H, 11           2    0.00   -0.09    0.09
3C, S, S, 11           2    0.00   -0.09    0.09
3C, S, S, 9            1   -1.12   -0.09   -1.02
3D, N, S, 6            1   -6.82   -4.34   -2.48
3NT, N, S, 8           1   -4.71   -4.71   -0.00
3NT, S, S, 6           1   -6.82   -6.82   -0.00
3S, E, D, 8            1    1.30    1.30   -0.00
4C, N, H, 10           1   -0.62   -0.90    0.27
4C, N, S, 10           1   -0.62   -0.90    0.27
4C, S, C, 11           1    0.00   -0.37    0.37
5C, N, D, 11           1    5.68    0.65    5.02
5C, N, H, 11           2    5.68    0.65    5.02
5C, N, S, 10          11   -4.71    0.65   -5.37
5C, N, S, 11          20    5.68    0.65    5.02
5C, N, S, 8            1   -6.82    0.65   -7.47
5C, N, S, 9            6   -6.00    0.65   -6.65
5C, S, D, 10           1   -4.71    4.01   -8.73
5C, S, H, 11           1    5.68    4.01    1.66
5C, S, S, 11           2    5.68    4.01    1.66
6C, N, S, 11           1   -4.71   -5.45    0.73
6C, N, S, 9            1   -6.82   -5.45   -1.37
6CX, N, H, 11          1   -6.00   -7.86    1.86

DEFENDER, Board 6|3

Contract           Count Overall     Bid    Lead Restdef
2D, N, S, 8            2    1.35    2.45    0.00   -1.10
2D, N, S, 9            1    1.12    2.45    0.00   -1.34
2H, N, S, 8            1    1.12    1.12    0.00    0.00
2H, S, C, 8            1    1.12    1.12    0.00    0.00
3C, N, S, 10           5    0.62    0.42    0.03    0.17
3C, N, S, 11           5   -0.00    0.42    0.03   -0.45
3C, S, C, 11           2   -0.00    0.09   -0.23    0.14
3C, S, C, 12           1   -0.55    0.09   -0.23   -0.41
3C, S, H, 11           2   -0.00    0.09   -0.09    0.00
3C, S, S, 11           2   -0.00    0.09    0.13   -0.22
3C, S, S, 9            1    1.12    0.09    0.13    0.89
3D, N, S, 6            1    6.82    4.34    0.00    2.48
3NT, N, S, 8           1    4.71    4.71    0.00    0.00
3NT, S, S, 6           1    6.82    6.82    0.00    0.00
3S, E, D, 8            1   -1.30   -1.30    0.00    0.00
4C, N, H, 10           1    0.62    0.90   -0.74    0.47
4C, N, S, 10           1    0.62    0.90    0.08   -0.35
4C, S, C, 11           1   -0.00    0.37   -0.50    0.14
5C, N, D, 11           1   -5.68   -0.65   -5.02    0.00
5C, N, H, 11           2   -5.68   -0.65   -2.42   -2.60
5C, N, S, 10          11    4.71   -0.65    0.29    5.08
5C, N, S, 11          20   -5.68   -0.65    0.29   -5.31
5C, N, S, 8            1    6.82   -0.65    0.29    7.18
5C, N, S, 9            6    6.00   -0.65    0.29    6.36
5C, S, D, 10           1    4.71   -4.01    8.73    0.00
5C, S, H, 11           1   -5.68   -4.01   -1.66    0.00
5C, S, S, 11           2   -5.68   -4.01    0.67   -2.34
6C, N, S, 11           1    4.71    5.45    0.05   -0.78
6C, N, S, 9            1    6.82    5.45    0.05    1.33
6CX, N, H, 11          1    6.00    7.86   -1.09   -0.78

DECLARER, Board 6|4

Contract           Count Overall     Bid    Play
1NT, E, D, 7           2   -4.66   -4.66   -0.00
1NT, N, C, 4           4   -0.35    1.46   -1.81
1NT, N, C, 5           4    2.05    1.46    0.59
1NT, N, H, 5           1    2.05    1.46    0.59
1NT, N, H, 6           1    4.51    1.46    3.05
1NT, S, S, 5           1    2.05    2.05   -0.00
1NTX, N, C, 4          1   -9.04   -5.26   -3.77
1S, W, C, 10           2   -2.94   -3.14    0.21
2D, W, D, 7            1   -8.69   -8.69   -0.00
2H, E, D, 10           1   -2.94   -3.24    0.31
2H, E, D, 9            1   -3.55   -3.24   -0.31
2NT, S, S, 5           1   -0.35   -0.35   -0.00
2S, E, C, 10           1   -2.94   -3.14    0.20
2S, E, D, 10           9   -2.94   -3.14    0.20
2S, E, D, 8            1   -4.44   -3.14   -1.30
2S, E, D, 9            4   -3.55   -3.14   -0.41
2S, E, H, 10           3   -2.94   -3.14    0.20
2S, E, H, 9            2   -3.55   -3.14   -0.41
2S, E, S, 11           1   -2.05   -3.14    1.09
2S, W, C, 10           9   -2.94   -3.14    0.21
2S, W, C, 8            1   -4.44   -3.14   -1.30
2S, W, C, 9            2   -3.55   -3.14   -0.40
2S, W, D, 10           1   -2.94   -3.14    0.21
2S, W, D, 9            1   -3.55   -3.14   -0.40
2SX, S, S, 3           1  -13.78  -13.78   -0.00
3C, S, S, 5            1   -2.44   -1.40   -1.05
3C, S, S, 6            1   -0.35   -1.40    1.05
3CX, N, S, 5           2  -11.81  -11.81   -0.00
3D, N, C, 5            1   -2.44   -2.44   -0.00
3D, S, C, 4            6   -4.42   -3.54   -0.88
3D, S, C, 5            4   -2.44   -3.54    1.10
3D, S, C, 6            1   -0.35   -3.54    3.19
3DX, S, C, 3           1  -15.99  -12.88   -3.11
3DX, S, C, 4           2  -13.78  -12.88   -0.90
3DX, S, C, 5           2  -11.81  -12.88    1.08
3NT, N, C, 6           1   -0.35   -2.92    2.56

DEFENDER, Board 6|4

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 7           2    4.66    4.66    0.00    0.00
1NT, N, C, 4           4    0.35   -1.46    0.36    1.45
1NT, N, C, 5           4   -2.05   -1.46    0.36   -0.96
1NT, N, H, 5           1   -2.05   -1.46   -1.82    1.23
1NT, N, H, 6           1   -4.51   -1.46   -1.82   -1.23
1NT, S, S, 5           1   -2.05   -2.05    0.00    0.00
1NTX, N, C, 4          1    9.04    5.26    0.82    2.96
1S, W, C, 10           2    2.94    3.14   -0.01   -0.19
2D, W, D, 7            1    8.69    8.69    0.00    0.00
2H, E, D, 10           1    2.94    3.24    0.00   -0.31
2H, E, D, 9            1    3.55    3.24    0.00    0.31
2NT, S, S, 5           1    0.35    0.35    0.00    0.00
2S, E, C, 10           1    2.94    3.14   -0.20    0.00
2S, E, D, 10           9    2.94    3.14    0.08   -0.28
2S, E, D, 8            1    4.44    3.14    0.08    1.22
2S, E, D, 9            4    3.55    3.14    0.08    0.33
2S, E, H, 10           3    2.94    3.14    0.04   -0.24
2S, E, H, 9            2    3.55    3.14    0.04    0.37
2S, E, S, 11           1    2.05    3.14   -1.09    0.00
2S, W, C, 10           9    2.94    3.14   -0.01   -0.19
2S, W, C, 8            1    4.44    3.14   -0.01    1.31
2S, W, C, 9            2    3.55    3.14   -0.01    0.42
2S, W, D, 10           1    2.94    3.14    0.10   -0.31
2S, W, D, 9            1    3.55    3.14    0.10    0.31
2SX, S, S, 3           1   13.78   13.78    0.00    0.00
3C, S, S, 5            1    2.44    1.40    0.00    1.05
3C, S, S, 6            1    0.35    1.40    0.00   -1.05
3CX, N, S, 5           2   11.81   11.81    0.00    0.00
3D, N, C, 5            1    2.44    2.44    0.00    0.00
3D, S, C, 4            6    4.42    3.54    0.00    0.88
3D, S, C, 5            4    2.44    3.54    0.00   -1.10
3D, S, C, 6            1    0.35    3.54    0.00   -3.19
3DX, S, C, 3           1   15.99   12.88    0.00    3.11
3DX, S, C, 4           2   13.78   12.88    0.00    0.90
3DX, S, C, 5           2   11.81   12.88    0.00   -1.08
3NT, N, C, 6           1    0.35    2.92    0.30   -2.87

DECLARER, Board 6|5

Contract           Count Overall     Bid    Play
3NT, N, C, 10          4    5.70    0.02    5.68
3NT, N, C, 11          2    6.62    0.02    6.61
3NT, N, C, 7           2   -8.31    0.02   -8.33
3NT, N, C, 8          16   -6.45    0.02   -6.47
3NT, N, C, 9           2    5.14    0.02    5.13
3NT, N, D, 10          1    5.70    0.02    5.68
3NT, N, D, 8           1   -6.45    0.02   -6.47
3NT, N, H, 10         10    5.70    0.02    5.68
3NT, N, H, 11          1    6.62    0.02    6.61
3NT, N, S, 10          2    5.70    0.02    5.68
3NT, S, C, 10          4    5.70    0.60    5.10
3NT, S, C, 11          1    6.62    0.60    6.02
3NT, S, C, 6           1   -9.87    0.60  -10.47
3NT, S, C, 7           3   -8.31    0.60   -8.91
3NT, S, C, 8           9   -6.45    0.60   -7.06
3NT, S, C, 9          13    5.14    0.60    4.54
3NT, S, D, 10          1    5.70    0.60    5.10
3NT, S, S, 10          2    5.70    0.60    5.10
4S, S, H, 8            1   -8.31   -7.07   -1.24
4S, S, H, 9            2   -6.45   -7.07    0.62

DEFENDER, Board 6|5

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 10          4   -5.70   -0.02    2.85   -8.53
3NT, N, C, 11          2   -6.62   -0.02    2.85   -9.45
3NT, N, C, 7           2    8.31   -0.02    2.85    5.48
3NT, N, C, 8          16    6.45   -0.02    2.85    3.63
3NT, N, C, 9           2   -5.14   -0.02    2.85   -7.97
3NT, N, D, 10          1   -5.70   -0.02    0.39   -6.08
3NT, N, D, 8           1    6.45   -0.02    0.39    6.08
3NT, N, H, 10         10   -5.70   -0.02   -5.77    0.08
3NT, N, H, 11          1   -6.62   -0.02   -5.77   -0.84
3NT, N, S, 10          2   -5.70   -0.02   -5.68    0.00
3NT, S, C, 10          4   -5.70   -0.60    0.49   -5.59
3NT, S, C, 11          1   -6.62   -0.60    0.49   -6.51
3NT, S, C, 6           1    9.87   -0.60    0.49    9.98
3NT, S, C, 7           3    8.31   -0.60    0.49    8.42
3NT, S, C, 8           9    6.45   -0.60    0.49    6.56
3NT, S, C, 9          13   -5.14   -0.60    0.49   -5.03
3NT, S, D, 10          1   -5.70   -0.60   -5.10    0.00
3NT, S, S, 10          2   -5.70   -0.60   -5.10    0.00
4S, S, H, 8            1    8.31    7.07    0.00    1.24
4S, S, H, 9            2    6.45    7.07    0.00   -0.62

DECLARER, Board 6|6

Contract           Count Overall     Bid    Play
3NT, N, D, 10          2   -0.57   -0.54   -0.03
3NT, N, H, 9           1   -1.51   -0.54   -0.97
3NT, N, S, 10         25   -0.57   -0.54   -0.03
3NT, N, S, 11          2    0.36   -0.54    0.90
3NT, S, D, 11          2    0.36    0.54   -0.18
3NT, S, S, 12          2    1.27    0.54    0.73
3SX, W, C, 7           1   -1.34    6.35   -7.69
4H, N, S, 10           1   -0.62   -0.62   -0.00
4H, S, C, 10           4   -0.62   -3.01    2.38
4H, S, C, 9            2  -10.16   -3.01   -7.15
4H, S, D, 10           2   -0.62   -3.01    2.38
4NT, S, S, 10          1   -0.57    0.54   -1.11
4SX, W, C, 8           4   -1.34   -1.21   -0.13
4SX, W, C, 9           1    6.10   -1.21    7.31
5C, N, H, 12           2   -0.62   -0.62   -0.00
5C, N, S, 12           1   -0.62   -0.62   -0.00
5C, S, H, 11           1   -1.51   -0.66   -0.85
5C, S, H, 12          15   -0.62   -0.66    0.04
5C, S, S, 12           1   -0.62   -0.66    0.04
5CX, S, D, 12          1    5.09    4.99    0.10
5CX, S, H, 12          1    5.09    4.99    0.10
5NT, N, S, 10          1  -10.16   -9.50   -0.65
6C, S, D, 12           1    9.82    8.99    0.83
6C, S, H, 12           3    9.82    8.99    0.83
6CX, S, H, 12          1   11.65   10.71    0.94

DEFENDER, Board 6|6

Contract           Count Overall     Bid    Lead Restdef
3NT, N, D, 10          2    0.57    0.54    0.03    0.00
3NT, N, H, 9           1    1.51    0.54    0.97    0.00
3NT, N, S, 10         25    0.57    0.54   -0.04    0.07
3NT, N, S, 11          2   -0.36    0.54   -0.04   -0.87
3NT, S, D, 11          2   -0.36   -0.54    0.18    0.00
3NT, S, S, 12          2   -1.27   -0.54   -0.12   -0.61
3SX, W, C, 7           1    1.34   -6.35    0.00    7.69
4H, N, S, 10           1    0.62    0.62    0.00    0.00
4H, S, C, 10           4    0.62    3.01    0.79   -3.18
4H, S, C, 9            2   10.16    3.01    0.79    6.35
4H, S, D, 10           2    0.62    3.01   -2.38    0.00
4NT, S, S, 10          1    0.57   -0.54   -0.12    1.23
4SX, W, C, 8           4    1.34    1.21    0.00    0.13
4SX, W, C, 9           1   -6.10    1.21    0.00   -7.31
5C, N, H, 12           2    0.62    0.62    0.00    0.00
5C, N, S, 12           1    0.62    0.62    0.00    0.00
5C, S, H, 11           1    1.51    0.66    0.01    0.84
5C, S, H, 12          15    0.62    0.66    0.01   -0.04
5C, S, S, 12           1    0.62    0.66   -0.04    0.00
5CX, S, D, 12          1   -5.09   -4.99   -0.10    0.00
5CX, S, H, 12          1   -5.09   -4.99    0.01   -0.11
5NT, N, S, 10          1   10.16    9.50   -0.10    0.75
6C, S, D, 12           1   -9.82   -8.99   -0.83    0.00
6C, S, H, 12           3   -9.82   -8.99    0.12   -0.95
6CX, S, H, 12          1  -11.65  -10.71    0.13   -1.07

DECLARER, Board 6|7

Contract           Count Overall     Bid    Play
1S, W, H, 11           1   -8.69   -8.74    0.05
3NT, N, S, 7           2    8.69    8.69   -0.00
3NT, S, H, 9           1   15.04   15.04   -0.00
3NT, W, D, 6           1  -13.16  -13.16   -0.00
3S, W, D, 10           1   -8.95   -8.77   -0.18
3S, W, D, 11           3   -8.69   -8.77    0.08
3S, W, D, 8            1  -11.52   -8.77   -2.75
4C, N, H, 8            1    8.69    8.69   -0.00
4HX, W, D, 6           1  -17.83  -17.83   -0.00
4S, E, D, 10           1   -2.13   -1.38   -0.75
4S, E, D, 11           1   -1.19   -1.38    0.19
4S, E, H, 11           1   -1.19   -1.38    0.19
4S, W, D, 10           3   -2.13   -1.49   -0.64
4S, W, D, 11          22   -1.19   -1.49    0.30
4S, W, S, 10           1   -2.13   -1.49   -0.64
4SX, E, D, 11          2    5.81    5.01    0.79
4SX, W, D, 10          3    1.83    4.96   -3.13
4SX, W, D, 11         23    5.81    4.96    0.84
4SX, W, S, 11          2    5.81    4.96    0.84
4SXX, W, D, 11         2   12.34   11.26    1.08
5CX, N, H, 8           1   -1.96   -1.96   -0.00
5S, W, D, 11           1   -1.19   -2.78    1.59
5SX, W, D, 10          1  -12.35    0.48  -12.83
5SX, W, D, 11          1    2.83    0.48    2.36
6S, W, S, 11           1  -11.52  -11.66    0.15

DEFENDER, Board 6|7

Contract           Count Overall     Bid    Lead Restdef
1S, W, H, 11           1    8.69    8.74   -0.05    0.00
3NT, N, S, 7           2   -8.69   -8.69    0.00    0.00
3NT, S, H, 9           1  -15.04  -15.04    0.00    0.00
3NT, W, D, 6           1   13.16   13.16    0.00    0.00
3S, W, D, 10           1    8.95    8.77    0.00    0.18
3S, W, D, 11           3    8.69    8.77    0.00   -0.08
3S, W, D, 8            1   11.52    8.77    0.00    2.75
4C, N, H, 8            1   -8.69   -8.69    0.00    0.00
4HX, W, D, 6           1   17.83   17.83    0.00    0.00
4S, E, D, 10           1    2.13    1.38    0.05    0.70
4S, E, D, 11           1    1.19    1.38    0.05   -0.23
4S, E, H, 11           1    1.19    1.38   -0.19    0.00
4S, W, D, 10           3    2.13    1.49    0.01    0.63
4S, W, D, 11          22    1.19    1.49    0.01   -0.31
4S, W, S, 10           1    2.13    1.49   -0.06    0.70
4SX, E, D, 11          2   -5.81   -5.01    0.20   -0.99
4SX, W, D, 10          3   -1.83   -4.96    0.00    3.13
4SX, W, D, 11         23   -5.81   -4.96    0.00   -0.85
4SX, W, S, 11          2   -5.81   -4.96    0.15   -0.99
4SXX, W, D, 11         2  -12.34  -11.26    0.01   -1.09
5CX, N, H, 8           1    1.96    1.96    0.00    0.00
5S, W, D, 11           1    1.19    2.78   -0.04   -1.55
5SX, W, D, 10          1   12.35   -0.48   -0.06   12.88
5SX, W, D, 11          1   -2.83   -0.48   -0.06   -2.30
6S, W, S, 11           1   11.52   11.66    0.06   -0.21

DECLARER, Board 6|8

Contract           Count Overall     Bid    Play
3H, N, S, 8            1    0.74    2.59   -1.85
3NT, N, D, 10          1    9.13    5.10    4.03
3NT, N, H, 9           1    8.97    5.10    3.88
3NT, N, S, 7           2   -0.79    5.10   -5.89
3NT, S, S, 11          1    9.55    2.65    6.89
3NT, S, S, 7           2   -0.79    2.65   -3.45
3NTX, N, D, 9          1   10.62    4.56    6.06
3SX, W, D, 7           1   -7.26   -7.68    0.42
4C, S, S, 10           1    4.38    1.26    3.12
4C, S, S, 9            4    0.74    1.26   -0.52
4D, N, S, 8            1   -0.79   -0.91    0.12
4H, N, D, 8            1   -0.79   -0.03   -0.77
4H, N, S, 9            2    0.74   -0.03    0.77
4H, S, S, 7            2   -2.13   -0.91   -1.22
4H, S, S, 8            2   -0.79   -0.91    0.12
4H, S, S, 9            1    0.74   -0.91    1.65
4S, E, D, 7            1   -4.52   -4.52   -0.00
4SX, E, D, 7           1  -10.18  -10.18   -0.00
4SX, W, D, 7           5  -10.18  -10.59    0.41
4SX, W, S, 6           1  -13.05  -10.59   -2.46
5C, N, S, 10           1    0.74   -0.41    1.15
5C, N, S, 9            2   -0.79   -0.41   -0.38
5C, S, H, 9            1   -0.79   -0.59   -0.20
5C, S, S, 10           1    0.74   -0.59    1.33
5C, S, S, 9           18   -0.79   -0.59   -0.20
5CX, N, S, 9           1   -4.97   -3.93   -1.05
5CX, S, S, 10          2   -0.79   -4.44    3.64
5CX, S, S, 9           2   -4.97   -4.44   -0.54
5CX, W, D, 7           1  -13.05  -13.05   -0.00
5D, N, S, 8            3   -2.13   -2.22    0.09
5DX, N, D, 8           1   -8.64   -8.96    0.32
5DX, N, S, 7           1  -12.17   -8.96   -3.21
5DX, N, S, 8           4   -8.64   -8.96    0.32
5DX, S, S, 8           1   -8.64   -8.64   -0.00
5H, S, D, 7            1   -3.10   -2.16   -0.94
5H, S, S, 8            1   -2.13   -2.16    0.03
5HX, S, S, 9           1   -4.97   -9.05    4.07
6C, S, S, 10           1   -0.79   -1.95    1.16
6C, S, S, 8            1   -3.10   -1.95   -1.15
6CX, S, S, 9           1   -8.64   -8.17   -0.46
6DX, N, S, 8           1  -12.17  -12.35    0.18

DEFENDER, Board 6|8

Contract           Count Overall     Bid    Lead Restdef
3H, N, S, 8            1   -0.74   -2.59   -0.62    2.46
3NT, N, D, 10          1   -9.13   -5.10   -3.95   -0.08
3NT, N, H, 9           1   -8.97   -5.10   -3.88    0.00
3NT, N, S, 7           2    0.79   -5.10    5.89    0.00
3NT, S, S, 11          1   -9.55   -2.65    0.00   -6.89
3NT, S, S, 7           2    0.79   -2.65    0.00    3.45
3NTX, N, D, 9          1  -10.62   -4.56   -6.51    0.45
3SX, W, D, 7           1    7.26    7.68   -0.42    0.00
4C, S, S, 10           1   -4.38   -1.26   -0.02   -3.10
4C, S, S, 9            4   -0.74   -1.26   -0.02    0.54
4D, N, S, 8            1    0.79    0.91    0.01   -0.13
4H, N, D, 8            1    0.79    0.03    0.77    0.00
4H, N, S, 9            2   -0.74    0.03   -0.26   -0.51
4H, S, S, 7            2    2.13    0.91   -0.17    1.39
4H, S, S, 8            2    0.79    0.91   -0.17    0.06
4H, S, S, 9            1   -0.74    0.91   -0.17   -1.48
4S, E, D, 7            1    4.52    4.52    0.00    0.00
4SX, E, D, 7           1   10.18   10.18    0.00    0.00
4SX, W, D, 7           5   10.18   10.59   -0.41    0.00
4SX, W, S, 6           1   13.05   10.59    2.46    0.00
5C, N, S, 10           1   -0.74    0.41    0.00   -1.15
5C, N, S, 9            2    0.79    0.41    0.00    0.38
5C, S, H, 9            1    0.79    0.59    0.20    0.00
5C, S, S, 10           1   -0.74    0.59   -0.01   -1.33
5C, S, S, 9           18    0.79    0.59   -0.01    0.20
5CX, N, S, 9           1    4.97    3.93    0.00    1.05
5CX, S, S, 10          2    0.79    4.44   -0.02   -3.63
5CX, S, S, 9           2    4.97    4.44   -0.02    0.56
5CX, W, D, 7           1   13.05   13.05    0.00    0.00
5D, N, S, 8            3    2.13    2.22    0.01   -0.10
5DX, N, D, 8           1    8.64    8.96   -0.32    0.00
5DX, N, S, 7           1   12.17    8.96    0.03    3.18
5DX, N, S, 8           4    8.64    8.96    0.03   -0.35
5DX, S, S, 8           1    8.64    8.64    0.00    0.00
5H, S, D, 7            1    3.10    2.16    0.94    0.00
5H, S, S, 8            1    2.13    2.16   -0.13    0.10
5HX, S, S, 9           1    4.97    9.05   -0.45   -3.63
6C, S, S, 10           1    0.79    1.95   -0.01   -1.15
6C, S, S, 8            1    3.10    1.95   -0.01    1.16
6CX, S, S, 9           1    8.64    8.17   -0.01    0.48
6DX, N, S, 8           1   12.17   12.35    0.02   -0.20

DECLARER, Board 6|9

Contract           Count Overall     Bid    Play
3NT, S, D, 6           1  -11.52  -11.52   -0.00
4H, N, D, 11           5    0.42    0.97   -0.56
4H, N, D, 12          11    1.25    0.97    0.27
4H, N, H, 11           1    0.42    0.97   -0.56
4H, N, H, 12           1    1.25    0.97    0.27
4H, S, D, 11          17    0.42    0.58   -0.16
4H, S, D, 12           4    1.25    0.58    0.67
5C, N, C, 12           1   -0.58   -1.05    0.46
5C, N, D, 11           7   -1.23   -1.05   -0.19
5C, N, D, 12           2   -0.58   -1.05    0.46
5C, N, H, 12           1   -0.58   -1.05    0.46
5C, N, S, 11           2   -1.23   -1.05   -0.19
5H, N, C, 12           1    1.25    0.97    0.27
5H, N, D, 11           3    0.42    0.97   -0.56
5H, N, D, 12           1    1.25    0.97    0.27
5H, N, S, 12           1    1.25    0.97    0.27
5H, N, S, 13           1    2.21    0.97    1.23
5H, S, C, 12           1    1.25    0.58    0.67
5H, S, D, 11          10    0.42    0.58   -0.16
5H, S, D, 12           1    1.25    0.58    0.67
5H, S, H, 12           1    1.25    0.58    0.67
5H, S, S, 11           1    0.42    0.58   -0.16
6C, N, S, 11           1  -10.40   -4.51   -5.89
6H, N, D, 11           1  -10.40    3.17  -13.57
6H, N, D, 12           1   11.16    3.17    7.98
6H, S, D, 11           1  -10.40   -6.21   -4.19

DEFENDER, Board 6|9

Contract           Count Overall     Bid    Lead Restdef
