DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2CX, W, C, 3           1  -12.00  -12.00    0.00
3D, N, S, 12           1   -0.29   -0.71    0.42
3D, S, C, 11           6   -0.81   -0.57   -0.24
3D, S, C, 12           3   -0.28   -0.57    0.28
3D, S, H, 11           1   -0.81   -0.57   -0.24
3D, S, S, 12           1   -0.28   -0.57    0.28
3H, E, C, 9            1    7.18    2.94    4.24
3H, E, D, 7            6    2.26    2.94   -0.68
3H, E, D, 8            2    3.42    2.94    0.48
3H, E, S, 7            2    2.26    2.94   -0.68
3H, W, C, 9            1    7.20    3.92    3.28
3H, W, D, 7            1    2.28    3.92   -1.64
3H, W, S, 7            1    2.28    3.92   -1.64
3HX, E, H, 9           1   12.20   -0.44   12.64
3HX, E, S, 8           1    2.21   -0.44    2.65
4C, W, C, 8            1    2.24    2.24    0.00
4D, N, D, 11           1   -0.82   -0.71   -0.11
4D, S, C, 11           6   -0.81   -0.57   -0.24
4D, S, C, 12           7   -0.28   -0.57    0.28
4H, E, D, 7            1    0.83    1.34   -0.50
4H, E, D, 8            1    2.23    1.34    0.89
4HX, E, D, 7           2   -6.93   -5.33   -1.60
4HX, E, D, 8           1   -2.99   -5.33    2.34
5D, N, C, 11           1    8.87    8.90   -0.03
5D, N, H, 11           2    8.87    8.90   -0.03
5D, S, C, 11           1    8.88    8.94   -0.06
5D, S, D, 12           1    9.01    8.94    0.07
5HX, E, S, 7           1  -11.16   -9.52   -1.64

DEFENDER, Board 8|12

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 3           1    0.70    0.70    0.14   -0.14
1NT, S, C, 6           1    6.60    6.60   -0.18    0.18
2H, E, D, 6            1   -2.29   -4.49    0.47    1.74
2H, E, D, 7            1   -3.45   -4.49    0.47    0.57
2S, N, C, 10           1    0.28    0.28   -0.15    0.15
2S, S, C, 10           2    0.28    0.46   -0.08   -0.10
2S, S, C, 9            1    0.99    0.46   -0.08    0.61
2SX, S, S, 10          1  -13.50  -13.05   -0.49    0.04
3C, W, S, 8            1   -3.43   -3.43    0.13   -0.13
3D, N, S, 12           1    0.29    0.71   -0.58    0.16
3D, S, C, 11           6    0.81    0.57   -0.15    0.39
3D, S, C, 12           3    0.28    0.57   -0.15   -0.14
3D, S, H, 11           1    0.81    0.57    0.08    0.16
3D, S, S, 12           1    0.28    0.57   -0.44    0.16
3H, E, C, 9            1   -7.18   -2.94   -4.13   -0.11
3H, E, D, 7            6   -2.26   -2.94    0.63    0.05
3H, E, D, 8            2   -3.42   -2.94    0.63   -1.11
3H, E, S, 7            2   -2.26   -2.94    0.55    0.13
3H, W, C, 9            1   -7.20   -3.92   -3.15   -0.13
3H, W, D, 7            1   -2.28   -3.92    1.84   -0.20
3H, W, S, 7            1   -2.28   -3.92    1.84   -0.20
3HX, E, H, 9           1  -12.20    0.44  -12.71    0.07
3HX, E, S, 8           1   -2.21    0.44    1.34   -3.98
4C, W, C, 8            1   -2.24   -2.24    0.16   -0.16
4D, N, D, 11           1    0.82    0.71   -0.06    0.17
4D, S, C, 11           6    0.81    0.57   -0.15    0.39
4D, S, C, 12           7    0.28    0.57   -0.15   -0.14
4H, E, D, 7            1   -0.83   -1.34    0.40    0.10
4H, E, D, 8            1   -2.23   -1.34    0.40   -1.29
4HX, E, D, 7           2    6.93    5.33    0.92    0.68
4HX, E, D, 8           1    2.99    5.33    0.92   -3.26
5D, N, C, 11           1   -8.87   -8.90   -0.07    0.10
5D, N, H, 11           2   -8.87   -8.90   -0.07    0.10
5D, S, C, 11           1   -8.88   -8.94   -0.08    0.15
5D, S, D, 12           1   -9.01   -8.94   -0.16    0.08
5HX, E, S, 7           1   11.16    9.52    0.63    1.01

DECLARER, Board 8|13

Contract           Count Overall     Bid    Play
1H, E, S, 10           1   -4.14   -4.14    0.00
1NT, S, H, 4           1    1.29    1.29    0.00
2D, W, H, 8            1   -5.62   -5.62    0.00
2H, E, S, 10           1   -4.14   -4.14    0.00
2NT, E, S, 7           2   -8.60   -6.94   -1.66
2NT, E, S, 8           2   -5.28   -6.94    1.66
2NT, W, S, 6           1  -10.28  -10.28    0.00
2S, S, H, 7            2    5.65    6.62   -0.97
3D, S, H, 4            1   -3.06   -3.06    0.00
3H, E, D, 10           1   -4.14   -4.14    0.00
3H, E, H, 10           1   -4.14   -4.14    0.00
3H, W, D, 9            1   -4.59   -4.16   -0.43
3H, W, S, 10           1   -4.14   -4.16    0.03
3S, N, C, 6            1    1.29    1.29    0.00
3S, S, C, 6            1    1.35    4.16   -2.81
3S, S, C, 7            6    3.24    4.16   -0.92
3S, S, C, 8            3    5.59    4.16    1.43
3S, S, D, 7            1    3.24    4.16   -0.92
3S, S, H, 7            3    3.24    4.16   -0.92
3S, S, H, 8            2    5.59    4.16    1.43
3S, S, H, 9            1    9.41    4.16    5.24
4H, E, H, 10           4    5.42    5.42    0.00
4H, E, S, 10           7    5.42    5.42    0.00
4H, W, C, 10           4    5.41    4.64    0.77
4H, W, D, 10           5    5.41    4.64    0.77
4H, W, H, 10           1    5.41    4.64    0.77
4H, W, S, 10           5    5.41    4.64    0.77
4HX, E, S, 10          2    8.60    8.60    0.00
4HX, W, S, 10          1    8.59    7.55    1.04
4S, S, H, 8            1    3.20    1.99    1.21

DEFENDER, Board 8|13

Contract           Count Overall     Bid    Lead Restdef
1H, E, S, 10           1    4.14    4.14    0.24   -0.24
1NT, S, H, 4           1   -1.29   -1.29   -0.25    0.25
2D, W, H, 8            1    5.62    5.62    0.25   -0.25
2H, E, S, 10           1    4.14    4.14    0.24   -0.24
2NT, E, S, 7           2    8.60    6.94    0.21    1.45
2NT, E, S, 8           2    5.28    6.94    0.21   -1.87
2NT, W, S, 6           1   10.28   10.28    0.14   -0.14
2S, S, H, 7            2   -5.65   -6.62   -0.63    1.60
3D, S, H, 4            1    3.06    3.06   -0.22    0.22
3H, E, D, 10           1    4.14    4.14    0.24   -0.24
3H, E, H, 10           1    4.14    4.14    0.24   -0.24
3H, W, D, 9            1    4.59    4.16    0.29    0.13
3H, W, S, 10           1    4.14    4.16    0.22   -0.24
3S, N, C, 6            1   -1.29   -1.29   -0.25    0.25
3S, S, C, 6            1   -1.35   -4.16    0.18    2.63
3S, S, C, 7            6   -3.24   -4.16    0.18    0.73
3S, S, C, 8            3   -5.59   -4.16    0.18   -1.62
3S, S, D, 7            1   -3.24   -4.16    0.72    0.20
3S, S, H, 7            3   -3.24   -4.16   -0.78    1.70
3S, S, H, 8            2   -5.59   -4.16   -0.78   -0.65
3S, S, H, 9            1   -9.41   -4.16   -0.78   -4.46
4H, E, H, 10           4   -5.42   -5.42    0.17   -0.17
4H, E, S, 10           7   -5.42   -5.42    0.17   -0.17
4H, W, C, 10           4   -5.41   -4.64   -0.61   -0.16
4H, W, D, 10           5   -5.41   -4.64    1.73   -2.51
4H, W, H, 10           1   -5.41   -4.64   -0.61   -0.16
4H, W, S, 10           5   -5.41   -4.64   -0.61   -0.16
4HX, E, S, 10          2   -8.60   -8.60    0.13   -0.13
4HX, W, S, 10          1   -8.59   -7.55   -0.92   -0.11
4S, S, H, 8            1   -3.20   -1.99   -0.67   -0.54

DECLARER, Board 8|14

Contract           Count Overall     Bid    Play
3D, W, C, 12           1    2.02    2.02    0.00
3NT, E, C, 8          40   -3.31   -0.13   -3.19
3NT, E, C, 9           1    6.33   -0.13    6.45
3NT, E, H, 10          2    6.62   -0.13    6.75
3NT, E, H, 11          7    7.62   -0.13    7.75
3NT, E, H, 12          3    7.94   -0.13    8.06
3NT, E, H, 8           1   -3.31   -0.13   -3.19
3NT, E, S, 12          4    7.94   -0.13    8.06
3NT, W, C, 8           2   -3.28    2.19   -5.47
3NT, W, H, 11          2    7.66    2.19    5.47
4H, E, C, 9            1   -3.37   -3.37    0.00

DEFENDER, Board 8|14

Contract           Count Overall     Bid    Lead Restdef
3D, W, C, 12           1   -2.02   -2.02    0.00    0.00
3NT, E, C, 8          40    3.31    0.13    3.00    0.19
3NT, E, C, 9           1   -6.33    0.13    3.00   -9.45
3NT, E, H, 10          2   -6.62    0.13   -6.94    0.18
3NT, E, H, 11          7   -7.62    0.13   -6.94   -0.82
3NT, E, H, 12          3   -7.94    0.13   -6.94   -1.13
3NT, E, H, 8           1    3.31    0.13   -6.94   10.12
3NT, E, S, 12          4   -7.94    0.13   -8.19    0.13
3NT, W, C, 8           2    3.28   -2.19    5.56   -0.09
3NT, W, H, 11          2   -7.66   -2.19   -5.56    0.09
4H, E, C, 9            1    3.37    3.37    0.00   -0.00

DECLARER, Board 8|15

Contract           Count Overall     Bid    Play
4S, E, C, 12          10    5.83    5.88   -0.04
4S, E, C, 13           1    6.41    5.88    0.54
4S, E, H, 10           1    4.51    5.88   -1.36
4S, E, H, 11           2    5.34    5.88   -0.54
4S, E, H, 12           3    5.83    5.88   -0.04
4S, E, H, 13           4    6.41    5.88    0.54
4S, W, H, 10           1    4.49    4.90   -0.41
5D, E, C, 10           1   -3.65   -3.28   -0.37
5D, E, H, 10           9   -3.65   -3.28   -0.37
5D, E, H, 9            3   -4.45   -3.28   -1.17
5D, W, H, 10           2   -3.65   -3.09   -0.56
5D, W, H, 9            1   -4.45   -3.09   -1.37
5DX, W, H, 10          2   -4.50   -4.37   -0.13
5HX, S, D, 10          1   -0.39    9.72  -10.11
5HX, S, D, 11          8   12.97    9.72    3.25
5HX, S, D, 9           1   -6.18    9.72  -15.90
5S, E, C, 12           2    5.83    5.60    0.23
5S, E, H, 11           1    5.34    5.60   -0.26
5S, E, H, 12           1    5.83    5.60    0.23
5S, E, H, 13           2    6.41    5.60    0.81
5S, W, H, 11           1    5.24    0.83    4.40
6D, W, H, 8            1   -5.84   -4.79   -1.04
6D, W, H, 9            1   -5.42   -4.79   -0.62
6D, W, S, 11           1   -3.69   -4.79    1.10
6DX, E, C, 12          1   13.35   -6.34   19.69
6DX, E, H, 10          1   -7.24   -6.34   -0.91
6S, E, C, 12           1   12.66   10.48    2.19
6SX, E, C, 12          1   14.17   11.69    2.48

DEFENDER, Board 8|15

Contract           Count Overall     Bid    Lead Restdef
4S, E, C, 12          10   -5.83   -5.88    0.34   -0.30
4S, E, C, 13           1   -6.41   -5.88    0.34   -0.88
4S, E, H, 10           1   -4.51   -5.88    0.33    1.03
4S, E, H, 11           2   -5.34   -5.88    0.33    0.21
4S, E, H, 12           3   -5.83   -5.88    0.33   -0.29
4S, E, H, 13           4   -6.41   -5.88    0.33   -0.87
4S, W, H, 10           1   -4.49   -4.90    0.33    0.08
5D, E, C, 10           1    3.65    3.28   -3.38    3.75
5D, E, H, 10           9    3.65    3.28    0.87   -0.50
5D, E, H, 9            3    4.45    3.28    0.87    0.31
5D, W, H, 10           2    3.65    3.09    1.36   -0.80
5D, W, H, 9            1    4.45    3.09    1.36    0.01
5DX, W, H, 10          2    4.50    4.37    1.91   -1.78
5HX, S, D, 10          1    0.39   -9.72   -0.17   10.29
5HX, S, D, 11          8  -12.97   -9.72   -0.17   -3.08
5HX, S, D, 9           1    6.18   -9.72   -0.17   16.07
5S, E, C, 12           2   -5.83   -5.60    0.06   -0.30
5S, E, H, 11           1   -5.34   -5.60    0.63   -0.37
5S, E, H, 12           1   -5.83   -5.60    0.63   -0.86
5S, E, H, 13           2   -6.41   -5.60    0.63   -1.44
5S, W, H, 11           1   -5.24   -0.83    0.32   -4.72
6D, W, H, 8            1    5.84    4.79    0.46    0.58
6D, W, H, 9            1    5.42    4.79    0.46    0.16
6D, W, S, 11           1    3.69    4.79   -0.84   -0.26
6DX, E, C, 12          1  -13.35    6.34   -9.24  -10.45
6DX, E, H, 10          1    7.24    6.34    1.69   -0.79
6S, E, C, 12           1  -12.66  -10.48   -1.93   -0.26
6SX, E, C, 12          1  -14.17  -11.69   -2.33   -0.15

DECLARER, Board 8|16

Contract           Count Overall     Bid    Play
3NT, N, C, 10          2    0.46   -0.23    0.69
3NT, N, C, 9           6   -0.46   -0.23   -0.23
4H, N, C, 10          12    0.48    0.72   -0.24
4H, N, C, 11           3    1.44    0.72    0.72
4H, N, D, 10           1    0.48    0.72   -0.24
4H, N, D, 11           1    1.44    0.72    0.72
4H, N, H, 10           1    0.48    0.72   -0.24
4H, N, S, 10           3    0.48    0.72   -0.24
4H, S, C, 10           1    0.48    1.11   -0.63
4H, S, C, 11           3    1.44    1.11    0.33
4H, S, D, 10           2    0.48    1.11   -0.63
4H, S, H, 11           1    1.44    1.11    0.33
4H, S, S, 10           6    0.48    1.11   -0.63
4H, S, S, 11          16    1.44    1.11    0.33
5H, S, D, 10           1   -9.62   -2.40   -7.23
5H, S, S, 11           1    1.39   -2.40    3.79
6H, N, C, 10           1  -10.41  -10.25   -0.16
6H, N, D, 11           1   -9.76  -10.25    0.49
6H, N, S, 11           1   -9.76  -10.25    0.49
6H, S, S, 10           1  -10.40   -9.97   -0.43

DEFENDER, Board 8|16

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 10          2   -0.46    0.23   -0.05   -0.64
3NT, N, C, 9           6    0.46    0.23   -0.05    0.28
4H, N, C, 10          12   -0.48   -0.72    0.01    0.23
4H, N, C, 11           3   -1.44   -0.72    0.01   -0.73
4H, N, D, 10           1   -0.48   -0.72   -0.46    0.70
4H, N, D, 11           1   -1.44   -0.72   -0.46   -0.26
4H, N, H, 10           1   -0.48   -0.72    0.19    0.05
4H, N, S, 10           3   -0.48   -0.72   -0.05    0.29
4H, S, C, 10           1   -0.48   -1.11   -0.15    0.78
4H, S, C, 11           3   -1.44   -1.11   -0.15   -0.18
4H, S, D, 10           2   -0.48   -1.11    0.59    0.04
4H, S, H, 11           1   -1.44   -1.11   -0.39    0.06
4H, S, S, 10           6   -0.48   -1.11   -0.11    0.74
4H, S, S, 11          16   -1.44   -1.11   -0.11   -0.22
5H, S, D, 10           1    9.62    2.40    7.30   -0.07
5H, S, S, 11           1   -1.39    2.40   -0.64   -3.15
6H, N, C, 10           1   10.41   10.25    0.01    0.15
6H, N, D, 11           1    9.76   10.25   -0.32   -0.17
6H, N, S, 11           1    9.76   10.25   -0.03   -0.46
6H, S, S, 10           1   10.40    9.97   -0.07    0.50

DECLARER, Board 8|17

Contract           Count Overall     Bid    Play
2D, W, C, 7            1  -10.32  -10.32    0.00
3NT, E, D, 10          3   -0.13    0.78   -0.91
3NT, E, D, 11         10    0.87    0.78    0.09
3NT, E, D, 12          1    1.81    0.78    1.03
3NT, E, H, 11         12    0.87    0.78    0.09
3NT, E, H, 12          1    1.81    0.78    1.03
3NT, E, H, 9           2   -1.06    0.78   -1.85
3NT, E, S, 11          4    0.87    0.78    0.09
3NT, E, S, 12          2    1.81    0.78    1.03
3NT, W, D, 11          1    0.87    0.87    0.00
3NT, W, H, 10          1   -0.13    0.87   -1.00
3NT, W, H, 11         18    0.87    0.87    0.00
3NT, W, H, 12          1    1.81    0.87    0.94
5C, E, C, 11           2   -1.10   -1.10    0.00
5C, E, D, 11           2   -1.10   -1.10    0.00
6C, E, C, 11           1  -10.32  -10.32    0.00
6C, E, D, 11           1  -10.32  -10.32    0.00
6C, E, H, 11           1  -10.32  -10.32    0.00

DEFENDER, Board 8|17

Contract           Count Overall     Bid    Lead Restdef
2D, W, C, 7            1   10.32   10.32   -0.00    0.00
3NT, E, D, 10          3    0.13   -0.78    0.06    0.85
3NT, E, D, 11         10   -0.87   -0.78    0.06   -0.15
3NT, E, D, 12          1   -1.81   -0.78    0.06   -1.08
3NT, E, H, 11         12   -0.87   -0.78    0.11   -0.20
3NT, E, H, 12          1   -1.81   -0.78    0.11   -1.13
3NT, E, H, 9           2    1.06   -0.78    0.11    1.74
3NT, E, S, 11          4   -0.87   -0.78   -0.41    0.32
3NT, E, S, 12          2   -1.81   -0.78   -0.41   -0.62
3NT, W, D, 11          1   -0.87   -0.87   -0.00    0.00
3NT, W, H, 10          1    0.13   -0.87    0.00    1.00
3NT, W, H, 11         18   -0.87   -0.87    0.00   -0.00
3NT, W, H, 12          1   -1.81   -0.87    0.00   -0.94
5C, E, C, 11           2    1.10    1.10    0.00   -0.00
5C, E, D, 11           2    1.10    1.10    0.00   -0.00
6C, E, C, 11           1   10.32   10.32   -0.00    0.00
6C, E, D, 11           1   10.32   10.32   -0.00    0.00
6C, E, H, 11           1   10.32   10.32   -0.00    0.00

DECLARER, Board 8|18

Contract           Count Overall     Bid    Play
1NT, E, S, 7           1    0.37    0.83   -0.46
2H, E, D, 10           2    2.81    2.27    0.55
2H, E, D, 9            1    1.83    2.27   -0.44
2H, W, D, 9            1    1.82    1.87   -0.05
2H, W, S, 9            4    1.82    1.87   -0.05
2NT, E, D, 7           1   -3.04   -0.89   -2.15
2NT, E, D, 8           1    1.26   -0.89    2.15
2NT, E, S, 7           1   -3.04   -0.89   -2.15
2NT, E, S, 8           1    1.26   -0.89    2.15
2S, N, C, 7            1   -0.75   -0.75    0.00
2S, S, C, 7            5   -0.72    0.99   -1.71
2S, S, C, 8            2    4.42    0.99    3.43
2SX, S, D, 8           1   12.55    1.91   10.63
3C, E, C, 8            1   -3.03   -0.13   -2.91
3C, E, C, 9            1    0.84   -0.13    0.97
3C, E, D, 9            1    0.84   -0.13    0.97
3C, E, S, 9            1    0.84   -0.13    0.97
3C, W, C, 9            1    0.86    0.86    0.00
3D, E, C, 11           1    1.86   -3.02    4.88
3D, E, H, 5            1   -6.48   -3.02   -3.45
3D, E, H, 6            1   -5.41   -3.02   -2.39
3D, E, H, 8            1   -3.08   -3.02   -0.06
3D, E, S, 7            2   -4.35   -3.02   -1.33
3D, E, S, 8            2   -3.08   -3.02   -0.06
3D, W, S, 7            1   -4.36   -3.73   -0.63
3D, W, S, 8            1   -3.10   -3.73    0.63
3H, E, H, 10           1    2.81    2.27    0.55
3H, E, S, 10           1    2.81    2.27    0.55
3H, E, S, 9            3    1.83    2.27   -0.44
3H, W, C, 9            1    1.82    1.87   -0.05
3H, W, H, 10           1    2.81    1.87    0.94
3H, W, S, 9            9    1.82    1.87   -0.05
3NT, E, S, 8           1   -3.10   -3.73    0.63
3S, S, C, 8            1   -0.78   -2.56    1.78
3S, S, H, 7            1   -3.46   -2.56   -0.89
3S, S, S, 7            2   -3.46   -2.56   -0.89
4D, E, H, 9            1   -3.11   -4.36    1.25
4H, E, D, 9            1   -3.01    1.92   -4.93
4H, W, S, 9            4   -3.07   -2.52   -0.55

DEFENDER, Board 8|18

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 7           1   -0.37   -0.83   -0.30    0.76
2H, E, D, 10           2   -2.81   -2.27   -0.32   -0.23
2H, E, D, 9            1   -1.83   -2.27   -0.32    0.76
2H, W, D, 9            1   -1.82   -1.87   -0.22    0.27
2H, W, S, 9            4   -1.82   -1.87   -0.22    0.27
2NT, E, D, 7           1    3.04    0.89   -0.28    2.43
2NT, E, D, 8           1   -1.26    0.89   -0.28   -1.87
2NT, E, S, 7           1    3.04    0.89   -0.28    2.43
2NT, E, S, 8           1   -1.26    0.89   -0.28   -1.87
2S, N, C, 7            1    0.75    0.75    0.28   -0.28
2S, S, C, 7            5    0.72   -0.99    0.06    1.65
2S, S, C, 8            2   -4.42   -0.99    0.06   -3.49
2SX, S, D, 8           1  -12.55   -1.91  -10.63   -0.01
3C, E, C, 8            1    3.03    0.13    0.72    2.19
3C, E, C, 9            1   -0.84    0.13    0.72   -1.68
3C, E, D, 9            1   -0.84    0.13   -1.25    0.28
3C, E, S, 9            1   -0.84    0.13   -1.25    0.28
3C, W, C, 9            1   -0.86   -0.86   -0.27    0.27
3D, E, C, 11           1   -1.86    3.02   -5.23    0.35
3D, E, H, 5            1    6.48    3.02    0.26    3.19
3D, E, H, 6            1    5.41    3.02    0.26    2.12
3D, E, H, 8            1    3.08    3.02    0.26   -0.20
3D, E, S, 7            2    4.35    3.02    0.45    0.89
3D, E, S, 8            2    3.08    3.02    0.45   -0.38
3D, W, S, 7            1    4.36    3.73   -0.26    0.89
3D, W, S, 8            1    3.10    3.73   -0.26   -0.37
3H, E, H, 10           1   -2.81   -2.27   -0.81    0.27
3H, E, S, 10           1   -2.81   -2.27   -0.07   -0.47
3H, E, S, 9            3   -1.83   -2.27   -0.07    0.51
3H, W, C, 9            1   -1.82   -1.87   -0.22    0.27
3H, W, H, 10           1   -2.81   -1.87   -1.21    0.27
3H, W, S, 9            9   -1.82   -1.87   -0.22    0.27
3NT, E, S, 8           1    3.10    3.73   -0.26   -0.37
3S, S, C, 8            1    0.78    2.56    0.14   -1.93
3S, S, H, 7            1    3.46    2.56    1.15   -0.26
3S, S, S, 7            2    3.46    2.56    1.15   -0.26
4D, E, H, 9            1    3.11    4.36    0.72   -1.97
4H, E, D, 9            1    3.01   -1.92   -0.79    5.71
4H, W, S, 9            4    3.07    2.52    0.29    0.26

DECLARER, Board 8|19

Contract           Count Overall     Bid    Play
1NT, N, D, 7           1    0.33   -0.13    0.47
1NT, N, H, 6           1   -3.46   -0.13   -3.33
1NT, N, H, 8           2    1.30   -0.13    1.43
1NT, S, D, 6           1   -3.47   -0.24   -3.23
1NT, S, D, 7           9    0.33   -0.24    0.57
1NT, S, H, 5           1   -4.71   -0.24   -4.47
1NT, S, H, 6          10   -3.47   -0.24   -3.23
1NT, S, H, 7          13    0.33   -0.24    0.57
1NT, S, H, 8          11    1.30   -0.24    1.54
1NT, S, H, 9           6    2.04   -0.24    2.28
1NT, S, S, 6           1   -3.47   -0.24   -3.23
1S, N, S, 10           1    2.72    2.18    0.54
2S, N, H, 10           1    2.72    2.18    0.54
2S, S, H, 8            1    1.09    2.01   -0.92
2S, S, H, 9            1    2.08    2.01    0.07
3S, S, H, 10           1    2.70    1.09    1.61
3S, S, H, 9            1    2.07    1.09    0.98
4S, N, H, 8            1   -4.66    3.81   -8.48
4S, S, S, 9            1   -3.49   -1.45   -2.05

DEFENDER, Board 8|19

Contract           Count Overall     Bid    Lead Restdef
1NT, N, D, 7           1   -0.33    0.13   -0.61    0.14
1NT, N, H, 6           1    3.46    0.13    0.04    3.29
1NT, N, H, 8           2   -1.30    0.13    0.04   -1.48
1NT, S, D, 6           1    3.47    0.24   -0.33    3.55
1NT, S, D, 7           9   -0.33    0.24   -0.33   -0.25
1NT, S, H, 5           1    4.71    0.24   -0.15    4.62
1NT, S, H, 6          10    3.47    0.24   -0.15    3.38
1NT, S, H, 7          13   -0.33    0.24   -0.15   -0.42
1NT, S, H, 8          11   -1.30    0.24   -0.15   -1.39
1NT, S, H, 9           6   -2.04    0.24   -0.15   -2.13
1NT, S, S, 6           1    3.47    0.24    3.17    0.05
1S, N, S, 10           1   -2.72   -2.18   -0.68    0.14
2S, N, H, 10           1   -2.72   -2.18    0.16   -0.70
2S, S, H, 8            1   -1.09   -2.01   -0.10    1.02
2S, S, H, 9            1   -2.08   -2.01   -0.10    0.03
3S, S, H, 10           1   -2.70   -1.09    0.13   -1.74
3S, S, H, 9            1   -2.07   -1.09    0.13   -1.10
4S, N, H, 8            1    4.66   -3.81    2.11    6.37
4S, S, S, 9            1    3.49    1.45    1.97    0.08

DECLARER, Board 8|20

Contract           Count Overall     Bid    Play
1NT, E, C, 4           1   -8.39   -2.53   -5.86
1NT, E, D, 5           1   -6.59   -2.53   -4.05
1NT, E, D, 7           1    0.17   -2.53    2.70
1NT, E, D, 8           2    1.07   -2.53    3.60
1NT, W, D, 10          2    2.69   -0.15    2.84
1NT, W, D, 4           3   -8.35   -0.15   -8.20
1NT, W, D, 5           1   -6.55   -0.15   -6.40
1NT, W, D, 6           1   -4.45   -0.15   -4.30
1NT, W, D, 7          12    0.21   -0.15    0.36
1NT, W, D, 8          14    1.11   -0.15    1.26
1NT, W, D, 9           3    1.87   -0.15    2.02
1NT, W, H, 7           1    0.21   -0.15    0.36
1NT, W, H, 8           1    1.11   -0.15    1.26
1S, N, D, 7            1    4.10    4.10    0.00
2C, E, H, 7            1   -4.52   -4.52    0.00
2H, N, S, 7            1   -0.25   -0.25    0.00
2H, S, S, 7            5   -0.25   -0.51    0.26
2NT, S, C, 6           1   -3.12   -1.69   -1.42
2NT, S, C, 7           1   -0.27   -1.69    1.42
2S, E, H, 6            1   -6.63   -5.59   -1.04
2S, E, H, 7            1   -4.55   -5.59    1.04
3D, N, H, 7            1   -3.14   -3.14    0.00
3D, N, S, 7            1   -3.14   -3.14    0.00
3H, S, S, 6            1   -5.50   -3.36   -2.14
3H, S, S, 7            5   -3.15   -3.36    0.21
3NT, N, S, 6           1   -5.55   -5.55    0.00

DEFENDER, Board 8|20

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 4           1    8.39    2.53    5.94   -0.09
1NT, E, D, 5           1    6.59    2.53   -1.49    5.54
1NT, E, D, 7           1   -0.17    2.53   -1.49   -1.21
1NT, E, D, 8           2   -1.07    2.53   -1.49   -2.11
1NT, W, D, 10          2   -2.69    0.15    0.04   -2.88
1NT, W, D, 4           3    8.35    0.15    0.04    8.16
1NT, W, D, 5           1    6.55    0.15    0.04    6.36
1NT, W, D, 6           1    4.45    0.15    0.04    4.26
1NT, W, D, 7          12   -0.21    0.15    0.04   -0.40
1NT, W, D, 8          14   -1.11    0.15    0.04   -1.30
1NT, W, D, 9           3   -1.87    0.15    0.04   -2.06
1NT, W, H, 7           1   -0.21    0.15   -0.83    0.46
1NT, W, H, 8           1   -1.11    0.15   -0.83   -0.43
1S, N, D, 7            1   -4.10   -4.10    0.00    0.00
2C, E, H, 7            1    4.52    4.52   -0.00    0.00
2H, N, S, 7            1    0.25    0.25    0.01   -0.01
2H, S, S, 7            5    0.25    0.51    0.01   -0.27
2NT, S, C, 6           1    3.12    1.69    0.00    1.42
2NT, S, C, 7           1    0.27    1.69    0.00   -1.43
2S, E, H, 6            1    6.63    5.59   -0.00    1.04
2S, E, H, 7            1    4.55    5.59   -0.00   -1.04
3D, N, H, 7            1    3.14    3.14   -0.00    0.00
3D, N, S, 7            1    3.14    3.14   -0.00    0.00
3H, S, S, 6            1    5.50    3.36   -0.00    2.14
3H, S, S, 7            5    3.15    3.36   -0.00   -0.21
3NT, N, S, 6           1    5.55    5.55   -0.01    0.01

DECLARER, Board 9|21

Contract           Count Overall     Bid    Play
1NT, E, D, 8           1    2.01    2.01    0.00
1NT, W, C, 7           1    1.04    1.70   -0.66
1NT, W, D, 10          2    3.46    1.70    1.76
1NT, W, D, 7           3    1.04    1.70   -0.66
1NT, W, D, 8           5    2.01    1.70    0.31
1NT, W, D, 9           4    2.48    1.70    0.78
1NT, W, H, 8           1    2.01    1.70    0.31
1NT, W, S, 6           1   -2.52    1.70   -4.22
1NT, W, S, 8           2    2.01    1.70    0.31
1NT, W, S, 9           1    2.48    1.70    0.78
2H, W, C, 9            2    2.50    2.36    0.14
3H, W, C, 8            1   -2.52    1.62   -4.15
3H, W, C, 9            4    2.49    1.62    0.86
3H, W, H, 9            3    2.49    1.62    0.86
3NT, E, D, 8           1   -2.59   -2.59    0.00
3NT, W, C, 8           2   -2.56   -0.36   -2.20
3NT, W, D, 7           1   -4.03   -0.36   -3.68
3NT, W, D, 8           2   -2.56   -0.36   -2.20
3NT, W, S, 6           1   -5.10   -0.36   -4.75
3NT, W, S, 8           2   -2.56   -0.36   -2.20
3S, E, C, 9            1    2.50    2.50    0.00
4H, E, C, 8            3   -4.05   -1.30   -2.75
4H, E, C, 9            1   -2.57   -1.30   -1.28
4H, E, D, 10           1    8.24   -1.30    9.53
4H, W, C, 8            3   -4.06   -2.46   -1.59
4H, W, C, 9            8   -2.59   -2.46   -0.12
4H, W, D, 10           1    8.22   -2.46   10.68
4H, W, D, 8            1   -4.06   -2.46   -1.59
4H, W, D, 9            4   -2.59   -2.46   -0.12
4H, W, H, 9            1   -2.59   -2.46   -0.12

DEFENDER, Board 9|21

