DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2D, N, S, 7            1   35.92   35.92   50.00
3H, E, C, 10           1   62.22   37.12   75.10
3H, E, C, 7            3   13.33   37.12   26.21
3H, E, C, 9            7   48.89   37.12   61.77
3H, E, S, 9            2   48.89   37.12   61.77
3HX, E, C, 8           1   13.33   61.35    1.99
3S, N, H, 6            1   22.22   22.22   50.00
3SX, S, H, 5           1    0.00    0.00   50.00
4H, E, C, 7            2    5.56   20.58   34.98
4H, E, C, 8            1   13.33   20.58   42.76
4H, E, C, 9            4   23.33   20.58   52.76
4HX, E, C, 8           1    2.22   11.52   40.70
pass                   2   70.00   70.00   50.00

DEFENDER, Board 43|10

Contract           Count Overall     Bid    Lead Restdef
2H, E, C, 8            1   64.44   58.31   50.90   55.23
2H, E, C, 9            1   51.11   58.31   50.90   41.90
2H, E, D, 9            1   51.11   58.31   42.80   50.00
2S, S, H, 5            4   77.78   77.78   50.00   50.00
3C, N, D, 7            1   67.78   58.77   42.48   66.53
3C, N, H, 7            2   67.78   58.77   54.09   54.92
3C, N, H, 8            1   33.33   58.77   54.09   20.48
3CX, N, C, 7           1   91.11   80.51   60.60   50.00
3CX, N, D, 7           2   91.11   80.51   37.71   72.89
3CX, N, D, 8           1   67.78   80.51   37.71   49.56
3CX, N, D, 9           1    0.00   80.51   37.71  -18.22
3CX, N, H, 7           4   91.11   80.51   57.26   53.33
3H, E, C, 10           1   37.78   62.88   51.47   23.43
3H, E, C, 7            3   86.67   62.88   51.47   72.31
3H, E, C, 9            7   51.11   62.88   51.47   36.76
3H, E, S, 9            2   51.11   62.88   38.23   50.00
3HX, E, C, 8           1   86.67   38.65   54.56   93.45
3S, N, H, 6            1   77.78   77.78   50.00   50.00
3SX, S, H, 5           1  100.00  100.00   50.00   50.00
4H, E, C, 7            2   94.44   79.42   50.34   64.68
4H, E, C, 8            1   86.67   79.42   50.34   56.90
4H, E, C, 9            4   76.67   79.42   50.34   46.90
4HX, E, C, 8           1   97.78   88.48   50.23   59.08
pass                   2   30.00   30.00   50.00   50.00

DECLARER, Board 43|2

Contract           Count Overall     Bid    Play
2H, W, D, 12           1    0.00    0.00   50.00
3NT, E, D, 10          1   12.00   12.00   50.00
4H, E, C, 11           1   40.00   54.67   35.33
4H, E, D, 11           2   40.00   54.67   35.33
4H, E, H, 12           1   84.00   54.67   79.33
4H, E, S, 11           6   40.00   54.67   35.33
4H, E, S, 12           4   84.00   54.67   79.33
4H, W, C, 11           1   40.00   62.00   28.00
4H, W, D, 11           1   40.00   62.00   28.00
4H, W, D, 12           2   84.00   62.00   72.00
4H, W, S, 11           1   40.00   62.00   28.00
4S, E, C, 10           1    6.00   45.00   11.00
4S, E, S, 12           1   84.00   45.00   89.00
4S, W, C, 10           1    6.00   45.00   11.00
4S, W, C, 12           1   84.00   45.00   89.00
5H, E, S, 11           1   40.00   54.67   35.33

DEFENDER, Board 43|2

Contract           Count Overall     Bid    Lead Restdef
2H, W, D, 12           1  100.00  100.00   50.00   50.00
3NT, E, D, 10          1   88.00   88.00   50.00   50.00
4H, E, C, 11           1   60.00   45.33   64.67   50.00
4H, E, D, 11           2   60.00   45.33   64.67   50.00
4H, E, H, 12           1   16.00   45.33   20.67   50.00
4H, E, S, 11           6   60.00   45.33   48.67   66.00
4H, E, S, 12           4   16.00   45.33   48.67   22.00
4H, W, C, 11           1   60.00   38.00   72.00   50.00
4H, W, D, 11           1   60.00   38.00   39.00   83.00
4H, W, D, 12           2   16.00   38.00   39.00   39.00
4H, W, S, 11           1   60.00   38.00   72.00   50.00
4S, E, C, 10           1   94.00   55.00   89.00   50.00
4S, E, S, 12           1   16.00   55.00   11.00   50.00
4S, W, C, 10           1   94.00   55.00   50.00   89.00
4S, W, C, 12           1   16.00   55.00   50.00   11.00
5H, E, S, 11           1   60.00   45.33   48.67   66.00

DECLARER, Board 43|9

Contract           Count Overall     Bid    Play
3H, S, D, 8            1   88.89   87.78   51.11
3H, S, H, 8            1   88.89   87.78   51.11
3H, S, S, 8            1   88.89   87.78   51.11
4S, E, C, 11          11   52.22   56.11   46.11
4S, E, D, 11           3   52.22   56.11   46.11
4S, E, D, 12           1   81.11   56.11   75.00
4S, E, H, 11           3   52.22   56.11   46.11
4S, E, H, 12           1   81.11   56.11   75.00
4S, E, H, 13           1   85.56   56.11   79.44
5C, N, S, 9            1   84.44   84.44   50.00
5HX, N, C, 7           1    6.67   42.78   13.89
5HX, N, D, 8           1   78.89   42.78   86.11
5HX, N, S, 7           1    6.67   42.78   13.89
5HX, N, S, 8           1   78.89   42.78   86.11
5HX, S, S, 7           2    6.67   60.83   -4.17
5HX, S, S, 8           2   78.89   60.83   68.06
5S, E, C, 11           4   52.22   56.11   46.11
5S, E, C, 13           1   85.56   56.11   79.44
5S, E, H, 11           2   52.22   56.11   46.11
5S, W, H, 11           1   52.22   52.22   50.00
5SX, E, C, 11          1  100.00  100.00   50.00
6HX, S, S, 8           1    6.67    5.00   51.67
6S, E, C, 11           2    1.11   13.47   37.64
pass                   2   94.44   94.44   50.00

DEFENDER, Board 43|9

Contract           Count Overall     Bid    Lead Restdef
3H, S, D, 8            1   11.11   12.22   48.89   50.00
3H, S, H, 8            1   11.11   12.22   48.89   50.00
3H, S, S, 8            1   11.11   12.22   50.37   48.52
4S, E, C, 11          11   47.78   43.89   52.30   51.59
4S, E, D, 11           3   47.78   43.89   46.67   57.22
4S, E, D, 12           1   18.89   43.89   46.67   28.33
4S, E, H, 11           3   47.78   43.89   45.00   58.89
4S, E, H, 12           1   18.89   43.89   45.00   30.00
4S, E, H, 13           1   14.44   43.89   45.00   25.56
5C, N, S, 9            1   15.56   15.56   50.00   50.00
5HX, N, C, 7           1   93.33   57.22   86.11   50.00
5HX, N, D, 8           1   21.11   57.22   13.89   50.00
5HX, N, S, 7           1   93.33   57.22   50.00   86.11
5HX, N, S, 8           1   21.11   57.22   50.00   13.89
5HX, S, S, 7           2   93.33   39.17   56.02   98.15
5HX, S, S, 8           2   21.11   39.17   56.02   25.93
5S, E, C, 11           4   47.78   43.89   52.30   51.59
5S, E, C, 13           1   14.44   43.89   52.30   18.25
5S, E, H, 11           2   47.78   43.89   45.00   58.89
5S, W, H, 11           1   47.78   47.78   50.00   50.00
5SX, E, C, 11          1    0.00    0.00   50.00   50.00
6HX, S, S, 8           1   93.33   95.00   50.56   47.78
6S, E, C, 11           2   98.89   86.53   57.65   54.71
pass                   2    5.56    5.56   50.00   50.00

DECLARER, Board 44|11

Contract           Count Overall     Bid    Play
2H, N, H, 7            1   30.00   30.00   50.00
2S, S, H, 10           1   98.89   77.72   71.16
2S, S, H, 9            7   76.67   77.72   48.94
3NT, S, D, 8           1   30.00   30.00   50.00
3S, N, H, 9            1   76.67   76.67   50.00
3S, S, C, 9            1   76.67   77.72   48.94
3S, S, H, 10           1   98.89   77.72   71.16
3S, S, H, 9            9   76.67   77.72   48.94
4S, N, D, 9            1   30.00   30.00   50.00
4S, S, C, 9            1   30.00   33.33   46.67
4S, S, H, 9           14   30.00   33.33   46.67
4S, S, S, 9            2   30.00   33.33   46.67
4SX, S, D, 9           1    3.33    7.94   45.40
4SX, S, H, 9           3    3.33    7.94   45.40
pass                   2   54.44   54.44   50.00

DEFENDER, Board 44|11

Contract           Count Overall     Bid    Lead Restdef
2H, N, H, 7            1   70.00   70.00   50.00   50.00
2S, S, H, 10           1    1.11   22.28   49.86   28.98
2S, S, H, 9            7   23.33   22.28   49.86   51.20
3NT, S, D, 8           1   70.00   70.00   50.00   50.00
3S, N, H, 9            1   23.33   23.33   50.00   50.00
3S, S, C, 9            1   23.33   22.28   51.06   50.00
3S, S, H, 10           1    1.11   22.28   49.86   28.98
3S, S, H, 9            9   23.33   22.28   49.86   51.20
4S, N, D, 9            1   70.00   70.00   50.00   50.00
4S, S, C, 9            1   70.00   66.67   53.33   50.00
4S, S, H, 9           14   70.00   66.67   49.55   53.78
4S, S, S, 9            2   70.00   66.67   53.33   50.00
4SX, S, D, 9           1   96.67   92.06   54.60   50.00
4SX, S, H, 9           3   96.67   92.06   49.38   55.23
pass                   2   45.56   45.56   50.00   50.00

DECLARER, Board 44|12

Contract           Count Overall     Bid    Play
2H, S, H, 3            1    3.33    3.33   50.00
2S, S, H, 9            1   77.78   78.70   49.08
3H, E, C, 10           1   74.44   70.56   53.89
3H, E, H, 9            1   66.67   70.56   46.11
3H, W, D, 10           3   74.44   71.53   52.92
3H, W, D, 9            1   66.67   71.53   45.14
3H, W, S, 9            1   66.67   71.53   45.14
3S, N, S, 9            1   77.78   77.78   50.00
3S, S, H, 9            6   77.78   78.70   49.08
3S, S, S, 9            1   77.78   78.70   49.08
3SX, N, S, 9           2   96.67   96.67   50.00
3SX, S, H, 9           1   96.67   97.00   49.67
3SX, S, S, 9           1   96.67   97.00   49.67
4H, W, S, 9            1   35.56   71.76   13.80
4HX, W, D, 10          1  100.00   75.00   75.00
4S, N, H, 9            4   47.78   47.78   50.00
4S, N, S, 9            2   47.78   47.78   50.00
4S, S, H, 10           2   90.00   52.00   88.00
4S, S, H, 9            4   47.78   52.00   45.78
4SX, N, D, 9           1   13.33   13.33   50.00
4SX, N, H, 9           2   13.33   13.33   50.00
4SX, S, H, 9           3   13.33   22.00   41.33
4SX, S, S, 9           1   13.33   22.00   41.33
5HX, W, S, 10          1   33.33   25.72   57.61
5SX, N, H, 9           1    3.33    3.33   50.00
pass                   2   61.11   61.11   50.00

DEFENDER, Board 44|12

Contract           Count Overall     Bid    Lead Restdef
2H, S, H, 3            1   96.67   96.67   50.00   50.00
2S, S, H, 9            1   22.22   21.30   49.84   51.08
3H, E, C, 10           1   25.56   29.44   46.11   50.00
3H, E, H, 9            1   33.33   29.44   53.89   50.00
3H, W, D, 10           3   25.56   28.47   48.64   48.44
3H, W, D, 9            1   33.33   28.47   48.64   56.22
3H, W, S, 9            1   33.33   28.47   52.27   52.59
3S, N, S, 9            1   22.22   22.22   50.00   50.00
3S, S, H, 9            6   22.22   21.30   49.84   51.08
3S, S, S, 9            1   22.22   21.30   50.92   50.00
3SX, N, S, 9           2    3.33    3.33   50.00   50.00
3SX, S, H, 9           1    3.33    3.00   49.94   50.39
3SX, S, S, 9           1    3.33    3.00   50.33   50.00
4H, W, S, 9            1   64.44   28.24   66.89   69.31
4HX, W, D, 10          1    0.00   25.00   38.33   36.67
4S, N, H, 9            4   52.22   52.22   50.00   50.00
4S, N, S, 9            2   52.22   52.22   50.00   50.00
4S, S, H, 10           2   10.00   48.00   49.25   12.75
4S, S, H, 9            4   52.22   48.00   49.25   54.97
4SX, N, D, 9           1   86.67   86.67   50.00   50.00
4SX, N, H, 9           2   86.67   86.67   50.00   50.00
4SX, S, H, 9           3   86.67   78.00   48.47   60.20
4SX, S, S, 9           1   86.67   78.00   58.67   50.00
5HX, W, S, 10          1   66.67   74.28   55.92   36.47
5SX, N, H, 9           1   96.67   96.67   50.00   50.00
pass                   2   38.89   38.89   50.00   50.00

DECLARER, Board 44|3

Contract           Count Overall     Bid    Play
2H, E, D, 8            1   96.00   96.00   50.00
2S, N, D, 10           1  100.00   56.56   93.44
2S, N, D, 6            1   12.00   56.56    5.44
2S, N, D, 7            5   34.00   56.56   27.44
2S, N, D, 8            2   62.00   56.56   55.44
2S, N, D, 9            5   84.00   56.56   77.44
2S, S, H, 7            1   34.00   64.67   19.33
2S, S, H, 8            2   62.00   64.67   47.33
2S, S, H, 9            1   84.00   64.67   69.33
3H, E, D, 8            1   48.00   48.00   50.00
3S, N, D, 7            1   12.00   41.32   20.68
3S, N, D, 8            2   34.00   41.32   42.68
3S, S, H, 9            1   84.00   47.00   87.00
3SX, N, D, 7           1    0.00   36.00   14.00
3SX, S, H, 8           1   12.00   39.33   22.67

DEFENDER, Board 44|3

Contract           Count Overall     Bid    Lead Restdef
2H, E, D, 8            1    4.00    4.00   50.00   50.00
2S, N, D, 10           1    0.00   43.44   50.00    6.56
2S, N, D, 6            1   88.00   43.44   50.00   94.56
2S, N, D, 7            5   66.00   43.44   50.00   72.56
2S, N, D, 8            2   38.00   43.44   50.00   44.56
2S, N, D, 9            5   16.00   43.44   50.00   22.56
2S, S, H, 7            1   66.00   35.33   50.00   80.67
2S, S, H, 8            2   38.00   35.33   50.00   52.67
2S, S, H, 9            1   16.00   35.33   50.00   30.67
3H, E, D, 8            1   52.00   52.00   50.00   50.00
3S, N, D, 7            1   88.00   58.68   50.00   79.32
3S, N, D, 8            2   66.00   58.68   50.00   57.32
3S, S, H, 9            1   16.00   53.00   50.00   13.00
3SX, N, D, 7           1  100.00   64.00   50.00   86.00
3SX, S, H, 8           1   88.00   60.67   50.00   77.33

DECLARER, Board 44|4

Contract           Count Overall     Bid    Play
1H, N, S, 9            1   64.00   64.00   50.00
1NT, N, D, 9           2   84.00   84.00   50.00
1NT, S, C, 8           3   32.00   47.11   34.89
1NT, S, C, 9           1   84.00   47.11   86.89
1NT, S, D, 10          1   96.00   47.11   98.89
1NT, S, D, 8           8   32.00   47.11   34.89
1NT, S, D, 9           2   84.00   47.11   86.89
2C, N, C, 7            1    4.00    4.00   50.00
2H, N, D, 9            1   64.00   64.00   50.00
2H, N, H, 9            1   64.00   64.00   50.00
2H, S, C, 9            1   64.00   64.00   50.00
2S, N, S, 9            1   64.00   64.00   50.00
3NT, S, C, 9           1  100.00   30.67  119.33
3NT, S, D, 8           2    4.00   30.67   23.33

DEFENDER, Board 44|4

Contract           Count Overall     Bid    Lead Restdef
1H, N, S, 9            1   36.00   36.00   50.00   50.00
1NT, N, D, 9           2   16.00   16.00   50.00   50.00
1NT, S, C, 8           3   68.00   52.89   44.31   70.80
1NT, S, C, 9           1   16.00   52.89   44.31   18.80
1NT, S, D, 10          1    4.00   52.89   52.19   -1.08
1NT, S, D, 8           8   68.00   52.89   52.19   62.92
1NT, S, D, 9           2   16.00   52.89   52.19   10.92
2C, N, C, 7            1   96.00   96.00   50.00   50.00
2H, N, D, 9            1   36.00   36.00   50.00   50.00
2H, N, H, 9            1   36.00   36.00   50.00   50.00
2H, S, C, 9            1   36.00   36.00   50.00   50.00
2S, N, S, 9            1   36.00   36.00   50.00   50.00
3NT, S, C, 9           1    0.00   69.33   38.27   -7.60
3NT, S, D, 8           2   96.00   69.33   54.51   72.15

DECLARER, Board 45|13

Contract           Count Overall     Bid    Play
3NT, N, D, 11          1   37.78   37.78   50.00
4H, N, C, 11           3   22.22   48.22   24.01
4H, N, C, 12           1   60.00   48.22   61.78
4H, N, D, 11           6   22.22   48.22   24.01
4H, N, D, 12          11   60.00   48.22   61.78
4H, N, S, 11           2   22.22   48.22   24.01
4H, N, S, 12           7   60.00   48.22   61.78
4H, S, C, 11           1   22.22   14.44   57.78
4H, S, D, 10           1    6.67   14.44   42.22
5H, N, C, 11           1   22.22   48.11   24.11
6H, N, C, 12           3   91.11   64.17   76.94
6H, N, D, 12           2   91.11   64.17   76.94
6H, N, S, 10           1    0.00   64.17  -14.17
6H, N, S, 12           4   91.11   64.17   76.94
pass                   2    3.33    3.33   50.00

DEFENDER, Board 45|13

Contract           Count Overall     Bid    Lead Restdef
3NT, N, D, 11          1   62.22   62.22   50.00   50.00
4H, N, C, 11           3   77.78   51.78   57.11   68.89
4H, N, C, 12           1   40.00   51.78   57.11   31.11
4H, N, D, 11           6   77.78   51.78   50.15   75.85
4H, N, D, 12          11   40.00   51.78   50.15   38.07
4H, N, S, 11           2   77.78   51.78   46.27   79.72
4H, N, S, 12           7   40.00   51.78   46.27   41.94
4H, S, C, 11           1   77.78   85.56   42.22   50.00
4H, S, D, 10           1   93.33   85.56   57.78   50.00
5H, N, C, 11           1   77.78   51.89   57.00   68.89
6H, N, C, 12           3    8.89   35.83   67.53    5.53
6H, N, D, 12           2    8.89   35.83   51.15   21.91
6H, N, S, 10           1  100.00   35.83   39.87  124.30
6H, N, S, 12           4    8.89   35.83   39.87   33.19
pass                   2   96.67   96.67   50.00   50.00

DECLARER, Board 45|14

Contract           Count Overall     Bid    Play
3DX, N, D, 8           2   61.11   61.11   50.00
3DX, N, H, 8           2   61.11   61.11   50.00
3NT, E, D, 5           1    2.22   18.52   33.70
3NT, E, S, 5           1    2.22   18.52   33.70
3NT, E, S, 9           1   51.11   18.52   82.59
3NT, W, D, 5           1    2.22    2.22   50.00
3S, E, D, 10           1   46.67   44.30   52.36
3S, E, D, 9            1   44.44   44.30   50.14
4DX, N, H, 8           1   51.11   51.11   50.00
4H, E, D, 10           1   72.22   72.22   50.00
4S, E, D, 10          16   72.22   52.65   69.57
4S, E, D, 11           2   94.44   52.65   91.79
4S, E, D, 8            2    7.78   52.65    5.13
4S, E, D, 9            9   20.00   52.65   17.35
4S, W, D, 10           1   72.22   72.22   50.00
5DX, N, D, 8           1    1.11    1.11   50.00
5DX, N, S, 8           1    1.11    1.11   50.00
pass                   2   67.78   67.78   50.00

DEFENDER, Board 45|14

Contract           Count Overall     Bid    Lead Restdef
3DX, N, D, 8           2   38.89   38.89   50.00   50.00
3DX, N, H, 8           2   38.89   38.89   50.00   50.00
3NT, E, D, 5           1   97.78   81.48   66.30   50.00
3NT, E, S, 5           1   97.78   81.48   41.85   74.44
3NT, E, S, 9           1   48.89   81.48   41.85   25.56
3NT, W, D, 5           1   97.78   97.78   50.00   50.00
3S, E, D, 10           1   53.33   55.70   50.00   47.64
3S, E, D, 9            1   55.56   55.70   50.00   49.86
4DX, N, H, 8           1   48.89   48.89   50.00   50.00
4H, E, D, 10           1   27.78   27.78   50.00   50.00
4S, E, D, 10          16   27.78   47.35   50.00   30.43
4S, E, D, 11           2    5.56   47.35   50.00    8.21
4S, E, D, 8            2   92.22   47.35   50.00   94.87
4S, E, D, 9            9   80.00   47.35   50.00   82.65
4S, W, D, 10           1   27.78   27.78   50.00   50.00
5DX, N, D, 8           1   98.89   98.89   50.00   50.00
5DX, N, S, 8           1   98.89   98.89   50.00   50.00
pass                   2   32.22   32.22   50.00   50.00

DECLARER, Board 45|5

Contract           Count Overall     Bid    Play
1SX, S, S, 6           1    4.00    4.00   50.00
2NTX, S, C, 8          1   96.00   98.00   48.00
2NTX, S, C, 9          1  100.00   98.00   52.00
2S, E, C, 8            3   70.00   64.12   55.88
2S, E, C, 9            1   90.00   64.12   75.88
2S, E, D, 7            1   42.00   64.12   27.88
2S, E, D, 9            1   90.00   64.12   75.88
2S, E, H, 7            1   42.00   64.12   27.88
2S, E, H, 8            4   70.00   64.12   55.88
2S, N, S, 5            1    0.00    0.00   50.00
2S, W, H, 8            1   70.00   70.00   50.00
3D, S, D, 9            1   82.00   70.67   61.33
3D, S, H, 8            1   48.00   70.67   27.33
3D, S, S, 9            1   82.00   70.67   61.33
3H, S, S, 9            1   88.00   88.00   50.00
3S, E, C, 7            3   28.00   43.53   34.47
3S, E, C, 8            2   42.00   43.53   48.47
4SX, E, H, 8           1    8.00   10.26   47.74

DEFENDER, Board 45|5

Contract           Count Overall     Bid    Lead Restdef
1SX, S, S, 6           1   96.00   96.00   50.00   50.00
2NTX, S, C, 8          1    4.00    2.00   50.00   52.00
2NTX, S, C, 9          1    0.00    2.00   50.00   48.00
2S, E, C, 8            3   30.00   35.88   51.23   42.89
2S, E, C, 9            1   10.00   35.88   51.23   22.89
2S, E, D, 7            1   58.00   35.88   48.12   74.00
2S, E, D, 9            1   10.00   35.88   48.12   26.00
2S, E, H, 7            1   58.00   35.88   48.78   73.33
2S, E, H, 8            4   30.00   35.88   48.78   45.33
2S, N, S, 5            1  100.00  100.00   50.00   50.00
2S, W, H, 8            1   30.00   30.00   50.00   50.00
3D, S, D, 9            1   18.00   29.33   38.67   50.00
3D, S, H, 8            1   52.00   29.33   72.67   50.00
3D, S, S, 9            1   18.00   29.33   38.67   50.00
3H, S, S, 9            1   12.00   12.00   50.00   50.00
3S, E, C, 7            3   72.00   56.47   50.86   64.67
3S, E, C, 8            2   58.00   56.47   50.86   50.67
4SX, E, H, 8           1   92.00   89.74   52.31   49.95

DECLARER, Board 45|6

Contract           Count Overall     Bid    Play
2HX, W, C, 7           1   46.00   46.00   50.00
2S, N, D, 10           2   22.00   25.20   46.80
2S, N, D, 11           1   54.00   25.20   78.80
2S, S, D, 10           8   22.00   26.92   45.08
2S, S, D, 11           1   54.00   26.92   77.08
2S, S, H, 10           1   22.00   26.92   45.08
2S, S, H, 11           1   54.00   26.92   77.08
3NT, N, D, 9           2   66.00   66.00   50.00
3S, N, D, 10           1   22.00   25.20   46.80
4S, N, D, 10           6   86.00   87.40   48.60
4S, S, D, 10           2   86.00   88.15   47.85

DEFENDER, Board 45|6

Contract           Count Overall     Bid    Lead Restdef
2HX, W, C, 7           1   54.00   54.00   50.00   50.00
2S, N, D, 10           2   78.00   74.80   50.00   53.20
2S, N, D, 11           1   46.00   74.80   50.00   21.20
2S, S, D, 10           8   78.00   73.08   52.01   52.91
2S, S, D, 11           1   46.00   73.08   52.01   20.91
2S, S, H, 10           1   78.00   73.08   38.92   66.00
2S, S, H, 11           1   46.00   73.08   38.92   34.00
3NT, N, D, 9           2   34.00   34.00   50.00   50.00
3S, N, D, 10           1   78.00   74.80   50.00   53.20
4S, N, D, 10           6   14.00   12.60   50.00   51.40
4S, S, D, 10           2   14.00   11.85   50.88   51.27

DECLARER, Board 46|7

Contract           Count Overall     Bid    Play
1NT, S, H, 10          1   92.00   92.00   50.00
2H, N, D, 9            1   44.00   44.00   50.00
2H, N, S, 9            2   44.00   44.00   50.00
2H, S, D, 9            9   44.00   44.19   49.81
2H, S, S, 9            5   44.00   44.19   49.81
2S, N, D, 9            1   44.00   44.00   50.00
3C, E, H, 7            1    4.00    4.00   50.00
3H, S, D, 10           1   88.00   44.00   94.00
3H, S, D, 9            2   44.00   44.00   50.00
3H, S, H, 8            1    0.00   44.00    6.00
3H, S, S, 9            1   44.00   44.00   50.00
3HX, S, D, 9           1  100.00   95.00   55.00

DEFENDER, Board 46|7

Contract           Count Overall     Bid    Lead Restdef
1NT, S, H, 10          1    8.00    8.00   50.00   50.00
2H, N, D, 9            1   56.00   56.00   50.00   50.00
2H, N, S, 9            2   56.00   56.00   50.00   50.00
2H, S, D, 9            9   56.00   55.81   46.81   53.38
2H, S, S, 9            5   56.00   55.81   50.19   50.00
2S, N, D, 9            1   56.00   56.00   50.00   50.00
3C, E, H, 7            1   96.00   96.00   50.00   50.00
3H, S, D, 10           1   12.00   56.00   46.62    9.38
3H, S, D, 9            2   56.00   56.00   46.62   53.38
3H, S, H, 8            1  100.00   56.00   94.00   50.00
3H, S, S, 9            1   56.00   56.00   50.00   50.00
3HX, S, D, 9           1    0.00    5.00   45.00   50.00

DECLARER, Board 46|8

Contract           Count Overall     Bid    Play
3NT, W, H, 10          1   96.00   96.00   50.00
4H, E, D, 8            1   44.00   66.00   28.00
4H, E, D, 9            1   64.00   66.00   48.00
4H, E, S, 10           1   90.00   66.00   74.00
4H, W, D, 9            1   64.00   62.33   51.67
4H, W, H, 9            1   64.00   62.33   51.67
4H, W, S, 10           1   90.00   62.33   77.67
4SX, N, C, 10          2   96.00   55.33   90.67
4SX, N, C, 8           1   18.00   55.33   12.67
4SX, N, D, 9           1   26.00   55.33   20.67
4SX, N, H, 6           1    0.00   55.33   -5.33
4SX, N, S, 10          1   96.00   55.33   90.67
4SX, S, C, 8           1   18.00   22.00   46.00
4SX, S, C, 9           1   26.00   22.00   54.00
5H, W, S, 7            1   18.00   42.33   25.67
5H, W, S, 8            1   26.00   42.33   33.67
5H, W, S, 9            2   44.00   42.33   51.67
5HX, W, S, 8           1   12.00   20.41   41.59
6C, E, S, 10           1   44.00   44.00   50.00
6C, W, S, 10           1   44.00   44.00   50.00
6H, W, S, 10           2   44.00   27.62   66.38
6H, W, S, 8            1   18.00   27.62   40.38
6H, W, S, 9            1   26.00   27.62   48.38

DEFENDER, Board 46|8

Contract           Count Overall     Bid    Lead Restdef
3NT, W, H, 10          1    4.00    4.00   50.00   50.00
4H, E, D, 8            1   56.00   34.00   62.00   60.00
4H, E, D, 9            1   36.00   34.00   62.00   40.00
4H, E, S, 10           1   10.00   34.00   26.00   50.00
4H, W, D, 9            1   36.00   37.67   48.33   50.00
4H, W, H, 9            1   36.00   37.67   48.33   50.00
4H, W, S, 10           1   10.00   37.67   50.33   22.00
4SX, N, C, 10          2    4.00   44.67   35.33   24.00
4SX, N, C, 8           1   82.00   44.67   35.33  102.00
4SX, N, D, 9           1   74.00   44.67   79.33   50.00
4SX, N, H, 6           1  100.00   44.67  105.33   50.00
4SX, N, S, 10          1    4.00   44.67    9.33   50.00
4SX, S, C, 8           1   82.00   78.00   50.00   54.00
4SX, S, C, 9           1   74.00   78.00   50.00   46.00
5H, W, S, 7            1   82.00   57.67   50.33   74.00
5H, W, S, 8            1   74.00   57.67   50.33   66.00
5H, W, S, 9            2   56.00   57.67   50.33   48.00
5HX, W, S, 8           1   88.00   79.59   48.99   59.42
6C, E, S, 10           1   56.00   56.00   50.00   50.00
6C, W, S, 10           1   56.00   56.00   50.00   50.00
6H, W, S, 10           2   56.00   72.38   49.68   33.94
6H, W, S, 8            1   82.00   72.38   49.68   59.94
6H, W, S, 9            1   74.00   72.38   49.68   51.94

DECLARER, Board 47|10

Contract           Count Overall     Bid    Play
2H, E, C, 7            1   16.00   46.50   19.50
2S, N, C, 5            1   20.00   20.00   50.00
3C, E, H, 7            1    0.00    0.00   50.00
3C, N, D, 8            1   66.00   40.29   75.71
3C, N, H, 7            4   30.00   40.29   39.71
3C, N, S, 8            1   66.00   40.29   75.71
3CX, N, D, 7           1   16.00   20.00   46.00
3DX, N, H, 5           1    6.00    6.00   50.00
3DX, S, H, 5           1    6.00    6.00   50.00
3H, E, C, 8            1   16.00   43.54   22.46
3H, E, C, 9            4   50.00   43.54   56.46
3H, E, D, 9            1   50.00   43.54   56.46
3H, E, S, 9            1   50.00   43.54   56.46
3SX, S, H, 5           2    6.00    6.00   50.00
4H, E, C, 9            5   16.00   13.54   52.46

DEFENDER, Board 47|10

Contract           Count Overall     Bid    Lead Restdef
2H, E, C, 7            1   84.00   53.50   50.64   79.86
2S, N, C, 5            1   80.00   80.00   50.00   50.00
3C, E, H, 7            1  100.00  100.00   50.00   50.00
3C, N, D, 8            1   34.00   59.71   42.29   32.00
3C, N, H, 7            4   70.00   59.71   60.29   50.00
3C, N, S, 8            1   34.00   59.71   24.29   50.00
3CX, N, D, 7           1   84.00   80.00   47.00   57.00
3DX, N, H, 5           1   94.00   94.00   50.00   50.00
3DX, S, H, 5           1   94.00   94.00   50.00   50.00
3H, E, C, 8            1   84.00   56.46   51.17   76.36
3H, E, C, 9            4   50.00   56.46   51.17   42.36
3H, E, D, 9            1   50.00   56.46   43.54   50.00
3H, E, S, 9            1   50.00   56.46   43.54   50.00
3SX, S, H, 5           2   94.00   94.00   50.00   50.00
4H, E, C, 9            5   84.00   86.46   50.45   47.09

DECLARER, Board 47|9

Contract           Count Overall     Bid    Play
3NT, E, H, 10          1   12.00   12.00   50.00
4H, N, D, 7            1   96.00   96.00   50.00
4S, E, C, 11           7   52.00   54.11   47.89
4S, E, C, 13           1   92.00   54.11   87.89
4S, E, D, 11           3   52.00   54.11   47.89
4S, W, S, 11           1   52.00   52.00   50.00
5HX, N, S, 7           1    2.00    2.00   50.00
5HX, S, S, 7           1    2.00   47.00    5.00
5HX, S, S, 8           1   92.00   47.00   95.00
5S, E, C, 11           2   52.00   54.11   47.89
5S, E, H, 11           5   52.00   54.11   47.89
5S, W, C, 11           1   52.00   52.00   50.00
6S, E, C, 11           1    0.00    5.26   44.74

DEFENDER, Board 47|9

Contract           Count Overall     Bid    Lead Restdef
3NT, E, H, 10          1   88.00   88.00   50.00   50.00
