DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1DX, E, H, 5           1    5.38   36.92   18.46
2NT, W, S, 8           1   90.77   66.92   73.85
2NT, W, S, 9           1   95.38   66.92   78.46
2S, N, C, 8            1   94.62   68.20   76.42
2S, N, D, 7            1   60.77   68.20   42.57
2S, N, H, 7           22   60.77   68.20   42.57
2S, N, H, 8            5   94.62   68.20   76.42
3C, E, S, 10           1   92.31   64.95   77.36
3C, E, S, 8            3   14.62   64.95   -0.34
3C, E, S, 9           10   80.77   64.95   65.82
3D, E, S, 8            1   14.62   14.62   50.00
3S, N, C, 8            2   60.77   39.76   71.01
3S, N, H, 7            6   33.85   39.76   44.09
3S, N, H, 8            1   60.77   39.76   71.01
3SX, N, H, 7           2    0.77    8.03   42.74
4C, W, S, 7            1    0.00    7.31   42.69
4S, N, H, 7            1    4.62   11.03   43.58

DEFENDER, Board 23|14

Contract           Count Overall     Bid    Lead Restdef
2C, E, C, 8            1   40.00   23.70   66.30   50.00
2C, E, S, 9            1   19.23   23.70   48.91   46.62
2C, W, D, 9            1   19.23   52.31   16.92   50.00
2NT, E, S, 7           1   85.38   85.38   50.00   50.00
2NT, N, C, 5           1   95.38   80.77   50.00   64.62
2NT, N, C, 6           1   66.15   80.77   50.00   35.38
2NT, W, S, 7           1   85.38   33.08   50.00  102.31
2NT, W, S, 8           1    9.23   33.08   50.00   26.15
2NT, W, S, 9           1    4.62   33.08   50.00   21.54
2S, N, C, 8            1    5.38   31.80   23.58   50.00
2S, N, D, 7            1   39.23   31.80   57.43   50.00
2S, N, H, 7           22   39.23   31.80   51.94   55.49
2S, N, H, 8            5    5.38   31.80   51.94   21.64
3C, E, S, 10           1    7.69   35.05   46.64   26.00
3C, E, S, 8            3   85.38   35.05   46.64  103.69
3C, E, S, 9           10   19.23   35.05   46.64   37.54
3D, E, S, 8            1   85.38   85.38   50.00   50.00
3S, N, C, 8            2   39.23   60.24   28.99   50.00
3S, N, H, 7            6   66.15   60.24   51.54   54.37
3S, N, H, 8            1   39.23   60.24   51.54   27.44
3SX, N, H, 7           2   99.23   91.97   51.90   55.36
4C, W, S, 7            1  100.00   92.69   57.31   50.00
4S, N, H, 7            1   95.38   88.97   51.68   54.74

DECLARER, Board 24|15

Contract           Count Overall     Bid    Play
1NT, E, C, 10          1   76.15   43.46   82.69
1NT, E, C, 8           2   33.85   43.46   40.38
1NT, E, C, 9           1   62.31   43.46   68.85
1NT, E, H, 10          1   76.15   43.46   82.69
1NT, E, S, 7           2   12.31   43.46   18.85
1NT, E, S, 8          12   33.85   43.46   40.38
1NT, E, S, 9           7   62.31   43.46   68.85
1NT, S, D, 4           2   10.00   10.00   50.00
1NT, W, C, 10          6   76.15   46.56   79.59
1NT, W, C, 6           1    3.85   46.56    7.29
1NT, W, C, 7           3   12.31   46.56   15.75
1NT, W, C, 8           3   33.85   46.56   37.29
1NT, W, C, 9           2   62.31   46.56   65.75
1NT, W, D, 8           1   33.85   46.56   37.29
2CX, S, D, 6           1    3.08   27.69   25.38
2CX, S, D, 7           1   16.15   27.69   38.46
2CX, S, D, 8           1  100.00   27.69  122.31
2D, W, C, 10           1   49.23   23.39   75.84
2D, W, C, 8            2   12.31   23.39   38.92
2H, W, D, 9            2   52.31   52.31   50.00
2H, W, H, 9            1   52.31   52.31   50.00
2NT, E, S, 8           1   33.85   42.86   40.99
2S, N, S, 5            3   10.00   10.00   50.00
2S, S, H, 7            1   81.54   81.54   50.00
2SX, N, D, 5           2    0.77    0.77   50.00
3C, S, D, 6            1   10.00   26.77   33.23
3C, S, D, 7            1   16.15   26.77   39.38
3D, E, D, 8            1    3.85    3.85   50.00
3DX, W, H, 9           1   95.38   48.85   96.54
3NT, E, S, 8           1    3.85   35.86   17.99
3NT, W, C, 8           1    3.85   45.69    8.15

DEFENDER, Board 24|15

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 10          1   23.85   56.54   41.92   25.38
1NT, E, C, 8           2   66.15   56.54   41.92   67.69
1NT, E, C, 9           1   37.69   56.54   41.92   39.23
1NT, E, H, 10          1   23.85   56.54   17.31   50.00
1NT, E, S, 7           2   87.69   56.54   52.83   78.33
1NT, E, S, 8          12   66.15   56.54   52.83   56.79
1NT, E, S, 9           7   37.69   56.54   52.83   28.33
1NT, S, D, 4           2   90.00   90.00   50.00   50.00
1NT, W, C, 10          6   23.85   53.44   49.21   21.20
1NT, W, C, 6           1   96.15   53.44   49.21   93.51
1NT, W, C, 7           3   87.69   53.44   49.21   85.05
1NT, W, C, 8           3   66.15   53.44   49.21   63.51
1NT, W, C, 9           2   37.69   53.44   49.21   35.05
1NT, W, D, 8           1   66.15   53.44   62.71   50.00
2CX, S, D, 6           1   96.92   72.31   50.00   74.62
2CX, S, D, 7           1   83.85   72.31   50.00   61.54
2CX, S, D, 8           1    0.00   72.31   50.00  -22.31
2D, W, C, 10           1   50.77   76.61   48.77   25.38
2D, W, C, 8            2   87.69   76.61   48.77   62.31
2H, W, D, 9            2   47.69   47.69   50.00   50.00
2H, W, H, 9            1   47.69   47.69   50.00   50.00
2NT, E, S, 8           1   66.15   57.14   52.96   56.05
2S, N, S, 5            3   90.00   90.00   50.00   50.00
2S, S, H, 7            1   18.46   18.46   50.00   50.00
2SX, N, D, 5           2   99.23   99.23   50.00   50.00
3C, S, D, 6            1   90.00   73.23   50.00   66.77
3C, S, D, 7            1   83.85   73.23   50.00   60.62
3D, E, D, 8            1   96.15   96.15   50.00   50.00
3DX, W, H, 9           1    4.62   51.15    3.46   50.00
3NT, E, S, 8           1   96.15   64.14   54.79   77.22
3NT, W, C, 8           1   96.15   54.31   47.38   94.46

DECLARER, Board 24|16

Contract           Count Overall     Bid    Play
2SX, S, S, 5           1   92.31   87.82   54.49
3CXX, W, S, 9          1   15.38   15.38   50.00
3SX, S, S, 3           1   55.38   70.12   35.27
4H, E, D, 12           1    9.23   11.69   47.54
4H, E, S, 13           1   12.31   11.69   50.62
5C, E, H, 4            1    0.00    1.52   48.48
5H, E, D, 13           1   12.31   11.69   50.62
5H, W, S, 13           1   12.31   12.31   50.00
6C, E, S, 7            1    1.54    0.77   50.77
6D, E, C, 13           3   30.00   29.33   50.67
6D, E, D, 13           1   30.00   29.33   50.67
6D, E, S, 13           6   30.00   29.33   50.67
6D, W, D, 13           1   30.00   29.42   50.58
6D, W, S, 13           7   30.00   29.42   50.58
6H, E, D, 13           1   51.54   50.32   51.22
6H, E, S, 13           1   51.54   50.32   51.22
6NT, W, C, 12          1   47.69   54.87   42.82
6NT, W, D, 13          3   58.46   54.87   53.59
6NT, W, H, 12          1   47.69   54.87   42.82
6NT, W, S, 12          1   47.69   54.87   42.82
6NT, W, S, 13          4   58.46   54.87   53.59
7D, E, C, 12           1    4.62   77.69  -23.08
7D, E, C, 13           3   81.54   77.69   53.85
7D, E, D, 13           1   81.54   77.69   53.85
7D, E, H, 13           2   81.54   77.69   53.85
7D, E, S, 13           3   81.54   77.69   53.85
7D, W, C, 13           1   81.54   78.19   53.34
7D, W, D, 12           1    4.62   78.19  -23.58
7D, W, D, 13           8   81.54   78.19   53.34
7D, W, H, 13           1   81.54   78.19   53.34
7D, W, S, 13           4   81.54   78.19   53.34
7NT, W, H, 12          1    4.62   68.21  -13.59
7NT, W, S, 13          1  100.00   68.21   81.79

DEFENDER, Board 24|16

Contract           Count Overall     Bid    Lead Restdef
2SX, S, S, 5           1    7.69   12.18   50.00   45.51
3CXX, W, S, 9          1   84.62   84.62   50.00   50.00
3SX, S, S, 3           1   44.62   29.88   50.00   64.73
4H, E, D, 12           1   90.77   88.31   50.41   52.05
4H, E, S, 13           1   87.69   88.31   49.38   50.00
5C, E, H, 4            1  100.00   98.48   51.52   50.00
5H, E, D, 13           1   87.69   88.31   50.41   48.97
5H, W, S, 13           1   87.69   87.69   50.00   50.00
6C, E, S, 7            1   98.46   99.23   49.23   50.00
6D, E, C, 13           3   70.00   70.67   51.24   48.10
6D, E, D, 13           1   70.00   70.67   49.33   50.00
6D, E, S, 13           6   70.00   70.67   49.33   50.00
6D, W, D, 13           1   70.00   70.58   50.75   48.67
6D, W, S, 13           7   70.00   70.58   49.42   50.00
6H, E, D, 13           1   48.46   49.68   50.81   47.97
6H, E, S, 13           1   48.46   49.68   48.78   50.00
6NT, W, C, 12          1   52.31   45.13   57.18   50.00
6NT, W, D, 13          3   41.54   45.13   46.41   50.00
6NT, W, H, 12          1   52.31   45.13   57.18   50.00
6NT, W, S, 12          1   52.31   45.13   48.21   58.97
6NT, W, S, 13          4   41.54   45.13   48.21   48.21
7D, E, C, 12           1   95.38   22.31   57.14  115.93
7D, E, C, 13           3   18.46   22.31   57.14   39.01
7D, E, D, 13           1   18.46   22.31   46.15   50.00
7D, E, H, 13           2   18.46   22.31   46.15   50.00
7D, E, S, 13           3   18.46   22.31   47.44   48.72
7D, W, C, 13           1   18.46   21.81   46.66   50.00
7D, W, D, 12           1   95.38   21.81   54.35  119.23
7D, W, D, 13           8   18.46   21.81   54.35   42.31
7D, W, H, 13           1   18.46   21.81   46.66   50.00
7D, W, S, 13           4   18.46   21.81   46.66   50.00
7NT, W, H, 12          1   95.38   31.79  113.59   50.00
7NT, W, S, 13          1    0.00   31.79   34.10   34.10

DECLARER, Board 2|3

Contract           Count Overall     Bid    Play
1NT, N, C, 7           2   18.46   24.62   43.85
1NT, N, D, 6           1    7.69   24.62   33.08
1NT, N, D, 7           2   18.46   24.62   43.85
1NT, N, S, 7           3   18.46   24.62   43.85
1NT, S, C, 8           1   29.23   40.00   39.23
1NT, S, C, 9           1   50.77   40.00   60.77
1NTX, E, D, 6          2   10.00    7.17   52.83
2D, S, C, 9            1   26.15   26.15   50.00
2D, S, H, 10           1   32.31   26.15   56.15
2D, S, H, 7            1    7.69   26.15   31.54
2D, S, H, 9            2   26.15   26.15   50.00
2H, N, C, 10           2   68.46   60.58   57.88
2H, N, C, 9            1   42.31   60.58   31.73
2H, N, D, 10          15   68.46   60.58   57.88
2H, N, D, 11           2   90.00   60.58   79.42
2H, N, D, 9            2   42.31   60.58   31.73
2H, N, S, 9            2   42.31   60.58   31.73
2NT, E, D, 5           1    6.15    8.72   47.44
2NT, N, D, 10          1   86.15   16.22  119.93
3D, S, C, 10           2   32.31   25.27   57.03
3H, N, C, 9            1   42.31   60.58   31.73
3H, N, D, 10           5   68.46   60.58   57.88
3H, N, S, 9            4   42.31   60.58   31.73
3H, W, S, 9            1  100.00  100.00   50.00
3NT, N, D, 8           1    7.69   10.77   46.92
3NT, N, H, 7           1    1.54   10.77   40.77
3SX, W, S, 5           1    0.00    0.00   50.00
4H, N, C, 9            1    7.69   66.53   -8.84
4H, N, D, 10           3   96.92   66.53   80.39
4H, N, S, 9            3    7.69   66.53   -8.84

DEFENDER, Board 2|3

Contract           Count Overall     Bid    Lead Restdef
1NT, N, C, 7           2   81.54   75.38   56.15   50.00
1NT, N, D, 6           1   92.31   75.38   42.62   74.31
1NT, N, D, 7           2   81.54   75.38   42.62   63.54
1NT, N, S, 7           3   81.54   75.38   56.15   50.00
1NT, S, C, 8           1   70.77   60.00   50.00   60.77
1NT, S, C, 9           1   49.23   60.00   50.00   39.23
1NTX, E, D, 6          2   90.00   92.83   50.00   47.17
2D, S, C, 9            1   73.85   73.85   45.90   54.10
2D, S, H, 10           1   67.69   73.85   53.08   40.77
2D, S, H, 7            1   92.31   73.85   53.08   65.38
2D, S, H, 9            2   73.85   73.85   53.08   46.92
2H, N, C, 10           2   31.54   39.42   57.81   34.31
2H, N, C, 9            1   57.69   39.42   57.81   60.46
2H, N, D, 10          15   31.54   39.42   42.46   49.66
2H, N, D, 11           2   10.00   39.42   42.46   28.12
2H, N, D, 9            2   57.69   39.42   42.46   75.81
2H, N, S, 9            2   57.69   39.42   68.27   50.00
2NT, E, D, 5           1   93.85   91.28   50.00   52.56
2NT, N, D, 10          1   13.85   83.78   39.76   -9.69
3D, S, C, 10           2   67.69   74.73   45.02   47.95
3H, N, C, 9            1   57.69   39.42   57.81   60.46
3H, N, D, 10           5   31.54   39.42   42.46   49.66
3H, N, S, 9            4   57.69   39.42   68.27   50.00
3H, W, S, 9            1    0.00    0.00   50.00   50.00
3NT, N, D, 8           1   92.31   89.23   38.92   64.16
3NT, N, H, 7           1   98.46   89.23   59.23   50.00
3SX, W, S, 5           1  100.00  100.00   50.00   50.00
4H, N, C, 9            1   92.31   33.47   73.15   85.69
4H, N, D, 10           3    3.08   33.47   26.10   43.51
4H, N, S, 9            3   92.31   33.47  108.84   50.00

DECLARER, Board 2|4

Contract           Count Overall     Bid    Play
2H, N, C, 10           2   57.69   50.00   57.69
2H, N, D, 11           1   85.38   50.00   85.38
2H, N, H, 10           1   57.69   50.00   57.69
2H, S, C, 10          19   57.69   52.66   55.03
2H, S, C, 11           7   85.38   52.66   82.73
2H, S, C, 8            1   14.62   52.66   11.96
2H, S, C, 9           10   26.92   52.66   24.27
2H, S, D, 10           1   57.69   52.66   55.03
2H, S, H, 11           1   85.38   52.66   82.73
2H, S, H, 9            1   26.92   52.66   24.27
2H, S, S, 10           2   57.69   52.66   55.03
2H, S, S, 9            2   26.92   52.66   24.27
2S, N, C, 10           1   57.69   36.15   71.54
3D, N, C, 9            1   14.62   14.62   50.00
3H, S, C, 11           1   85.38   52.41   82.98
3H, S, D, 9            1   26.92   52.41   24.52
3NT, N, C, 6           1    0.00    0.00   50.00
3S, N, C, 8            1    7.69   32.69   25.00
4C, W, S, 9            1   87.69   87.69   50.00
4H, N, C, 9            1    7.69   65.26   -7.56
4H, N, D, 8            1    2.31   65.26  -12.95
4H, S, C, 10           2   94.62   65.06   79.55
4H, S, C, 11           2   97.69   65.06   82.63
4H, S, C, 9            2    7.69   65.06   -7.37
4H, S, S, 8            1    2.31   65.06  -12.76
4H, S, S, 9            1    7.69   65.06   -7.37
4HX, S, C, 11          1  100.00   65.51   84.49

DEFENDER, Board 2|4

Contract           Count Overall     Bid    Lead Restdef
2H, N, C, 10           2   42.31   50.00   52.56   39.74
2H, N, D, 11           1   14.62   50.00   50.00   14.62
2H, N, H, 10           1   42.31   50.00   42.31   50.00
2H, S, C, 10          19   42.31   47.34   47.36   47.61
2H, S, C, 11           7   14.62   47.34   47.36   19.91
2H, S, C, 8            1   85.38   47.34   47.36   90.68
2H, S, C, 9           10   73.08   47.34   47.36   78.38
2H, S, D, 10           1   42.31   47.34   60.35   34.62
2H, S, H, 11           1   14.62   47.34   46.50   20.77
2H, S, H, 9            1   73.08   47.34   46.50   79.23
2H, S, S, 10           2   42.31   47.34   67.53   27.44
2H, S, S, 9            2   73.08   47.34   67.53   58.21
2S, N, C, 10           1   42.31   63.85   50.00   28.46
3D, N, C, 9            1   85.38   85.38   50.00   50.00
3H, S, C, 11           1   14.62   47.59   47.26   19.76
3H, S, D, 9            1   73.08   47.59   60.10   65.38
3NT, N, C, 6           1  100.00  100.00   50.00   50.00
3S, N, C, 8            1   92.31   67.31   50.00   75.00
4C, W, S, 9            1   12.31   12.31   50.00   50.00
4H, N, C, 9            1   92.31   34.74   49.62  107.95
4H, N, D, 8            1   97.69   34.74   65.26   97.69
4H, S, C, 10           2    5.38   34.94   44.93   25.52
4H, S, C, 11           2    2.31   34.94   44.93   22.44
4H, S, C, 9            2   92.31   34.94   44.93  112.44
4H, S, S, 8            1   97.69   34.94   79.29   83.46
4H, S, S, 9            1   92.31   34.94   79.29   78.08
4HX, S, C, 11          1    0.00   34.49   44.49   21.02

DECLARER, Board 3|5

Contract           Count Overall     Bid    Play
1S, E, H, 9            1   33.85   40.95   42.90
2S, E, C, 9            2   33.85   40.95   42.90
2S, E, D, 10           1   46.92   40.95   55.97
2S, E, D, 11           1   53.08   40.95   62.13
2S, E, H, 9            5   33.85   40.95   42.90
2S, W, C, 11           1   53.08   45.93   57.14
3NT, W, D, 9           1   55.38   55.38   50.00
3S, E, C, 10           2   46.92   40.95   55.97
3S, E, H, 10           1   46.92   40.95   55.97
3S, E, H, 9            2   33.85   40.95   42.90
3S, W, D, 10           1   46.92   45.93   50.99
3S, W, D, 9            1   33.85   45.93   37.91
3S, W, S, 10           1   46.92   45.93   50.99
4H, E, C, 10           1   76.15   76.15   50.00
4H, E, D, 10           1   76.15   76.15   50.00
4H, W, H, 10           1   76.15   76.15   50.00
4S, E, C, 10          13   76.15   46.43   79.72
4S, E, C, 11           2   98.46   46.43  102.03
4S, E, C, 9            7   12.31   46.43   15.87
4S, E, D, 10           5   76.15   46.43   79.72
4S, E, D, 11           1   98.46   46.43  102.03
4S, E, D, 9            2   12.31   46.43   15.87
4S, E, H, 10           2   76.15   46.43   79.72
4S, E, H, 9            8   12.31   46.43   15.87
4S, W, H, 10           3   76.15   70.22   55.93

DEFENDER, Board 3|5

Contract           Count Overall     Bid    Lead Restdef
1S, E, H, 9            1   66.15   59.05   55.04   52.06
2S, E, C, 9            2   66.15   59.05   48.08   59.02
2S, E, D, 10           1   53.08   59.05   45.41   48.62
2S, E, D, 11           1   46.92   59.05   45.41   42.46
2S, E, H, 9            5   66.15   59.05   55.04   52.06
2S, W, C, 11           1   46.92   54.07   42.86   50.00
3NT, W, D, 9           1   44.62   44.62   50.00   50.00
3S, E, C, 10           2   53.08   59.05   48.08   45.95
3S, E, H, 10           1   53.08   59.05   55.04   38.99
3S, E, H, 9            2   66.15   59.05   55.04   52.06
3S, W, D, 10           1   53.08   54.07   55.55   43.46
3S, W, D, 9            1   66.15   54.07   55.55   56.54
3S, W, S, 10           1   53.08   54.07   49.01   50.00
4H, E, C, 10           1   23.85   23.85   50.00   50.00
4H, E, D, 10           1   23.85   23.85   50.00   50.00
4H, W, H, 10           1   23.85   23.85   50.00   50.00
4S, E, C, 10          13   23.85   53.57   40.66   29.62
4S, E, C, 11           2    1.54   53.57   40.66    7.31
4S, E, C, 9            7   87.69   53.57   40.66   93.46
4S, E, D, 10           5   23.85   53.57   28.59   41.69
4S, E, D, 11           1    1.54   53.57   28.59   19.38
4S, E, D, 9            2   87.69   53.57   28.59  105.54
4S, E, H, 10           2   23.85   53.57   74.04   -3.77
4S, E, H, 9            8   87.69   53.57   74.04   60.08
4S, W, H, 10           3   23.85   29.78   44.07   50.00

DECLARER, Board 3|6

Contract           Count Overall     Bid    Play
2C, W, C, 5            1   32.31   32.06   50.24
2CXX, W, C, 4          1    0.00    0.76   49.24
2DX, E, C, 6           3   15.38   17.47   47.91
2DX, E, D, 5           1    3.08   17.47   35.60
2DX, E, D, 6           1   15.38   17.47   47.91
2DX, E, H, 6           1   15.38   17.47   47.91
2DX, E, S, 6           5   15.38   17.47   47.91
2DX, E, S, 7           2   36.15   17.47   68.68
2DX, N, D, 7           1   16.92   16.92   50.00
2DX, W, C, 6           1   15.38   25.77   39.62
2DX, W, C, 7           1   36.15   25.77   60.38
2HX, E, S, 7           1   36.15   36.15   50.00
2HX, W, C, 5           1    3.08    3.08   50.00
2NT, S, C, 7           2   40.00   40.00   50.00
2S, N, D, 10           1   60.00   56.00   54.00
2S, S, C, 9            1   58.46   58.85   49.62
2SX, S, S, 9           1   93.85   93.87   49.98
3C, S, D, 8            1   40.00   35.92   54.08
3C, S, H, 8            2   40.00   35.92   54.08
3CX, S, C, 7           1    6.15   22.20   33.96
3CX, S, D, 9           1   75.38   22.20  103.19
3CX, S, H, 7           1    6.15   22.20   33.96
3CXX, S, D, 8          1   10.77   20.01   40.76
3DX, E, D, 6           1    3.08    4.72   48.35
3NT, N, D, 7           3   16.92   33.54   33.38
3NT, N, D, 8          17   40.00   33.54   56.46
3NT, S, C, 7           1   16.92   16.92   50.00
3NTX, N, D, 4          1    0.00   13.79   36.21
3NTX, N, D, 7          3    6.15   13.79   42.37
3NTX, N, D, 8          2   16.92   13.79   53.14
4S, N, D, 10           3   71.54   59.66   61.88
4S, S, C, 10           1   71.54   47.88   73.65
4S, S, D, 9            1   40.00   47.88   42.12
4SX, N, D, 7           1    1.54   75.46  -23.92

DEFENDER, Board 3|6

Contract           Count Overall     Bid    Lead Restdef
2C, W, C, 5            1   67.69   67.94   50.00   49.76
2CXX, W, C, 4          1  100.00   99.24   50.00   50.76
2DX, E, C, 6           3   84.62   82.53   52.09   50.00
2DX, E, D, 5           1   96.92   82.53   56.19   58.21
2DX, E, D, 6           1   84.62   82.53   56.19   45.90
2DX, E, H, 6           1   84.62   82.53   52.09   50.00
2DX, E, S, 6           5   84.62   82.53   46.15   55.93
2DX, E, S, 7           2   63.85   82.53   46.15   35.16
2DX, N, D, 7           1   83.08   83.08   50.00   50.00
2DX, W, C, 6           1   84.62   74.23   50.00   60.38
2DX, W, C, 7           1   63.85   74.23   50.00   39.62
2HX, E, S, 7           1   63.85   63.85   50.00   50.00
2HX, W, C, 5           1   96.92   96.92   50.00   50.00
2NT, S, C, 7           2   60.00   60.00   50.00   50.00
2S, N, D, 10           1   40.00   44.00   50.00   46.00
2S, S, C, 9            1   41.54   41.15   49.62   50.77
2SX, S, S, 9           1    6.15    6.13   50.02   50.00
3C, S, D, 8            1   60.00   64.08   40.06   55.86
3C, S, H, 8            2   60.00   64.08   53.61   42.31
3CX, S, C, 7           1   93.85   77.80   66.04   50.00
3CX, S, D, 9           1   24.62   77.80   35.79   11.03
3CX, S, H, 7           1   93.85   77.80   58.86   57.18
3CXX, S, D, 8          1   89.23   79.99   31.51   77.72
3DX, E, D, 6           1   96.92   95.28   52.17   49.48
3NT, N, D, 7           3   83.08   66.46   50.00   66.62
3NT, N, D, 8          17   60.00   66.46   50.00   43.54
3NT, S, C, 7           1   83.08   83.08   50.00   50.00
3NTX, N, D, 4          1  100.00   86.21   50.00   63.79
3NTX, N, D, 7          3   93.85   86.21   50.00   57.63
3NTX, N, D, 8          2   83.08   86.21   50.00   46.86
4S, N, D, 10           3   28.46   40.34   50.00   38.12
4S, S, C, 10           1   28.46   52.12   42.12   34.23
4S, S, D, 9            1   60.00   52.12   57.88   50.00
4SX, N, D, 7           1   98.46   24.54   50.00  123.92

DECLARER, Board 4|7

Contract           Count Overall     Bid    Play
3D, S, C, 9            1   66.92   67.63   49.29
3D, S, H, 9            5   66.92   67.63   49.29
3DX, S, C, 9           1   96.15   96.60   49.56
3DX, S, D, 9           1   96.15   96.60   49.56
3DX, S, H, 9           2   96.15   96.60   49.56
3NT, E, D, 4           1   10.00   10.00   50.00
3S, N, C, 6            1   20.00   18.77   51.23
3SX, N, C, 5           1    2.31    3.65   48.66
3SX, N, D, 5           1    2.31    3.65   48.66
4C, E, D, 10           2   63.85   63.85   50.00
4CX, E, D, 10          4   93.08   93.08   50.00
4D, N, C, 9            1   41.54   41.54   50.00
4D, S, H, 10           2   73.08   45.18   77.90
4D, S, H, 9            4   41.54   45.18   46.36
4DX, N, C, 9           1   27.69   27.69   50.00
4DX, S, C, 9           1   27.69   36.04   41.66
4DX, S, H, 10          1  100.00   36.04  113.96
4DX, S, H, 9           7   27.69   36.04   41.66
4DX, W, H, 9           1   19.23   19.23   50.00
4NTX, S, H, 3          1    0.00    0.00   50.00
4S, N, C, 6            2   16.92   15.08   51.85
4S, S, H, 6            1   16.92   16.92   50.00
5C, E, D, 10          11   46.15   46.15   50.00
5CX, E, D, 10          5   19.23   19.23   50.00
5CX, E, S, 10          1   19.23   19.23   50.00
5DX, N, C, 9           1   12.31   12.31   50.00
5DX, N, H, 9           1   12.31   12.31   50.00
5DX, S, H, 9           1   12.31   14.08   48.22
6C, E, D, 10           1   19.23   19.23   50.00
6CX, E, D, 10          3   10.00   10.00   50.00

DEFENDER, Board 4|7

Contract           Count Overall     Bid    Lead Restdef
3D, S, C, 9            1   33.08   32.37   50.71   50.00
3D, S, H, 9            5   33.08   32.37   49.87   50.84
3DX, S, C, 9           1    3.85    3.40   50.44   50.00
3DX, S, D, 9           1    3.85    3.40   50.44   50.00
3DX, S, H, 9           2    3.85    3.40   49.92   50.52
3NT, E, D, 4           1   90.00   90.00   50.00   50.00
3S, N, C, 6            1   80.00   81.23   49.54   49.23
3SX, N, C, 5           1   97.69   96.35   49.66   51.68
3SX, N, D, 5           1   97.69   96.35   51.34   50.00
4C, E, D, 10           2   36.15   36.15   50.00   50.00
4CX, E, D, 10          4    6.92    6.92   50.00   50.00
4D, N, C, 9            1   58.46   58.46   50.00   50.00
4D, S, H, 10           2   26.92   54.82   49.34   22.76
4D, S, H, 9            4   58.46   54.82   49.34   54.30
4DX, N, C, 9           1   72.31   72.31   50.00   50.00
4DX, S, C, 9           1   72.31   63.96   58.34   50.00
4DX, S, H, 10          1    0.00   63.96   48.48  -12.45
4DX, S, H, 9           7   72.31   63.96   48.48   59.86
4DX, W, H, 9           1   80.77   80.77   50.00   50.00
4NTX, S, H, 3          1  100.00  100.00   50.00   50.00
4S, N, C, 6            2   83.08   84.92   49.31   48.85
4S, S, H, 6            1   83.08   83.08   50.00   50.00
5C, E, D, 10          11   53.85   53.85   50.00   50.00
5CX, E, D, 10          5   80.77   80.77   50.00   50.00
5CX, E, S, 10          1   80.77   80.77   50.00   50.00
5DX, N, C, 9           1   87.69   87.69   50.00   50.00
5DX, N, H, 9           1   87.69   87.69   50.00   50.00
5DX, S, H, 9           1   87.69   85.92   49.68   52.10
6C, E, D, 10           1   80.77   80.77   50.00   50.00
6CX, E, D, 10          3   90.00   90.00   50.00   50.00

DECLARER, Board 4|8

Contract           Count Overall     Bid    Play
2D, N, D, 8            1    1.54    2.91   48.63
3D, N, C, 12           1    3.08    2.90   50.17
3NT, N, C, 12          3   34.62   34.62   50.00
3NT, N, H, 12         27   34.62   34.62   50.00
3NT, N, S, 12          1   34.62   34.62   50.00
3NT, S, H, 12          3   34.62   34.62   50.00
3NT, S, S, 12          1   34.62   34.62   50.00
4H, N, C, 7            1    0.00    0.00   50.00
4NT, N, H, 12          3   34.62   34.62   50.00
5D, N, C, 12           1    4.62    4.10   50.51
6D, N, C, 12           6   69.23   61.54   57.69
6D, S, H, 12           1   69.23   69.23   50.00
6NT, N, C, 12          4   87.69   87.69   50.00
6NT, N, D, 12          1   87.69   87.69   50.00
6NT, N, H, 12          3   87.69   87.69   50.00
6NT, S, H, 12          5   87.69   87.69   50.00
6NT, S, S, 12          4   87.69   87.69   50.00

DEFENDER, Board 4|8

Contract           Count Overall     Bid    Lead Restdef
2D, N, D, 8            1   98.46   97.09   51.37   50.00
3D, N, C, 12           1   96.92   97.10   49.83   50.00
3NT, N, C, 12          3   65.38   65.38   50.00   50.00
3NT, N, H, 12         27   65.38   65.38   50.00   50.00
3NT, N, S, 12          1   65.38   65.38   50.00   50.00
3NT, S, H, 12          3   65.38   65.38   50.00   50.00
3NT, S, S, 12          1   65.38   65.38   50.00   50.00
4H, N, C, 7            1  100.00  100.00   50.00   50.00
4NT, N, H, 12          3   65.38   65.38   50.00   50.00
5D, N, C, 12           1   95.38   95.90   49.49   50.00
6D, N, C, 12           6   30.77   38.46   42.31   50.00
6D, S, H, 12           1   30.77   30.77   50.00   50.00
6NT, N, C, 12          4   12.31   12.31   50.00   50.00
6NT, N, D, 12          1   12.31   12.31   50.00   50.00
6NT, N, H, 12          3   12.31   12.31   50.00   50.00
6NT, S, H, 12          5   12.31   12.31   50.00   50.00
6NT, S, S, 12          4   12.31   12.31   50.00   50.00

DECLARER, Board 5|10

Contract           Count Overall     Bid    Play
3NT, N, D, 12          1   94.62   44.23  100.38
3NT, N, H, 10          2    7.69   44.23   13.46
3NT, N, H, 11          1   66.92   44.23   72.69
3NT, S, C, 10          3    7.69   65.03   -7.34
3NT, S, C, 11          3   66.92   65.03   51.89
3NT, S, C, 9           1    1.54   65.03  -13.49
3NT, S, D, 11          9   66.92   65.03   51.89
3NT, S, D, 12          7   94.62   65.03   79.59
3NT, S, H, 11          1   66.92   65.03   51.89
